# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.758        6.852
       1.001        0.000        1.758        6.852
       2.003        0.000        1.758        6.852
       3.005        2.000        1.758        6.855
       4.006       28.000        1.758        6.855
       5.007       30.000        1.758        6.855
       6.009       26.000        1.758        6.855
       7.010       29.000        1.758        6.855
       8.012       30.000        1.758        6.855
       9.014       30.000        1.758        6.855
      10.015       18.000        1.758        6.855
      11.016       28.000        1.758        6.855
      12.017       27.000        1.758        6.855
