------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=100005; ReceivedMessages=999
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.520 sec; SentMessages=95201; ReceivedMessages=953
sockperf: [2;35m====> avg-latency=262.669 (std-dev=41.634)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 953 observations[0m; each percentile contains 9.53 observations
sockperf: ---> <MAX> observation =  422.731
sockperf: ---> percentile 99.999 =  422.731
sockperf: ---> percentile 99.990 =  422.731
sockperf: ---> percentile 99.900 =  403.856
sockperf: ---> percentile 99.000 =  352.022
sockperf: ---> percentile 90.000 =  316.963
sockperf: ---> percentile 75.000 =  286.310
sockperf: ---> percentile 50.000 =  268.075
sockperf: ---> percentile 25.000 =  232.555
sockperf: ---> <MIN> observation =  139.359
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.429851602, 2.430389631, 269.015
1, 2.439851577, 2.440290810, 219.617
2, 2.449851543, 2.450446234, 297.345
3, 2.459851521, 2.460318741, 233.610
4, 2.469851495, 2.470388893, 268.699
5, 2.479851471, 2.480259910, 204.220
6, 2.489851453, 2.490310174, 229.360
7, 2.499851411, 2.500396285, 272.437
8, 2.509851383, 2.510384096, 266.357
9, 2.519851370, 2.520311112, 229.871
10, 2.529851331, 2.530384516, 266.593
11, 2.539851306, 2.540392496, 270.595
12, 2.549851278, 2.550275555, 212.139
13, 2.559851250, 2.560295250, 222.000
14, 2.569851230, 2.570411285, 280.028
15, 2.579851197, 2.580275200, 212.002
16, 2.589854517, 2.590412371, 278.927
17, 2.599851149, 2.600417846, 283.349
18, 2.609851120, 2.610384149, 266.515
19, 2.619851093, 2.620406015, 277.461
20, 2.629851067, 2.630443674, 296.304
21, 2.639851041, 2.640404946, 276.952
22, 2.649851011, 2.650377799, 263.394
23, 2.659850982, 2.660456330, 302.674
24, 2.669850952, 2.670409636, 279.342
25, 2.679850934, 2.680410181, 279.623
26, 2.689850908, 2.690304039, 226.565
27, 2.699850911, 2.700330989, 240.039
28, 2.709850852, 2.710411758, 280.453
29, 2.719850826, 2.720351554, 250.364
30, 2.729850800, 2.730419767, 284.483
31, 2.739850775, 2.740411661, 280.443
32, 2.749850748, 2.750310584, 229.918
33, 2.759850718, 2.760293815, 221.549
34, 2.769850694, 2.770443332, 296.319
35, 2.779850671, 2.780372121, 260.725
36, 2.789850641, 2.790383694, 266.526
37, 2.799850614, 2.800332077, 240.732
38, 2.809850587, 2.810335712, 242.562
39, 2.819850560, 2.820468511, 308.976
40, 2.829850530, 2.830587060, 368.265
41, 2.839850506, 2.840246570, 198.032
42, 2.849850478, 2.850487200, 318.361
43, 2.859850449, 2.860356171, 252.861
44, 2.869850425, 2.870406027, 277.801
45, 2.879850405, 2.880321078, 235.337
46, 2.889850369, 2.890421086, 285.359
47, 2.899850343, 2.900484051, 316.854
48, 2.909850327, 2.910469425, 309.549
49, 2.919850303, 2.920299028, 224.363
50, 2.929850278, 2.930487158, 318.440
51, 2.939850236, 2.940478240, 314.002
52, 2.949850211, 2.950367553, 258.671
53, 2.959850193, 2.960442222, 296.015
54, 2.969850168, 2.970386743, 268.287
55, 2.979850131, 2.980379145, 264.507
56, 2.989850106, 2.990286460, 218.177
57, 2.999850087, 3.000222741, 186.327
58, 3.009850058, 3.010504711, 327.326
59, 3.019850029, 3.020311811, 230.891
60, 3.029849998, 3.030356221, 253.111
61, 3.039849974, 3.040311996, 231.011
62, 3.049849946, 3.050386472, 268.263
63, 3.059849919, 3.060394518, 272.299
64, 3.069849896, 3.070266575, 208.340
65, 3.079849869, 3.080193237, 171.684
66, 3.089849841, 3.090416892, 283.525
67, 3.099849813, 3.100438773, 294.480
68, 3.109849782, 3.110335325, 242.771
69, 3.119849772, 3.120488171, 319.199
70, 3.129849736, 3.130312114, 231.189
71, 3.139849703, 3.140338039, 244.168
72, 3.149849681, 3.150489653, 319.986
73, 3.159849656, 3.160256459, 203.401
74, 3.169849626, 3.170384240, 267.307
75, 3.179849597, 3.180429963, 290.183
76, 3.189849574, 3.190387584, 269.005
77, 3.199849544, 3.200290257, 220.357
78, 3.209849522, 3.210457560, 304.019
79, 3.219849489, 3.220318231, 234.371
80, 3.229849466, 3.230469259, 309.896
81, 3.239849437, 3.240362512, 256.538
82, 3.249849409, 3.250378992, 264.792
83, 3.259849383, 3.260411839, 281.228
84, 3.269849365, 3.270370015, 260.325
85, 3.279849332, 3.280255193, 202.930
86, 3.289849305, 3.290452189, 301.442
87, 3.299849311, 3.300320253, 235.471
88, 3.309849248, 3.310405852, 278.302
89, 3.319849224, 3.320160688, 155.732
90, 3.329849200, 3.330352074, 251.437
91, 3.339849168, 3.340402448, 276.640
92, 3.349849148, 3.350370051, 260.451
93, 3.359849116, 3.360242673, 196.778
94, 3.369849092, 3.370439659, 295.283
95, 3.379849069, 3.380565335, 358.133
96, 3.389849040, 3.390381314, 266.137
97, 3.399849009, 3.400326844, 238.918
98, 3.409849005, 3.410336228, 243.612
99, 3.419848955, 3.420370647, 260.846
100, 3.429848939, 3.430166980, 159.021
101, 3.439848904, 3.440344333, 247.715
102, 3.449848877, 3.450379705, 265.414
103, 3.459848860, 3.460299863, 225.501
104, 3.469848822, 3.470236527, 193.852
105, 3.479848810, 3.480426722, 288.956
106, 3.489848774, 3.490299037, 225.132
107, 3.499848744, 3.500404227, 277.742
108, 3.509848726, 3.510327979, 239.626
109, 3.519848709, 3.520336840, 244.066
110, 3.529848660, 3.530395609, 273.474
111, 3.539848639, 3.540298727, 225.044
112, 3.549848609, 3.550219125, 185.258
113, 3.559848581, 3.560541341, 346.380
114, 3.569848559, 3.570456507, 303.974
115, 3.579848539, 3.580349419, 250.440
116, 3.589848593, 3.590507155, 329.281
117, 3.599848488, 3.600388174, 269.843
118, 3.609848545, 3.610398841, 275.148
119, 3.619848434, 3.620443365, 297.466
120, 3.629848422, 3.630408421, 280.000
121, 3.639848381, 3.640410986, 281.302
122, 3.649848346, 3.650471849, 311.752
123, 3.659848326, 3.660343605, 247.640
124, 3.669848287, 3.670469553, 310.633
125, 3.679848271, 3.680409532, 280.630
126, 3.689848255, 3.690392266, 272.006
127, 3.699848223, 3.700373785, 262.781
128, 3.709848215, 3.710382632, 267.209
129, 3.719848154, 3.720427808, 289.827
130, 3.729848218, 3.730485682, 318.732
131, 3.739848103, 3.740329518, 240.707
132, 3.749848062, 3.750540179, 346.059
133, 3.759848058, 3.760491384, 321.663
134, 3.769848023, 3.770424385, 288.181
135, 3.779848022, 3.780309112, 230.545
136, 3.789848101, 3.790347921, 249.910
137, 3.799847967, 3.800468455, 310.244
138, 3.809848029, 3.810472934, 312.452
139, 3.819848007, 3.820386281, 269.137
140, 3.829847976, 3.830423894, 287.959
141, 3.839847848, 3.840380549, 266.350
142, 3.849847844, 3.850383825, 267.991
143, 3.859847819, 3.860462609, 307.395
144, 3.869847765, 3.870420147, 286.191
145, 3.879847741, 3.880398650, 275.455
146, 3.889847736, 3.890693199, 422.731
147, 3.899847672, 3.900360480, 256.404
148, 3.909847743, 3.910414421, 283.339
149, 3.919847755, 3.920378148, 265.197
150, 3.929847693, 3.930411552, 281.929
151, 3.939847581, 3.940461737, 307.078
152, 3.949847640, 3.950344923, 248.642
153, 3.959847537, 3.960463090, 307.776
154, 3.969847498, 3.970353595, 253.049
155, 3.979847558, 3.980348476, 250.459
156, 3.989847439, 3.990492937, 322.749
157, 3.999847419, 4.000385434, 269.008
158, 4.009847382, 4.010392400, 272.509
159, 4.019847363, 4.020448916, 300.777
160, 4.029847328, 4.030191091, 171.881
161, 4.039847301, 4.040542344, 347.522
162, 4.049847289, 4.050292150, 222.431
163, 4.059847251, 4.060402241, 277.495
164, 4.069847220, 4.070281179, 216.980
165, 4.079847199, 4.080506492, 329.647
166, 4.089847169, 4.090403451, 278.141
167, 4.099847146, 4.100444915, 298.884
168, 4.109847119, 4.110210020, 181.450
169, 4.119847088, 4.120413320, 283.116
170, 4.129847072, 4.130271685, 212.306
171, 4.139847032, 4.140420060, 286.514
172, 4.149847006, 4.150353697, 253.346
173, 4.159846985, 4.160306242, 229.629
174, 4.169846953, 4.170390486, 271.767
175, 4.179846927, 4.180403051, 278.062
176, 4.189846917, 4.190254631, 203.857
177, 4.199846873, 4.200384358, 268.743
178, 4.209846860, 4.210233205, 193.172
179, 4.219846825, 4.220385253, 269.214
180, 4.229846792, 4.230266250, 209.729
181, 4.239846785, 4.240300978, 227.097
182, 4.249846740, 4.250331217, 242.239
183, 4.259846712, 4.260485778, 319.533
184, 4.269846687, 4.270360891, 257.102
185, 4.279846657, 4.280359860, 256.602
186, 4.289846635, 4.290409869, 281.617
187, 4.299846606, 4.300309343, 231.369
188, 4.309846580, 4.310412755, 283.088
189, 4.319846559, 4.320437596, 295.518
190, 4.329846527, 4.330412924, 283.198
191, 4.339846501, 4.340401759, 277.629
192, 4.349846474, 4.350315047, 234.287
193, 4.359846445, 4.360329752, 241.653
