------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=100005; ReceivedMessages=999
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.521 sec; SentMessages=95201; ReceivedMessages=952
sockperf: [2;35m====> avg-latency=270.288 (std-dev=44.288)[0m
sockperf: [0;31m# dropped messages = 1; # duplicated messages = 0; # out-of-order messages = 0[0m
sockperf: [2;35mTotal 952 observations[0m; each percentile contains 9.52 observations
sockperf: ---> <MAX> observation =  577.748
sockperf: ---> percentile 99.999 =  577.748
sockperf: ---> percentile 99.990 =  577.748
sockperf: ---> percentile 99.900 =  374.554
sockperf: ---> percentile 99.000 =  366.559
sockperf: ---> percentile 90.000 =  322.616
sockperf: ---> percentile 75.000 =  301.326
sockperf: ---> percentile 50.000 =  270.130
sockperf: ---> percentile 25.000 =  245.484
sockperf: ---> <MIN> observation =  148.957
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.429946637, 2.430536299, 294.831
1, 2.439946599, 2.440441215, 247.308
2, 2.449946574, 2.450451070, 252.248
3, 2.459946556, 2.460570948, 312.196
4, 2.469946520, 2.470429750, 241.615
5, 2.479946493, 2.480570534, 312.021
6, 2.489946472, 2.490466397, 259.962
7, 2.499946438, 2.500514302, 283.932
8, 2.509946418, 2.510518612, 286.097
9, 2.519946406, 2.520466153, 259.873
10, 2.529946359, 2.530368714, 211.177
11, 2.539946354, 2.540555838, 304.742
12, 2.549946308, 2.550432973, 243.333
13, 2.559946280, 2.560576573, 315.146
14, 2.569946259, 2.570446928, 250.334
15, 2.579946227, 2.580464122, 258.948
16, 2.589946201, 2.590605973, 329.886
17, 2.599946182, 2.600406718, 230.268
18, 2.609946151, 2.610342536, 198.192
19, 2.619946129, 2.620525545, 289.708
20, 2.629946103, 2.630398988, 226.442
21, 2.639946068, 2.640505678, 279.805
22, 2.649946046, 2.650288856, 171.405
23, 2.659946017, 2.660533506, 293.744
24, 2.669945986, 2.670492711, 273.363
25, 2.679945976, 2.680471785, 262.905
26, 2.689945938, 2.690478457, 266.260
27, 2.699945914, 2.700562121, 308.104
28, 2.709945888, 2.710588691, 321.402
29, 2.719945852, 2.720495028, 274.588
30, 2.729945836, 2.730439592, 246.878
31, 2.739945799, 2.740486540, 270.371
32, 2.749945777, 2.750617763, 335.993
33, 2.759945751, 2.760474520, 264.385
34, 2.769945720, 2.770400925, 227.603
35, 2.779945700, 2.780586209, 320.254
36, 2.789945674, 2.790585806, 320.066
37, 2.799945642, 2.800492633, 273.495
38, 2.809945618, 2.810416890, 235.636
39, 2.819945592, 2.820428103, 241.256
40, 2.829945562, 2.830683407, 368.923
41, 2.839945537, 2.840564843, 309.653
42, 2.849945505, 2.850414385, 234.440
43, 2.859945481, 2.860487528, 271.024
44, 2.869945460, 2.870482912, 268.726
45, 2.879945429, 2.880639542, 347.057
46, 2.889945404, 2.890441952, 248.274
47, 2.899945383, 2.900443423, 249.020
