# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.820        6.852
       1.002        0.000        1.820        6.852
       2.004        0.000        1.820        6.852
       3.006        0.000        1.820        6.852
       4.008        0.000        1.820        6.852
       5.009        7.000        1.820        6.855
       6.010        8.000        1.820        6.855
       7.011        8.000        1.820        6.855
       8.012        9.000        1.820        6.855
       9.013       13.000        1.820        6.855
      10.014       10.000        1.820        6.855
      11.016       12.000        1.820        6.855
      12.018       15.000        1.820        6.855
      13.019       13.000        1.820        6.855
      14.021       14.000        1.820        6.855
