------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=5088; ReceivedMessages=5087
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.548 sec; SentMessages=4864; ReceivedMessages=4864
sockperf: [2;35m====> avg-latency=981.440 (std-dev=36.569)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 4864 observations[0m; each percentile contains 48.64 observations
sockperf: ---> <MAX> observation = 1161.211
sockperf: ---> percentile 99.999 = 1161.211
sockperf: ---> percentile 99.990 = 1161.211
sockperf: ---> percentile 99.900 = 1083.708
sockperf: ---> percentile 99.000 = 1032.816
sockperf: ---> percentile 90.000 = 1014.375
sockperf: ---> percentile 75.000 = 1006.614
sockperf: ---> percentile 50.000 =  988.226
sockperf: ---> percentile 25.000 =  964.902
sockperf: ---> <MIN> observation =  741.558
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.434455373, 2.436464741, 1004.684
1, 2.436464823, 2.438455912, 995.545
2, 2.438455993, 2.440463054, 1003.531
3, 2.440463125, 2.442446030, 991.452
4, 2.442446104, 2.444470867, 1012.382
5, 2.444471011, 2.446451388, 990.188
6, 2.446451461, 2.448449187, 998.863
7, 2.448449259, 2.450435552, 993.147
8, 2.450435632, 2.452421113, 992.740
9, 2.452421185, 2.454446001, 1012.408
10, 2.454446078, 2.456436222, 995.072
11, 2.456436311, 2.458440298, 1001.993
12, 2.458440367, 2.460471317, 1015.475
13, 2.460471403, 2.462457408, 993.002
14, 2.462457489, 2.464443247, 992.879
15, 2.464443325, 2.466427002, 991.838
16, 2.466427081, 2.468428033, 1000.476
17, 2.468428114, 2.470447512, 1009.699
18, 2.470447584, 2.472435614, 994.015
19, 2.472435664, 2.474444862, 1004.599
20, 2.474444916, 2.476446481, 1000.782
21, 2.476446556, 2.478443895, 998.669
22, 2.478443974, 2.480400645, 978.336
23, 2.480400723, 2.482448317, 1023.797
24, 2.482448382, 2.484466021, 1008.820
25, 2.484466174, 2.486490907, 1012.367
26, 2.486490948, 2.488497159, 1003.106
27, 2.488497242, 2.490488532, 995.645
28, 2.490488604, 2.492409666, 960.531
29, 2.492409743, 2.494379938, 985.098
30, 2.494380028, 2.496388349, 1004.160
31, 2.496388421, 2.498413969, 1012.774
32, 2.498414053, 2.500433381, 1009.664
33, 2.500433459, 2.502436178, 1001.360
34, 2.502436259, 2.504462593, 1013.167
35, 2.504462665, 2.506455991, 996.663
36, 2.506456065, 2.508413405, 978.670
37, 2.508413480, 2.510388968, 987.744
38, 2.510389042, 2.512376516, 993.737
39, 2.512376591, 2.514428814, 1026.111
40, 2.514428870, 2.516457539, 1014.334
41, 2.516457599, 2.518441647, 992.024
42, 2.518441721, 2.520442718, 1000.499
43, 2.520442797, 2.522437210, 997.207
44, 2.522437294, 2.524460051, 1011.378
45, 2.524460126, 2.526443687, 991.780
46, 2.526443757, 2.528434165, 995.204
47, 2.528434246, 2.530459227, 1012.490
48, 2.530459299, 2.532459701, 1000.201
49, 2.532459777, 2.534445176, 992.700
50, 2.534445258, 2.536432234, 993.488
51, 2.536432306, 2.538440188, 1003.941
52, 2.538440270, 2.540387899, 973.815
53, 2.540387953, 2.542411468, 1011.757
54, 2.542411521, 2.544423873, 1006.176
55, 2.544423952, 2.546429725, 1002.886
56, 2.546429807, 2.548443184, 1006.688
57, 2.548443265, 2.550459044, 1007.889
58, 2.550459117, 2.552453052, 996.968
59, 2.552453129, 2.554438868, 992.869
60, 2.554438945, 2.556464419, 1012.737
61, 2.556464507, 2.558456262, 995.877
62, 2.558456336, 2.560445459, 994.561
63, 2.560445541, 2.562429213, 991.836
64, 2.562429294, 2.564456668, 1013.687
65, 2.564456753, 2.566443922, 993.584
66, 2.566443994, 2.568427370, 991.688
67, 2.568427452, 2.570435347, 1003.948
68, 2.570435427, 2.572457475, 1011.024
69, 2.572457551, 2.574441640, 992.045
70, 2.574441705, 2.576443126, 1000.710
71, 2.576443226, 2.578427885, 992.329
72, 2.578427952, 2.580438409, 1005.228
73, 2.580438490, 2.582445734, 1003.622
74, 2.582445811, 2.584470735, 1012.462
75, 2.584470802, 2.586459474, 994.336
76, 2.586459555, 2.588447028, 993.736
77, 2.588447108, 2.590459536, 1006.214
78, 2.590459610, 2.592402112, 971.251
