------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=5161; ReceivedMessages=5160
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.550 sec; SentMessages=4933; ReceivedMessages=4933
sockperf: [2;35m====> avg-latency=967.904 (std-dev=38.763)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 4933 observations[0m; each percentile contains 49.33 observations
sockperf: ---> <MAX> observation = 1231.743
sockperf: ---> percentile 99.999 = 1231.743
sockperf: ---> percentile 99.990 = 1231.743
sockperf: ---> percentile 99.900 = 1108.951
sockperf: ---> percentile 99.000 = 1030.291
sockperf: ---> percentile 90.000 = 1009.705
sockperf: ---> percentile 75.000 =  997.169
sockperf: ---> percentile 50.000 =  968.092
sockperf: ---> percentile 25.000 =  944.367
sockperf: ---> <MIN> observation =  720.245
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.444115456, 2.446112247, 998.395
1, 2.446112327, 2.448119846, 1003.760
2, 2.448119931, 2.450110922, 995.495
3, 2.450111010, 2.452099971, 994.481
4, 2.452100072, 2.454115636, 1007.782
5, 2.454115718, 2.456001480, 942.881
6, 2.456001564, 2.458033980, 1016.208
7, 2.458034052, 2.460040752, 1003.350
8, 2.460040829, 2.462065410, 1012.291
9, 2.462065497, 2.464079073, 1006.788
10, 2.464079161, 2.466042292, 981.566
11, 2.466042370, 2.468048554, 1003.092
12, 2.468048636, 2.470068209, 1009.787
13, 2.470068297, 2.472058214, 994.959
14, 2.472058298, 2.474072915, 1007.309
15, 2.474072994, 2.476081259, 1004.132
16, 2.476081336, 2.478062020, 990.342
17, 2.478062101, 2.480082970, 1010.435
18, 2.480083057, 2.482106978, 1011.961
19, 2.482107069, 2.484029513, 961.222
20, 2.484029591, 2.486039390, 1004.899
21, 2.486039632, 2.487994290, 977.329
22, 2.487994364, 2.490058785, 1032.211
23, 2.490058868, 2.492067798, 1004.465
24, 2.492067877, 2.494096708, 1014.416
25, 2.494096782, 2.496153184, 1028.201
26, 2.496153258, 2.498155114, 1000.928
27, 2.498155198, 2.500134842, 989.822
28, 2.500134924, 2.502050043, 957.559
29, 2.502050085, 2.504007958, 978.937
30, 2.504008038, 2.506046213, 1019.088
31, 2.506046297, 2.508054000, 1003.852
32, 2.508054042, 2.510072446, 1009.202
33, 2.510072527, 2.512092596, 1010.035
34, 2.512092650, 2.514109090, 1008.220
35, 2.514109167, 2.516098419, 994.626
36, 2.516098501, 2.518094168, 997.834
37, 2.518094258, 2.520100493, 1003.117
38, 2.520100578, 2.522120268, 1009.845
39, 2.522120353, 2.524112011, 995.829
40, 2.524112095, 2.526111557, 999.731
41, 2.526111639, 2.528099302, 993.832
42, 2.528099385, 2.530081568, 991.091
43, 2.530081646, 2.532091864, 1005.109
44, 2.532091945, 2.534108273, 1008.164
45, 2.534108349, 2.536108605, 1000.128
46, 2.536108684, 2.538101804, 996.560
47, 2.538101897, 2.540123626, 1010.864
48, 2.540123698, 2.542135334, 1005.818
