------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.001 sec; Warm up time=400 msec; SentMessages=87917; ReceivedMessages=598
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.508 sec; SentMessages=83701; ReceivedMessages=570
sockperf: [2;35m====> avg-latency=1546.614 (std-dev=108.046)[0m
sockperf: [0;31m# dropped messages = 268; # duplicated messages = 0; # out-of-order messages = 0[0m
sockperf: [2;35mTotal 570 observations[0m; each percentile contains 5.70 observations
sockperf: ---> <MAX> observation = 2391.710
sockperf: ---> percentile 99.999 = 2391.710
sockperf: ---> percentile 99.990 = 2391.710
sockperf: ---> percentile 99.900 = 1842.301
sockperf: ---> percentile 99.000 = 1749.792
sockperf: ---> percentile 90.000 = 1680.713
sockperf: ---> percentile 75.000 = 1622.253
sockperf: ---> percentile 50.000 = 1544.630
sockperf: ---> percentile 25.000 = 1469.409
sockperf: ---> <MIN> observation = 1087.887
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.444076277, 2.447174808, 1549.266
1, 2.455397975, 2.458478246, 1540.135
2, 2.466848352, 2.469663099, 1407.373
3, 2.477969475, 2.481206413, 1618.469
4, 2.489399978, 2.492417645, 1508.834
5, 2.500883829, 2.503940616, 1528.394
6, 2.512312004, 2.515157275, 1422.635
7, 2.523611519, 2.526506878, 1447.680
8, 2.534921722, 2.537911696, 1494.987
9, 2.591619215, 2.594983364, 1682.075
10, 2.602957236, 2.606319372, 1681.068
11, 2.614511173, 2.617660577, 1574.702
12, 2.625711156, 2.629047786, 1668.315
13, 2.637162034, 2.640398590, 1618.278
14, 2.648632851, 2.651892495, 1629.822
15, 2.660123903, 2.663219661, 1547.879
16, 2.671429104, 2.674522192, 1546.544
17, 2.682710343, 2.685831469, 1560.563
18, 2.694182433, 2.697322648, 1570.107
19, 2.705611361, 2.708568277, 1478.458
20, 2.717146526, 2.719919720, 1386.597
21, 2.773739999, 2.777146007, 1703.004
22, 2.785099741, 2.788449379, 1674.819
23, 2.796407573, 2.799635922, 1614.175
24, 2.807917357, 2.810940067, 1511.355
25, 2.819012509, 2.822319004, 1653.248
26, 2.830496082, 2.833602583, 1553.250
27, 2.841815695, 2.845075098, 1629.702
28, 2.853360300, 2.856196025, 1417.862
29, 2.864645864, 2.867658795, 1506.465
30, 2.875947062, 2.878944188, 1498.563
31, 2.887393962, 2.890397270, 1501.654
32, 2.898733592, 2.901683836, 1475.122
33, 2.955311643, 2.958996245, 1842.301
34, 2.966892297, 2.970194489, 1651.096
35, 2.978298304, 2.981527247, 1614.471
36, 2.989597241, 2.992699191, 1550.975
37, 3.000897195, 3.004136112, 1619.459
38, 3.012176899, 3.015421526, 1622.313
39, 3.023609026, 3.026976336, 1683.655
40, 3.035096725, 3.038015439, 1459.357
41, 3.046395779, 3.049454032, 1529.127
42, 3.057808540, 3.060874918, 1533.189
43, 3.069331084, 3.072110194, 1389.555
44, 3.080687004, 3.083474385, 1393.690
45, 3.125904510, 3.128692448, 1393.969
46, 3.137402715, 3.140748713, 1672.999
47, 3.148894628, 3.152189260, 1647.316
48, 3.160175265, 3.163434274, 1629.504
49, 3.171607430, 3.174835266, 1613.918
50, 3.183065747, 3.186108184, 1521.218
51, 3.194468107, 3.197455470, 1493.682
52, 3.205596528, 3.208805572, 1604.522
53, 3.217003317, 3.220088859, 1542.771
54, 3.228489923, 3.231528649, 1519.363
55, 3.239830236, 3.242805124, 1487.444
56, 3.251352672, 3.254122702, 1385.015
57, 3.262679841, 3.265483466, 1401.812
58, 3.319262059, 3.322506754, 1622.348
59, 3.330687014, 3.333880306, 1596.646
