------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.001 sec; Warm up time=400 msec; SentMessages=87814; ReceivedMessages=572
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.521 sec; SentMessages=83601; ReceivedMessages=551
sockperf: [2;35m====> avg-latency=1471.399 (std-dev=181.848)[0m
sockperf: [0;31m# dropped messages = 286; # duplicated messages = 0; # out-of-order messages = 0[0m
sockperf: [2;35mTotal 551 observations[0m; each percentile contains 5.51 observations
sockperf: ---> <MAX> observation = 2263.373
sockperf: ---> percentile 99.999 = 2263.373
sockperf: ---> percentile 99.990 = 2263.373
sockperf: ---> percentile 99.900 = 1759.505
sockperf: ---> percentile 99.000 = 1710.250
sockperf: ---> percentile 90.000 = 1628.110
sockperf: ---> percentile 75.000 = 1573.022
sockperf: ---> percentile 50.000 = 1497.530
sockperf: ---> percentile 25.000 = 1421.265
sockperf: ---> <MIN> observation =  488.370
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.428907849, 2.432028623, 1560.387
1, 2.440337474, 2.443260259, 1461.392
2, 2.451644332, 2.454696814, 1526.241
3, 2.462944895, 2.465943901, 1499.503
4, 2.474250568, 2.477266388, 1507.910
5, 2.485695385, 2.488496362, 1400.489
6, 2.496781531, 2.499783498, 1500.984
7, 2.586960119, 2.590114039, 1576.960
8, 2.598265559, 2.601516291, 1625.366
9, 2.609855421, 2.612774340, 1459.459
10, 2.620949421, 2.624175542, 1613.060
11, 2.632562252, 2.635677998, 1557.873
12, 2.643873805, 2.647154209, 1640.202
13, 2.655588122, 2.658332458, 1372.168
14, 2.666695405, 2.669807940, 1556.268
15, 2.678128919, 2.681052921, 1462.001
16, 2.768066761, 2.771572253, 1752.746
17, 2.779530778, 2.782884146, 1676.684
18, 2.791159288, 2.794177941, 1509.326
19, 2.802571692, 2.805867218, 1647.763
20, 2.813903530, 2.816971846, 1534.158
21, 2.825193658, 2.828192223, 1499.282
22, 2.836697507, 2.839485167, 1393.830
23, 2.847795545, 2.850772461, 1488.458
24, 2.859311952, 2.862211739, 1449.893
25, 2.949580241, 2.952874952, 1647.356
26, 2.960868779, 2.964218928, 1675.074
27, 2.972269496, 2.975380287, 1555.396
28, 2.983754129, 2.986786998, 1516.434
29, 2.994984985, 2.998181140, 1598.078
30, 3.006342093, 3.009488218, 1573.063
31, 3.017726440, 3.020976021, 1624.791
32, 3.029180404, 3.032009824, 1414.710
33, 3.040286467, 3.043330975, 1522.254
34, 3.130336833, 3.133507974, 1585.570
35, 3.141662797, 3.144731241, 1534.222
36, 3.152979210, 3.155974270, 1497.530
37, 3.164285619, 3.167482951, 1598.666
38, 3.175922779, 3.178799789, 1438.505
39, 3.187264133, 3.190213842, 1474.854
40, 3.198582848, 3.201738495, 1577.823
41, 3.210073523, 3.212940641, 1433.559
42, 3.221491260, 3.224505724, 1507.232
43, 3.311810808, 3.314735680, 1462.436
44, 3.322927518, 3.325829196, 1450.839
45, 3.334038362, 3.337265187, 1613.412
46, 3.345560346, 3.348551389, 1495.522
47, 3.356847120, 3.359901291, 1527.086
48, 3.368289503, 3.371278117, 1494.307
49, 3.379738096, 3.382420925, 1341.414
50, 3.391029775, 3.393969648, 1469.937
51, 3.402419297, 3.405460032, 1520.368
52, 3.492365767, 3.495641717, 1637.975
53, 3.503926236, 3.506898129, 1485.946
54, 3.515085502, 3.518175254, 1544.876
55, 3.526621539, 3.529565192, 1471.827
56, 3.537752798, 3.540931577, 1589.389
57, 3.549262449, 3.552199971, 1468.761
58, 3.560742299, 3.563610934, 1434.317
59, 3.572133461, 3.575186615, 1526.577
60, 3.583671833, 3.586512854, 1420.510
61, 3.673399085, 3.676511138, 1556.026
62, 3.684961532, 3.688194012, 1616.240
63, 3.696342657, 3.699279109, 1468.226
64, 3.707454486, 3.710697548, 1621.531
65, 3.719239239, 3.722106695, 1433.728
66, 3.730358419, 3.733498561, 1570.071
67, 3.741930030, 3.744852346, 1461.158
68, 3.753241323, 3.756103161, 1430.919
69, 3.764625482, 3.767464940, 1419.729
70, 3.854407199, 3.857616582, 1604.691
71, 3.866088309, 3.869197273, 1554.482
72, 3.877193911, 3.880373866, 1589.977
73, 3.888614839, 3.891784989, 1585.075
74, 3.900131580, 3.903100516, 1484.468
75, 3.911671712, 3.914448224, 1388.256
76, 3.922790257, 3.925765475, 1487.609
77, 3.933895495, 3.937085213, 1594.859
78, 3.945231844, 3.948325101, 1546.629
79, 4.035530643, 4.038642147, 1555.752
80, 4.046644024, 4.049986964, 1671.470
81, 4.057926442, 4.061099521, 1586.539
82, 4.069426128, 4.072483112, 1528.492
83, 4.080746297, 4.083734255, 1493.979
84, 4.092396473, 4.095030568, 1317.048
85, 4.103517689, 4.106547764, 1515.038
86, 4.115042083, 4.117910039, 1433.978
87, 4.126521856, 4.129425916, 1452.030
88, 4.149392248, 4.152254960, 1431.356
89, 4.172626460, 4.175031072, 1202.306
90, 4.217915060, 4.221020454, 1552.697
91, 4.229219414, 4.232443774, 1612.180
92, 4.240731459, 4.243681565, 1475.053
93, 4.252032417, 4.255283319, 1625.451
94, 4.263664529, 4.266588561, 1462.016
95, 4.275009757, 4.277782100, 1386.172
96, 4.286322435, 4.289235138, 1456.352
97, 4.297819196, 4.300481730, 1331.267
98, 4.308923320, 4.311871625, 1474.153
99, 4.320451499, 4.323141778, 1345.140
100, 4.387958384, 4.390677344, 1359.480
101, 4.400281688, 4.403411398, 1564.855
102, 4.411747459, 4.414878366, 1565.454
103, 4.423075395, 4.426050813, 1487.709
104, 4.434679707, 4.437636824, 1478.559
105, 4.445968284, 4.449039341, 1535.529
106, 4.457476016, 4.460447387, 1485.686
107, 4.468793108, 4.472026990, 1616.941
108, 4.480148884, 4.483211852, 1531.484
109, 4.491648230, 4.494572472, 1462.121
110, 4.503004452, 4.505744605, 1370.077
111, 4.514391739, 4.517160419, 1384.340
112, 4.548296595, 4.551066581, 1384.993
113, 4.582257998, 4.585678500, 1710.251
114, 4.593602557, 4.596898221, 1647.832
115, 4.605235654, 4.608224693, 1494.520
116, 4.616349026, 4.619729361, 1690.168
117, 4.627831847, 4.631112340, 1640.246
118, 4.639300515, 4.642254833, 1477.159
119, 4.650794918, 4.653737729, 1471.406
120, 4.661891713, 4.664922772, 1515.529
121, 4.673419366, 4.676234371, 1407.503
122, 4.763882256, 4.767150264, 1634.004
123, 4.775188541, 4.778475076, 1643.267
124, 4.786812803, 4.789679208, 1433.202
125, 4.798107599, 4.801134151, 1513.276
126, 4.809605746, 4.812581527, 1487.890
127, 4.820832607, 4.823945637, 1556.515
128, 4.832163269, 4.835173875, 1505.303
129, 4.843546785, 4.846511665, 1482.440
130, 4.854955493, 4.857924614, 1484.561
131, 4.945036544, 4.948191419, 1577.437
132, 4.956572092, 4.959706453, 1567.180
133, 4.967863317, 4.970920086, 1528.385
134, 4.979198849, 4.982396347, 1598.749
135, 4.990564750, 4.993637928, 1536.589
136, 5.002048654, 5.004931587, 1441.466
137, 5.013176722, 5.016288608, 1555.943
138, 5.024691789, 5.027568784, 1438.498
139, 5.036193383, 5.039042015, 1424.316
140, 5.125995758, 5.129059162, 1531.702
141, 5.137290930, 5.140574932, 1642.001
142, 5.148641339, 5.151805564, 1582.112
143, 5.160120966, 5.163330313, 1604.674
144, 5.171682522, 5.174734512, 1525.995
145, 5.182986006, 5.186056491, 1535.243
146, 5.194673207, 5.197417815, 1372.304
147, 5.205789828, 5.208835415, 1522.793
148, 5.217109965, 5.220007732, 1448.884
149, 5.307022686, 5.310141654, 1559.484
150, 5.318563750, 5.321662614, 1549.432
151, 5.329668249, 5.332912006, 1621.879
152, 5.341042657, 5.344214255, 1585.799
153, 5.352360621, 5.355472080, 1555.729
154, 5.363978085, 5.366938287, 1480.101
155, 5.375079469, 5.378231040, 1575.786
156, 5.386625522, 5.389493515, 1433.996
157, 5.397948597, 5.400711569, 1381.486
158, 5.409271755, 5.411994944, 1361.595
159, 5.488308804, 5.491474742, 1582.969
160, 5.499561019, 5.502812714, 1625.847
161, 5.511344397, 5.514235971, 1445.787
162, 5.522465899, 5.525604558, 1569.330
163, 5.533809777, 5.537015804, 1603.014
164, 5.545124616, 5.548277423, 1576.404
165, 5.556771017, 5.559642255, 1435.619
166, 5.568213707, 5.570882908, 1334.600
167, 5.579322072, 5.582371943, 1524.935
168, 5.669405830, 5.672390347, 1492.259
169, 5.680825045, 5.683962148, 1568.552
170, 5.691945099, 5.695082463, 1568.682
171, 5.703437000, 5.706528800, 1545.900
172, 5.714768700, 5.717853658, 1542.479
173, 5.726224661, 5.729177784, 1476.562
174, 5.737621381, 5.740621169, 1499.894
