# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.891        6.852
       1.001        0.000        1.891        6.852
       2.002        0.000        1.891        6.852
       3.004        2.000        1.891        6.855
       4.006       12.000        1.891        6.855
       5.008        8.000        1.891        6.855
       6.009       10.000        1.891        6.855
       7.011        8.000        1.891        6.855
       8.012       11.000        1.891        6.855
       9.014       14.000        1.891        6.855
      10.015       15.000        1.891        6.855
      11.017       11.000        1.891        6.855
      12.018        8.000        1.891        6.855
