------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=7147; ReceivedMessages=7146
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.549 sec; SentMessages=6789; ReceivedMessages=6789
sockperf: [2;35m====> avg-latency=703.184 (std-dev=65.610)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 6789 observations[0m; each percentile contains 67.89 observations
sockperf: ---> <MAX> observation = 1064.367
sockperf: ---> percentile 99.999 = 1064.367
sockperf: ---> percentile 99.990 =  885.886
sockperf: ---> percentile 99.900 =  833.569
sockperf: ---> percentile 99.000 =  817.629
sockperf: ---> percentile 90.000 =  800.217
sockperf: ---> percentile 75.000 =  740.407
sockperf: ---> percentile 50.000 =  710.427
sockperf: ---> percentile 25.000 =  661.697
sockperf: ---> <MIN> observation =  433.963
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.434314111, 2.435566413, 626.151
1, 2.435566489, 2.436703945, 568.728
2, 2.436704064, 2.437822405, 559.171
3, 2.437822446, 2.439080719, 629.136
4, 2.439080873, 2.440223503, 571.315
5, 2.440223718, 2.441425755, 601.018
6, 2.441425875, 2.442587155, 580.640
7, 2.442587253, 2.443799976, 606.361
8, 2.443800003, 2.445015938, 607.968
9, 2.445016182, 2.446230016, 606.917
10, 2.446230306, 2.447379577, 574.636
11, 2.447379755, 2.448547141, 583.693
12, 2.448547368, 2.449763010, 607.821
13, 2.449763208, 2.450990765, 613.778
14, 2.450990937, 2.452152189, 580.626
15, 2.452152384, 2.453271534, 559.575
16, 2.453271750, 2.454506738, 617.494
17, 2.454506836, 2.455671702, 582.433
18, 2.455671767, 2.456847247, 587.740
19, 2.456847338, 2.458007137, 579.899
20, 2.458007393, 2.459156254, 574.430
21, 2.459156501, 2.460363225, 603.362
22, 2.460366639, 2.461481423, 557.392
23, 2.461481618, 2.462688836, 603.609
24, 2.462689116, 2.463909718, 610.301
25, 2.463909994, 2.465066111, 578.058
26, 2.465066295, 2.466242943, 588.324
27, 2.466243221, 2.467455787, 606.283
28, 2.467455809, 2.468687366, 615.779
29, 2.468687522, 2.469846057, 579.268
30, 2.469846205, 2.471078122, 615.958
31, 2.471078250, 2.472265708, 593.729
32, 2.472265773, 2.473455352, 594.789
33, 2.473455476, 2.474611134, 577.829
34, 2.474611289, 2.475784709, 586.710
35, 2.475784717, 2.477010592, 612.938
36, 2.477010645, 2.478195494, 592.424
37, 2.478195515, 2.479442298, 623.391
38, 2.479442842, 2.480589864, 573.511
39, 2.480590236, 2.481746597, 578.181
40, 2.481746713, 2.482842454, 547.870
41, 2.482842490, 2.483994290, 575.900
42, 2.483994342, 2.485162888, 584.273
43, 2.485163221, 2.486313601, 575.190
44, 2.486314240, 2.487595068, 640.414
45, 2.487595153, 2.488755153, 580.000
46, 2.488755291, 2.489991995, 618.352
47, 2.489992293, 2.491244898, 626.302
48, 2.491245022, 2.492409515, 582.247
49, 2.492409680, 2.493622910, 606.615
50, 2.493623026, 2.494870834, 623.904
51, 2.494871389, 2.495739317, 433.964
52, 2.495739370, 2.496913236, 586.933
53, 2.496913301, 2.498295276, 690.988
54, 2.498295882, 2.499667812, 685.965
55, 2.499668046, 2.501044955, 688.455
56, 2.501045195, 2.502349471, 652.138
57, 2.502349539, 2.503628175, 639.318
58, 2.503628218, 2.504928935, 650.358
59, 2.504928965, 2.506273597, 672.316
60, 2.506273641, 2.507575159, 650.759
61, 2.507575241, 2.508888213, 656.486
62, 2.508888247, 2.510248295, 680.024
63, 2.510248559, 2.511526306, 638.873
64, 2.511526377, 2.512751977, 612.800
65, 2.512752109, 2.513984085, 615.988
66, 2.513984189, 2.515331197, 673.504
67, 2.515331286, 2.516631800, 650.257
68, 2.516632002, 2.518040886, 704.442
69, 2.518040959, 2.519344876, 651.958
70, 2.519344953, 2.520651074, 653.060
71, 2.520651141, 2.521966728, 657.794
72, 2.521967014, 2.523376442, 704.714
73, 2.523376698, 2.524383241, 503.271
74, 2.524383345, 2.525471564, 544.109
75, 2.525471659, 2.526768333, 648.337
76, 2.526768599, 2.528133087, 682.244
77, 2.528133290, 2.529448135, 657.422
78, 2.529448235, 2.530675742, 613.754
79, 2.530675784, 2.531924877, 624.546
80, 2.531924924, 2.533326851, 700.963
81, 2.533327130, 2.534686715, 679.793
82, 2.534686945, 2.535976540, 644.798
83, 2.535976586, 2.537391589, 707.501
84, 2.537391707, 2.538716303, 662.298
85, 2.538716405, 2.540142008, 712.801
86, 2.540142217, 2.541441238, 649.510
87, 2.541441309, 2.542684389, 621.540
88, 2.542684526, 2.544007929, 661.701
89, 2.544008291, 2.545311293, 651.501
90, 2.545311325, 2.546609629, 649.152
91, 2.546609663, 2.547916858, 653.597
92, 2.547916895, 2.549286929, 685.017
93, 2.549286962, 2.550559422, 636.230
94, 2.550559526, 2.551921519, 680.997
95, 2.551921548, 2.553238122, 658.287
96, 2.553238148, 2.554508200, 635.026
97, 2.554508238, 2.555816081, 653.922
98, 2.555816437, 2.557078889, 631.226
99, 2.557078922, 2.558420546, 670.812
100, 2.558420619, 2.559809888, 694.634
101, 2.559810284, 2.561100027, 644.872
102, 2.561100231, 2.562402436, 651.103
103, 2.562402654, 2.563680208, 638.777
104, 2.563680231, 2.564996220, 657.994
105, 2.564996240, 2.566354698, 679.229
106, 2.566354722, 2.567614585, 629.931
107, 2.567614612, 2.568873648, 629.518
108, 2.568873668, 2.570259256, 692.794
109, 2.570259275, 2.571550290, 645.508
110, 2.571550677, 2.572945487, 697.405
111, 2.572945776, 2.574293709, 673.966
112, 2.574293814, 2.575588506, 647.346
113, 2.575588556, 2.576915832, 663.638
114, 2.576915923, 2.578333877, 708.977
115, 2.578333952, 2.579751945, 708.997
116, 2.579752016, 2.581043443, 645.713
117, 2.581043499, 2.582407471, 681.986
118, 2.582407524, 2.583668539, 630.507
119, 2.583668582, 2.584954611, 643.015
120, 2.584954728, 2.586145837, 595.555
121, 2.586145933, 2.587389999, 622.033
122, 2.587390111, 2.588655482, 632.685
123, 2.588655539, 2.590058869, 701.665
124, 2.590058930, 2.591480557, 710.813
125, 2.591480632, 2.592922285, 720.827
126, 2.592922370, 2.594150660, 614.145
127, 2.594150779, 2.595404978, 627.099
128, 2.595405104, 2.596836908, 715.902
129, 2.596836995, 2.598266909, 714.957
130, 2.598267008, 2.599749412, 741.202
131, 2.599749480, 2.600978875, 614.697
132, 2.600978941, 2.602134287, 577.673
133, 2.602134362, 2.603380583, 623.111
134, 2.603380668, 2.604532851, 576.091
135, 2.604532937, 2.605694295, 580.679
136, 2.605694598, 2.607217392, 761.397
137, 2.607217460, 2.608568537, 675.539
138, 2.608568741, 2.609971554, 701.407
139, 2.609971946, 2.611264099, 646.077
140, 2.611264340, 2.612357554, 546.607
141, 2.612357616, 2.613388927, 515.656
142, 2.613388971, 2.614788889, 699.959
143, 2.614788926, 2.616168293, 689.684
144, 2.616168347, 2.617647039, 739.346
145, 2.617647120, 2.619208498, 780.689
146, 2.619208559, 2.620679443, 735.442
147, 2.620679522, 2.622021589, 671.033
148, 2.622021671, 2.623489864, 734.097
149, 2.623489927, 2.624996067, 753.070
150, 2.624996127, 2.626439838, 721.855
151, 2.626439907, 2.627988258, 774.175
152, 2.627988325, 2.629451580, 731.627
153, 2.629451648, 2.631015371, 781.861
154, 2.631015425, 2.632489983, 737.279
155, 2.632490056, 2.634065415, 787.680
156, 2.634065679, 2.635687378, 810.850
157, 2.635687606, 2.637319273, 815.834
158, 2.637319506, 2.638909106, 794.800
159, 2.638909341, 2.640427479, 759.069
160, 2.640427757, 2.642034498, 803.370
161, 2.642034723, 2.643665552, 815.414
162, 2.643665777, 2.645257780, 796.002
163, 2.645258011, 2.646821190, 781.590
164, 2.646821490, 2.648095945, 637.227
