------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=6942; ReceivedMessages=6941
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.550 sec; SentMessages=6651; ReceivedMessages=6651
sockperf: [2;35m====> avg-latency=717.849 (std-dev=50.406)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 6651 observations[0m; each percentile contains 66.51 observations
sockperf: ---> <MAX> observation = 1769.309
sockperf: ---> percentile 99.999 = 1769.309
sockperf: ---> percentile 99.990 = 1088.592
sockperf: ---> percentile 99.900 =  827.730
sockperf: ---> percentile 99.000 =  813.857
sockperf: ---> percentile 90.000 =  781.225
sockperf: ---> percentile 75.000 =  738.610
sockperf: ---> percentile 50.000 =  728.079
sockperf: ---> percentile 25.000 =  693.219
sockperf: ---> <MIN> observation =  481.722
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.434705789, 2.436309946, 802.078
1, 2.436310132, 2.437878562, 784.215
2, 2.437878752, 2.439366517, 743.882
3, 2.439366695, 2.440989173, 811.239
4, 2.440989389, 2.442568828, 789.720
5, 2.442569036, 2.444186281, 808.622
6, 2.444186467, 2.445714041, 763.787
7, 2.445714262, 2.447271828, 778.783
8, 2.447272055, 2.448861785, 794.865
9, 2.448862006, 2.450463916, 800.955
10, 2.450464100, 2.452051308, 793.604
11, 2.452051520, 2.453513547, 731.013
12, 2.453513756, 2.455145141, 815.693
13, 2.455145360, 2.456753297, 803.968
14, 2.456753507, 2.458350155, 798.324
15, 2.458350392, 2.459904426, 777.017
16, 2.459904578, 2.461446917, 771.169
17, 2.461447127, 2.463068691, 810.782
18, 2.463068880, 2.464668868, 799.994
19, 2.464669080, 2.466265110, 798.015
20, 2.466265313, 2.467897741, 816.214
21, 2.467897926, 2.469503133, 802.603
22, 2.469503347, 2.471097451, 797.052
23, 2.471097669, 2.472625226, 763.778
24, 2.472625310, 2.474193575, 784.133
25, 2.474193790, 2.475831429, 818.819
26, 2.475831675, 2.477440179, 804.252
27, 2.477440387, 2.478967845, 763.729
28, 2.478968058, 2.480482525, 757.233
29, 2.480482737, 2.481901462, 709.362
30, 2.481901678, 2.483536469, 817.396
31, 2.483536730, 2.485143107, 803.188
32, 2.485143322, 2.486661648, 759.163
33, 2.486661729, 2.488230902, 784.587
34, 2.488231131, 2.489837207, 803.038
35, 2.489837452, 2.491449441, 805.995
36, 2.491449656, 2.493041295, 795.819
37, 2.493041515, 2.494669391, 813.938
38, 2.494669607, 2.496283597, 806.995
39, 2.496283791, 2.497902818, 809.513
40, 2.497903034, 2.499507317, 802.141
41, 2.499507540, 2.500939308, 715.884
42, 2.500939376, 2.502382354, 721.489
43, 2.502382563, 2.504001093, 809.265
44, 2.504001304, 2.505608443, 803.570
45, 2.505608667, 2.507214365, 802.849
46, 2.507214576, 2.508822581, 804.003
47, 2.508822797, 2.510347840, 762.522
48, 2.510348053, 2.511881465, 766.706
49, 2.511881678, 2.513346105, 732.214
50, 2.513346186, 2.514832128, 742.971
51, 2.514832322, 2.516118985, 643.331
52, 2.516119169, 2.517543922, 712.376
53, 2.517544131, 2.519146949, 801.409
54, 2.519147157, 2.520712492, 782.667
55, 2.520712703, 2.522098267, 692.782
56, 2.522098476, 2.523641517, 771.521
57, 2.523641729, 2.525068263, 713.267
58, 2.525068476, 2.526623809, 777.666
59, 2.526624018, 2.528089185, 732.584
60, 2.528089392, 2.529642364, 776.486
61, 2.529642582, 2.531111140, 734.279
62, 2.531111391, 2.532627851, 758.230
63, 2.532628063, 2.534186240, 779.088
64, 2.534186463, 2.535714650, 764.093
65, 2.535714867, 2.537210975, 748.054
66, 2.537211067, 2.538740154, 764.544
67, 2.538740368, 2.540357465, 808.549
68, 2.540357683, 2.541971983, 807.150
69, 2.541972195, 2.543603294, 815.549
70, 2.543603504, 2.545212070, 804.283
71, 2.545212255, 2.546821711, 804.728
72, 2.546821964, 2.548428924, 803.480
73, 2.548429142, 2.550034188, 802.523
74, 2.550034397, 2.551469579, 717.591
75, 2.551469678, 2.552946723, 738.522
76, 2.552946784, 2.554489100, 771.158
77, 2.554489306, 2.556096339, 803.517
78, 2.556096551, 2.557707007, 805.228
79, 2.557707218, 2.559227849, 760.315
80, 2.559228060, 2.560836683, 804.312
81, 2.560836882, 2.562400734, 781.926
82, 2.562400849, 2.563861580, 730.365
83, 2.563861661, 2.565334492, 736.416
84, 2.565334711, 2.566948333, 806.811
85, 2.566948519, 2.568443605, 747.543
86, 2.568443820, 2.570056456, 806.318
87, 2.570056666, 2.571665718, 804.526
88, 2.571665966, 2.573267698, 800.866
89, 2.573267887, 2.574872199, 802.156
90, 2.574872411, 2.576490827, 809.208
91, 2.576491018, 2.578035254, 772.118
92, 2.578035367, 2.579513622, 739.127
93, 2.579514039, 2.581038840, 762.400
94, 2.581039029, 2.582646264, 803.618
95, 2.582646477, 2.584269844, 811.684
96, 2.584270052, 2.585875136, 802.542
97, 2.585875351, 2.587490505, 807.577
98, 2.587490686, 2.589040655, 774.984
99, 2.589040762, 2.590518570, 738.904
100, 2.590518625, 2.591976789, 729.082
101, 2.591977012, 2.593577610, 800.299
102, 2.593577830, 2.595183755, 802.962
103, 2.595183953, 2.596806487, 811.267
104, 2.596806734, 2.598409039, 801.152
105, 2.598409234, 2.600018774, 804.770
106, 2.600018981, 2.601595971, 788.495
107, 2.601596190, 2.603218267, 811.039
108, 2.603218458, 2.604824192, 802.867
109, 2.604824394, 2.606434008, 804.807
110, 2.606434235, 2.608043317, 804.541
111, 2.608043527, 2.609644342, 800.408
112, 2.609644554, 2.611236495, 795.971
113, 2.611236706, 2.612778135, 770.714
114, 2.612778472, 2.614238206, 729.867
115, 2.614238342, 2.615703317, 732.487
116, 2.615703374, 2.617171680, 734.153
117, 2.617171738, 2.618654481, 741.371
118, 2.618654538, 2.620123037, 734.249
119, 2.620123084, 2.621604101, 740.509
120, 2.621604147, 2.623065739, 730.796
121, 2.623065791, 2.624537542, 735.875
122, 2.624537591, 2.625884944, 673.677
123, 2.625884990, 2.627333038, 724.024
124, 2.627333083, 2.628798335, 732.626
125, 2.628798391, 2.630160605, 681.107
126, 2.630160695, 2.631580676, 709.991
127, 2.631580862, 2.633029813, 724.475
128, 2.633029845, 2.634395719, 682.937
129, 2.634395763, 2.635873556, 738.896
130, 2.635873611, 2.637330704, 728.546
131, 2.637330755, 2.638793142, 731.194
132, 2.638793209, 2.640240045, 723.418
133, 2.640240134, 2.641629562, 694.714
134, 2.641629615, 2.642952762, 661.573
135, 2.642952829, 2.644310231, 678.701
136, 2.644310286, 2.645664104, 676.909
137, 2.645664160, 2.647116784, 726.312
138, 2.647116836, 2.648591320, 737.242
139, 2.648591374, 2.649936059, 672.343
140, 2.649936148, 2.651406906, 735.379
141, 2.651406959, 2.652891130, 742.085
142, 2.652891196, 2.654218791, 663.798
143, 2.654218860, 2.655683337, 732.239
144, 2.655683403, 2.657029287, 672.942
145, 2.657029353, 2.658326768, 648.708
146, 2.658326832, 2.659654446, 663.807
147, 2.659654500, 2.661143430, 744.465
148, 2.661143485, 2.662608264, 732.389
149, 2.662608329, 2.664081486, 736.579
150, 2.664081554, 2.665552375, 735.411
151, 2.665552441, 2.667028974, 738.266
152, 2.667029037, 2.668494397, 732.680
153, 2.668494452, 2.669980517, 743.032
154, 2.669980574, 2.671450451, 734.938
155, 2.671451021, 2.672946111, 747.545
156, 2.672946202, 2.674404445, 729.121
157, 2.674404532, 2.675887857, 741.662
158, 2.675887913, 2.677342896, 727.492
159, 2.677342938, 2.678818926, 737.994
160, 2.678818982, 2.680160584, 670.801
161, 2.680160669, 2.681485844, 662.587
162, 2.681485888, 2.682926671, 720.392
163, 2.682926712, 2.684402687, 737.987
164, 2.684402728, 2.685900146, 748.709
165, 2.685900191, 2.687384365, 742.087
166, 2.687384456, 2.688848257, 731.901
167, 2.688848301, 2.690228809, 690.254
168, 2.690228893, 2.691696107, 733.607
169, 2.691696149, 2.693030972, 667.411
170, 2.693031016, 2.694458885, 713.934
171, 2.694458973, 2.695938218, 739.622
172, 2.695938272, 2.697407593, 734.661
173, 2.697407639, 2.698900161, 746.261
174, 2.698900205, 2.700375875, 737.835
175, 2.700375925, 2.701848863, 736.469
176, 2.701848950, 2.703311766, 731.408
177, 2.703311808, 2.704773645, 730.918
178, 2.704773689, 2.706111921, 669.116
179, 2.706111964, 2.707569921, 728.978
180, 2.707569976, 2.708933344, 681.684
181, 2.708933399, 2.710340282, 703.442
182, 2.710340335, 2.711800258, 729.962
183, 2.711800311, 2.713124241, 661.965
184, 2.713124294, 2.714445955, 660.830
185, 2.714446012, 2.715942707, 748.348
186, 2.715942793, 2.717404287, 730.747
187, 2.717404329, 2.718897405, 746.538
188, 2.718897482, 2.720364018, 733.268
189, 2.720364099, 2.721822029, 728.965
190, 2.721822070, 2.723280335, 729.133
191, 2.723280379, 2.724739129, 729.375
192, 2.724739184, 2.726077043, 668.929
193, 2.726077129, 2.727496178, 709.524
194, 2.727496223, 2.728831372, 667.574
195, 2.728831942, 2.730118402, 643.230
196, 2.730118447, 2.731389032, 635.292
197, 2.731389080, 2.732709057, 659.989
198, 2.732709113, 2.734058180, 674.534
199, 2.734058226, 2.735498353, 720.064
200, 2.735498415, 2.736956724, 729.155
201, 2.736956775, 2.738442485, 742.855
202, 2.738442526, 2.739930255, 743.864
203, 2.739930299, 2.741417139, 743.420
204, 2.741417230, 2.742893278, 738.024
205, 2.742893373, 2.744276241, 691.434
206, 2.744276326, 2.745778273, 750.974
207, 2.745778308, 2.747109994, 665.843
208, 2.747110079, 2.748585414, 737.667
209, 2.748585468, 2.749923208, 668.870
210, 2.749923260, 2.751098300, 587.520
211, 2.751098355, 2.752440030, 670.837
212, 2.752440084, 2.753762175, 661.046
213, 2.753762231, 2.755144561, 691.165
214, 2.755144602, 2.756612524, 733.961
215, 2.756612577, 2.757954946, 671.185
216, 2.757955038, 2.759438204, 741.583
