------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.001 sec; Warm up time=400 msec; SentMessages=7018; ReceivedMessages=7017
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.549 sec; SentMessages=6724; ReceivedMessages=6724
sockperf: [2;35m====> avg-latency=709.947 (std-dev=52.724)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 6724 observations[0m; each percentile contains 67.24 observations
sockperf: ---> <MAX> observation =  830.561
sockperf: ---> percentile 99.999 =  830.561
sockperf: ---> percentile 99.990 =  830.366
sockperf: ---> percentile 99.900 =  824.809
sockperf: ---> percentile 99.000 =  815.100
sockperf: ---> percentile 90.000 =  785.406
sockperf: ---> percentile 75.000 =  737.629
sockperf: ---> percentile 50.000 =  723.279
sockperf: ---> percentile 25.000 =  668.057
sockperf: ---> <MIN> observation =  459.495
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.434442502, 2.436048184, 802.841
1, 2.436048411, 2.437639980, 795.784
2, 2.437640203, 2.439263441, 811.619
3, 2.439263663, 2.440782714, 759.525
4, 2.440782984, 2.442335413, 776.214
5, 2.442335632, 2.443927528, 795.948
6, 2.443927742, 2.445551387, 811.822
7, 2.445551612, 2.447080232, 764.310
8, 2.447080345, 2.448615797, 767.726
9, 2.448616015, 2.450226989, 805.487
10, 2.450227194, 2.451831884, 802.345
11, 2.451832111, 2.453435251, 801.570
12, 2.453435436, 2.455043140, 803.852
13, 2.455043358, 2.456632199, 794.421
14, 2.456632384, 2.458258975, 813.295
15, 2.458259187, 2.459719231, 730.022
16, 2.459719298, 2.461124869, 702.785
17, 2.461124942, 2.462584792, 729.925
18, 2.462585009, 2.464218251, 816.621
19, 2.464218480, 2.465837756, 809.638
20, 2.465837985, 2.467444331, 803.173
21, 2.467444519, 2.469040731, 798.106
22, 2.469040951, 2.470667497, 813.273
23, 2.470667724, 2.472279800, 806.038
24, 2.472280019, 2.473830152, 775.066
25, 2.473830724, 2.475373867, 771.572
26, 2.475374085, 2.476987714, 806.815
27, 2.476987896, 2.478580669, 796.387
28, 2.478580880, 2.480200581, 809.850
29, 2.480201234, 2.481792912, 795.839
30, 2.481793126, 2.483387497, 797.186
31, 2.483387726, 2.484994536, 803.405
32, 2.484994756, 2.486600803, 803.024
33, 2.486601014, 2.488197645, 798.316
34, 2.488197866, 2.489785670, 793.902
35, 2.489785898, 2.491397251, 805.677
36, 2.491397457, 2.493018112, 810.327
37, 2.493018422, 2.494631323, 806.451
38, 2.494631508, 2.496237757, 803.125
39, 2.496237976, 2.497835353, 798.689
40, 2.497835539, 2.499464437, 814.449
41, 2.499464741, 2.500999622, 767.440
42, 2.500999843, 2.502484561, 742.359
43, 2.502484778, 2.504070604, 792.913
44, 2.504070821, 2.505602509, 765.844
45, 2.505603168, 2.507223723, 810.278
46, 2.507223935, 2.508826365, 801.215
47, 2.508826580, 2.510424304, 798.862
48, 2.510424490, 2.512051965, 813.737
49, 2.512052255, 2.513631443, 789.594
50, 2.513631741, 2.515275196, 821.727
51, 2.515275841, 2.516883545, 803.852
52, 2.516883742, 2.518441658, 778.958
53, 2.518442481, 2.519833994, 695.756
54, 2.519834037, 2.521405279, 785.621
55, 2.521405499, 2.523007587, 801.044
56, 2.523007793, 2.524620490, 806.349
57, 2.524620674, 2.526243366, 811.346
58, 2.526243567, 2.527882987, 819.710
59, 2.527883201, 2.529496206, 806.502
60, 2.529496418, 2.531112884, 808.233
61, 2.531113190, 2.532756621, 821.715
62, 2.532756919, 2.534311034, 777.057
63, 2.534311116, 2.535784051, 736.468
64, 2.535784288, 2.537335511, 775.611
65, 2.537335724, 2.538943059, 803.667
66, 2.538943266, 2.540563365, 810.050
67, 2.540563557, 2.542159872, 798.158
68, 2.542160081, 2.543659247, 749.583
69, 2.543659544, 2.545249760, 795.108
70, 2.545249983, 2.546877262, 813.639
71, 2.546877452, 2.548482064, 802.306
72, 2.548482251, 2.550004339, 761.044
73, 2.550004543, 2.551504658, 750.057
74, 2.551504843, 2.553078966, 787.062
75, 2.553079147, 2.554471329, 696.091
76, 2.554471535, 2.555721621, 625.043
77, 2.555721807, 2.557246358, 762.276
78, 2.557246537, 2.558825369, 789.416
79, 2.558825576, 2.560336661, 755.543
80, 2.560336875, 2.561902552, 782.838
81, 2.561902857, 2.563312699, 704.921
82, 2.563312763, 2.564843987, 765.612
83, 2.564844199, 2.566246018, 700.910
84, 2.566246227, 2.567868497, 811.135
85, 2.567868781, 2.569472310, 801.765
86, 2.569472509, 2.571070522, 799.006
87, 2.571070704, 2.572600657, 764.976
88, 2.572600840, 2.574218659, 808.909
89, 2.574218947, 2.575805580, 793.317
90, 2.575805771, 2.577417243, 805.736
91, 2.577417428, 2.578933989, 758.281
92, 2.578934085, 2.580376734, 721.325
93, 2.580376941, 2.581996242, 809.651
94, 2.581996422, 2.583617058, 810.318
95, 2.583617259, 2.585237041, 809.891
96, 2.585237232, 2.586858785, 810.777
97, 2.586859078, 2.588478398, 809.660
98, 2.588478613, 2.590097209, 809.298
99, 2.590097422, 2.591616513, 759.546
100, 2.591616698, 2.593259287, 821.295
101, 2.593259579, 2.594873749, 807.085
102, 2.594874419, 2.596490946, 808.263
103, 2.596491258, 2.598043792, 776.267
104, 2.598044006, 2.599542587, 749.290
105, 2.599543275, 2.601141070, 798.897
106, 2.601141263, 2.602784426, 821.582
107, 2.602784648, 2.604401891, 808.622
108, 2.604402108, 2.606022925, 810.408
109, 2.606023229, 2.607617898, 797.335
110, 2.607618083, 2.609252922, 817.419
111, 2.609253135, 2.610771424, 759.145
112, 2.610771531, 2.612332309, 780.389
113, 2.612332488, 2.613926866, 797.189
114, 2.613927048, 2.615540725, 806.839
115, 2.615540938, 2.617130723, 794.893
116, 2.617130918, 2.618721754, 795.418
117, 2.618722198, 2.620364047, 820.924
118, 2.620364232, 2.621981584, 808.676
119, 2.621981800, 2.623574591, 796.396
120, 2.623574804, 2.625124319, 774.758
121, 2.625124868, 2.626660468, 767.800
122, 2.626660679, 2.628290174, 814.748
123, 2.628290389, 2.629911115, 810.363
124, 2.629911311, 2.631520457, 804.573
125, 2.631520668, 2.633121964, 800.648
126, 2.633122177, 2.634748317, 813.070
127, 2.634748523, 2.636348439, 799.958
128, 2.636348622, 2.637959023, 805.201
129, 2.637959521, 2.639486181, 763.330
130, 2.639486748, 2.640977227, 745.239
131, 2.640977413, 2.642422177, 722.382
132, 2.642422360, 2.644024869, 801.255
133, 2.644025537, 2.645626932, 800.698
134, 2.645627579, 2.647247445, 809.933
135, 2.647247743, 2.648869529, 810.893
136, 2.648869745, 2.650471083, 800.669
137, 2.650471350, 2.652060467, 794.558
138, 2.652060679, 2.653580621, 759.971
139, 2.653580838, 2.655149945, 784.553
140, 2.655150076, 2.656662821, 756.372
141, 2.656663028, 2.658255895, 796.434
142, 2.658256079, 2.659878865, 811.393
143, 2.659879076, 2.661483290, 802.107
144, 2.661483516, 2.663069660, 793.072
145, 2.663069932, 2.664600596, 765.332
146, 2.664601275, 2.666223884, 811.304
147, 2.666224094, 2.667778335, 777.121
148, 2.667778448, 2.669219361, 720.457
149, 2.669219421, 2.670807845, 794.212
150, 2.670808059, 2.672412409, 802.175
151, 2.672412599, 2.674023374, 805.388
152, 2.674023587, 2.675629095, 802.754
153, 2.675629277, 2.677244752, 807.738
154, 2.677244933, 2.678772076, 763.571
155, 2.678772193, 2.680325055, 776.431
156, 2.680325273, 2.681944842, 809.785
157, 2.681945060, 2.683546622, 800.781
158, 2.683546808, 2.685150927, 802.060
159, 2.685151112, 2.686765208, 807.048
160, 2.686765406, 2.688370365, 802.480
161, 2.688370552, 2.689985660, 807.554
162, 2.689985872, 2.691582621, 798.374
163, 2.691582800, 2.693108713, 762.957
164, 2.693108823, 2.694658765, 774.971
165, 2.694658953, 2.696263183, 802.115
166, 2.696263367, 2.697867482, 802.057
167, 2.697867702, 2.699486400, 809.349
168, 2.699486615, 2.701080241, 796.813
169, 2.701080527, 2.702601268, 760.371
170, 2.702601551, 2.704212293, 805.371
171, 2.704212476, 2.705815582, 801.553
172, 2.705815801, 2.707373631, 778.915
173, 2.707373817, 2.708876066, 751.125
174, 2.708876271, 2.710416580, 770.154
175, 2.710416771, 2.711994115, 788.672
176, 2.711994327, 2.713600115, 802.894
177, 2.713600295, 2.715255645, 827.675
178, 2.715255862, 2.716776082, 760.110
179, 2.716776295, 2.718398415, 811.060
180, 2.718398646, 2.720017905, 809.629
181, 2.720018178, 2.721592282, 787.052
182, 2.721592495, 2.723164713, 786.109
183, 2.723164807, 2.724668798, 751.995
184, 2.724668986, 2.726289318, 810.166
185, 2.726289529, 2.727888390, 799.430
186, 2.727888580, 2.729512461, 811.940
187, 2.729512647, 2.731124496, 805.925
188, 2.731124708, 2.732746806, 811.049
189, 2.732747080, 2.734347091, 800.005
190, 2.734347276, 2.735947279, 800.002
191, 2.735947494, 2.737394462, 723.484
192, 2.737394681, 2.739011210, 808.265
193, 2.739011885, 2.740639816, 813.965
194, 2.740640182, 2.742285881, 822.850
195, 2.742286553, 2.743884688, 799.068
196, 2.743884874, 2.745496877, 806.001
197, 2.745497163, 2.747082021, 792.429
198, 2.747082678, 2.748703304, 810.313
199, 2.748703523, 2.750262883, 779.680
200, 2.750263014, 2.751732620, 734.803
201, 2.751732672, 2.753177599, 722.464
202, 2.753177785, 2.754721585, 771.900
203, 2.754721768, 2.756332222, 805.227
204, 2.756332433, 2.757950882, 809.225
205, 2.757951097, 2.759545339, 797.121
206, 2.759545547, 2.761167239, 810.846
207, 2.761167455, 2.762766440, 799.492
208, 2.762766656, 2.764399918, 816.631
209, 2.764400192, 2.766001253, 800.531
210, 2.766001458, 2.767614402, 806.472
211, 2.767614610, 2.769224667, 805.029
