------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=93870; ReceivedMessages=857
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.515 sec; SentMessages=89401; ReceivedMessages=814
sockperf: [2;35m====> avg-latency=1127.205 (std-dev=180.696)[0m
sockperf: [0;31m# dropped messages = 81; # duplicated messages = 0; # out-of-order messages = 0[0m
sockperf: [2;35mTotal 814 observations[0m; each percentile contains 8.14 observations
sockperf: ---> <MAX> observation = 1471.262
sockperf: ---> percentile 99.999 = 1471.262
sockperf: ---> percentile 99.990 = 1471.262
sockperf: ---> percentile 99.900 = 1410.799
sockperf: ---> percentile 99.000 = 1362.393
sockperf: ---> percentile 90.000 = 1291.664
sockperf: ---> percentile 75.000 = 1235.095
sockperf: ---> percentile 50.000 = 1169.412
sockperf: ---> percentile 25.000 = 1082.576
sockperf: ---> <MIN> observation =  418.762
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.445059140, 2.447531846, 1236.353
1, 2.455536149, 2.457906209, 1185.030
2, 2.465991794, 2.468481931, 1245.068
3, 2.476437296, 2.478946844, 1254.774
4, 2.487166641, 2.489605114, 1219.237
5, 2.497635223, 2.500097342, 1231.060
6, 2.508398320, 2.510605752, 1103.716
7, 2.529519351, 2.532112919, 1296.784
8, 2.540311668, 2.542631201, 1159.766
9, 2.550773593, 2.553140883, 1183.645
10, 2.561239646, 2.563677608, 1218.981
11, 2.571971952, 2.574219268, 1123.658
12, 2.582420809, 2.584765690, 1172.440
13, 2.593235617, 2.595291389, 1027.886
14, 2.614148442, 2.616848193, 1349.875
15, 2.624939713, 2.627394110, 1227.198
16, 2.635393345, 2.637759622, 1183.138
17, 2.645857483, 2.648292201, 1217.359
18, 2.656713192, 2.658858065, 1072.437
19, 2.667171873, 2.669520619, 1174.373
20, 2.677623901, 2.679905079, 1140.589
21, 2.698892101, 2.701335316, 1221.608
22, 2.709359191, 2.711873365, 1257.087
23, 2.719813909, 2.722344276, 1265.184
24, 2.730593875, 2.733005573, 1205.849
25, 2.741050431, 2.743519338, 1234.454
26, 2.751512518, 2.754036707, 1262.094
27, 2.783528194, 2.785959558, 1215.682
28, 2.794005807, 2.796357382, 1175.788
29, 2.804481595, 2.806946210, 1232.307
30, 2.814940533, 2.817440313, 1249.890
31, 2.825405800, 2.827854331, 1224.265
32, 2.836164654, 2.838441775, 1138.560
33, 2.867986694, 2.870133271, 1073.288
34, 2.878437722, 2.880558189, 1060.233
35, 2.888875546, 2.891074772, 1099.613
36, 2.899329850, 2.901616000, 1143.075
37, 2.909790370, 2.911991346, 1100.488
38, 2.920264162, 2.922650007, 1192.923
39, 2.951939987, 2.954585709, 1322.861
40, 2.962407095, 2.964966732, 1279.818
41, 2.973093128, 2.975521787, 1214.329
42, 2.983555421, 2.986206607, 1325.593
43, 2.994332258, 2.996619508, 1143.625
44, 3.004782169, 3.007134577, 1176.204
45, 3.015626062, 3.017785210, 1079.574
46, 3.026425722, 3.028491590, 1032.934
47, 3.036891043, 3.039563919, 1336.438
48, 3.047848594, 3.050253739, 1202.573
49, 3.058675348, 3.060911651, 1118.151
