------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.001 sec; Warm up time=400 msec; SentMessages=93408; ReceivedMessages=888
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.529 sec; SentMessages=89001; ReceivedMessages=851
sockperf: [2;35m====> avg-latency=771.200 (std-dev=360.100)[0m
sockperf: [0;31m# dropped messages = 40; # duplicated messages = 0; # out-of-order messages = 0[0m
sockperf: [2;35mTotal 851 observations[0m; each percentile contains 8.51 observations
sockperf: ---> <MAX> observation = 1534.972
sockperf: ---> percentile 99.999 = 1534.972
sockperf: ---> percentile 99.990 = 1534.972
sockperf: ---> percentile 99.900 = 1496.963
sockperf: ---> percentile 99.000 = 1319.651
sockperf: ---> percentile 90.000 = 1203.494
sockperf: ---> percentile 75.000 = 1116.931
sockperf: ---> percentile 50.000 =  811.159
sockperf: ---> percentile 25.000 =  409.343
sockperf: ---> <MIN> observation =  240.961
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.426375682, 2.427060025, 342.172
1, 2.436990170, 2.437804009, 406.920
2, 2.447614566, 2.448238435, 311.934
3, 2.458231732, 2.458934084, 351.176
4, 2.468849871, 2.469648429, 399.279
5, 2.479472795, 2.480262738, 394.972
6, 2.490090519, 2.490862381, 385.931
7, 2.511334607, 2.512242129, 453.761
8, 2.521955737, 2.522782408, 413.335
9, 2.532583105, 2.533354939, 385.917
10, 2.543204804, 2.543902125, 348.661
11, 2.564455165, 2.565135950, 340.393
12, 2.575062440, 2.575868887, 403.223
13, 2.585683009, 2.586494195, 405.593
14, 2.596306350, 2.597019541, 356.596
15, 2.606929960, 2.607720210, 395.125
16, 2.617555086, 2.618296899, 370.906
17, 2.628177361, 2.628978366, 400.502
18, 2.649422734, 2.650227044, 402.155
19, 2.660037973, 2.660769046, 365.536
20, 2.670661390, 2.671394713, 366.661
21, 2.681270452, 2.681956817, 343.182
22, 2.691896877, 2.692504021, 303.572
23, 2.702535394, 2.703386076, 425.341
24, 2.713151983, 2.713995256, 421.636
25, 2.723769143, 2.724740108, 485.482
26, 2.734404807, 2.735133362, 364.278
27, 2.745026052, 2.745779249, 376.598
28, 2.755657855, 2.756335502, 338.823
29, 2.766267400, 2.767022654, 377.627
30, 2.776894563, 2.777376486, 240.961
31, 2.787516999, 2.788345273, 414.137
32, 2.798135618, 2.798797034, 330.708
33, 2.808762980, 2.809815725, 526.372
34, 2.819393030, 2.820241026, 423.998
35, 2.830013171, 2.830790076, 388.452
36, 2.840633439, 2.841324810, 345.686
37, 2.851246203, 2.852082910, 418.353
38, 2.861873969, 2.862619514, 372.772
39, 2.872495471, 2.873089066, 296.798
40, 2.883131918, 2.884069772, 468.927
41, 2.893746016, 2.894674618, 464.301
42, 2.904366087, 2.905005235, 319.574
43, 2.914979669, 2.915794541, 407.436
44, 2.925597121, 2.926458387, 430.633
45, 2.936220076, 2.936790217, 285.071
46, 2.946844869, 2.947549563, 352.347
47, 2.957454124, 2.958236068, 390.972
48, 2.968078335, 2.968835039, 378.352
49, 2.978695695, 2.979406572, 355.439
50, 2.999921108, 3.000749799, 414.346
51, 3.010538375, 3.011489537, 475.581
52, 3.021148483, 3.022036672, 444.094
53, 3.031766661, 3.032780866, 507.103
54, 3.042388937, 3.043003113, 307.088
55, 3.053003215, 3.053717074, 356.930
56, 3.063616680, 3.064385150, 384.235
57, 3.074230484, 3.075009031, 389.273
58, 3.095459393, 3.096342724, 441.665
59, 3.106072605, 3.106987702, 457.549
60, 3.116688194, 3.117457702, 384.754
61, 3.127290774, 3.127973342, 341.284
62, 3.148520146, 3.149191125, 335.489
63, 3.159118545, 3.159987056, 434.256
64, 3.169733978, 3.170637291, 451.656
65, 3.180352244, 3.181077505, 362.630
66, 3.190955245, 3.191533978, 289.366
67, 3.201578684, 3.202397138, 409.227
68, 3.212191921, 3.212865700, 336.890
69, 3.222829119, 3.223520415, 345.648
70, 3.233444046, 3.234253794, 404.874
71, 3.244058900, 3.245050550, 495.825
72, 3.254669551, 3.255165381, 247.915
73, 3.265285149, 3.265771083, 242.967
74, 3.275899202, 3.276676945, 388.871
75, 3.286520750, 3.287401707, 440.478
76, 3.297128384, 3.298009837, 440.726
77, 3.307743607, 3.308654896, 455.645
78, 3.318362458, 3.319256037, 446.789
79, 3.328971366, 3.329788517, 408.576
80, 3.339594023, 3.340416012, 410.994
81, 3.350213301, 3.350957834, 372.267
82, 3.360822012, 3.361858175, 518.081
83, 3.371427209, 3.372284097, 428.444
84, 3.382053841, 3.382620743, 283.451
85, 3.392664935, 3.393266235, 300.650
86, 3.403278947, 3.404045019, 383.036
87, 3.413896609, 3.414473361, 288.376
88, 3.424509017, 3.425173165, 332.074
89, 3.445739510, 3.446453732, 357.111
90, 3.456348951, 3.456944193, 297.621
91, 3.466957045, 3.467906106, 474.531
92, 3.477567360, 3.478466145, 449.392
93, 3.488176909, 3.489101056, 462.074
94, 3.498800096, 3.499642450, 421.177
95, 3.509414601, 3.510260704, 423.051
96, 3.520027198, 3.520550014, 261.408
97, 3.530646403, 3.531602490, 478.044
98, 3.541268341, 3.542116746, 424.202
99, 3.551891250, 3.552756731, 432.740
100, 3.562503050, 3.563504214, 500.582
101, 3.573117183, 3.573927711, 405.264
102, 3.583733480, 3.584552168, 409.344
103, 3.594336636, 3.595288153, 475.758
104, 3.604952950, 3.605780758, 413.904
105, 3.615567439, 3.616431855, 432.208
106, 3.636794100, 3.637584943, 395.421
107, 3.647412527, 3.648040913, 314.193
108, 3.658020822, 3.658676768, 327.973
109, 3.668637691, 3.669183353, 272.831
110, 3.679268805, 3.679781451, 256.323
111, 3.689879503, 3.690773879, 447.188
112, 3.700502676, 3.701152741, 325.032
113, 3.711120276, 3.712061028, 470.376
114, 3.721734725, 3.722661971, 463.623
115, 3.732346996, 3.733267684, 460.344
116, 3.742962062, 3.743653451, 345.694
117, 3.753578689, 3.754328243, 374.777
118, 3.764195690, 3.764935081, 369.695
119, 3.774814296, 3.775655058, 420.381
120, 3.785437397, 3.786145835, 354.219
121, 3.796047452, 3.796896667, 424.607
122, 3.817278649, 3.818008958, 365.154
123, 3.827934848, 3.828815900, 440.526
124, 3.838545481, 3.839292618, 373.568
125, 3.849159105, 3.849899386, 370.141
126, 3.859776140, 3.860727350, 475.605
127, 3.870390176, 3.871206801, 408.313
128, 3.881004248, 3.881799412, 397.582
129, 3.891637084, 3.892421391, 392.153
130, 3.902251201, 3.902977162, 362.981
131, 3.912862764, 3.913942528, 539.882
132, 3.923480024, 3.925227140, 873.558
133, 3.934090999, 3.935892992, 900.996
134, 3.944698485, 3.946917794, 1109.655
135, 3.955490024, 3.958098662, 1304.319
136, 3.966488744, 3.968787443, 1149.350
137, 3.977463230, 3.979889548, 1213.159
138, 3.988449448, 3.990497204, 1023.878
139, 4.009683556, 4.012149458, 1232.951
140, 4.020240689, 4.022817900, 1288.606
141, 4.030832431, 4.033229810, 1198.690
142, 4.041415017, 4.043806002, 1195.493
143, 4.052011706, 4.054283231, 1135.763
144, 4.062622193, 4.064831211, 1104.509
145, 4.073241940, 4.075281622, 1019.841
146, 4.083838672, 4.085963046, 1062.187
147, 4.094715898, 4.097148409, 1216.256
148, 4.105307929, 4.107838494, 1265.282
149, 4.116264088, 4.118453070, 1094.491
150, 4.126884344, 4.129170729, 1143.192
151, 4.137464658, 4.139917746, 1226.544
152, 4.148467237, 4.150592199, 1062.481
153, 4.159075867, 4.161328257, 1126.195
154, 4.169681140, 4.171949149, 1134.005
155, 4.180503946, 4.183080246, 1288.150
156, 4.191331774, 4.193685702, 1176.964
157, 4.201920851, 4.204377171, 1228.160
