------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=94306; ReceivedMessages=856
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.517 sec; SentMessages=89801; ReceivedMessages=820
sockperf: [2;35m====> avg-latency=1042.688 (std-dev=247.787)[0m
sockperf: [0;31m# dropped messages = 79; # duplicated messages = 0; # out-of-order messages = 0[0m
sockperf: [2;35mTotal 820 observations[0m; each percentile contains 8.20 observations
sockperf: ---> <MAX> observation = 1385.352
sockperf: ---> percentile 99.999 = 1385.352
sockperf: ---> percentile 99.990 = 1385.352
sockperf: ---> percentile 99.900 = 1378.508
sockperf: ---> percentile 99.000 = 1352.793
sockperf: ---> percentile 90.000 = 1275.588
sockperf: ---> percentile 75.000 = 1218.285
sockperf: ---> percentile 50.000 = 1128.788
sockperf: ---> percentile 25.000 =  953.303
sockperf: ---> <MIN> observation =  380.914
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.438096207, 2.440284205, 1093.999
1, 2.448565976, 2.451271563, 1352.794
2, 2.459316643, 2.461728060, 1205.708
3, 2.469767519, 2.472324544, 1278.513
4, 2.480225733, 2.482752706, 1263.486
5, 2.491074551, 2.493221892, 1073.671
6, 2.501535042, 2.503801834, 1133.396
7, 2.532851042, 2.535537466, 1343.212
8, 2.543724676, 2.545966434, 1120.879
9, 2.554174342, 2.556356085, 1090.871
10, 2.564634769, 2.567036411, 1200.821
11, 2.575108580, 2.577548102, 1219.761
12, 2.585570219, 2.587947129, 1188.455
13, 2.606941059, 2.608935972, 997.457
14, 2.617417578, 2.619967765, 1275.094
15, 2.627891797, 2.630342267, 1225.235
16, 2.638348036, 2.641105052, 1378.508
17, 2.649059512, 2.651373035, 1156.761
18, 2.659517067, 2.661970418, 1226.675
19, 2.670351579, 2.672596236, 1122.328
20, 2.691262796, 2.693455299, 1096.251
21, 2.701736729, 2.704486192, 1374.732
22, 2.712559032, 2.715017638, 1229.303
23, 2.723043523, 2.725510942, 1233.710
24, 2.733523257, 2.736026474, 1251.608
25, 2.743978987, 2.746530165, 1275.589
26, 2.754745402, 2.756913694, 1084.146
27, 2.786640978, 2.788896903, 1127.963
28, 2.797101126, 2.799391373, 1145.123
29, 2.807566864, 2.810001262, 1217.199
30, 2.818025377, 2.820513162, 1243.893
31, 2.828487581, 2.831010134, 1261.276
32, 2.838929061, 2.841361781, 1216.360
33, 2.860187938, 2.862408575, 1110.319
34, 2.871046777, 2.873349821, 1151.522
35, 2.881501327, 2.883810558, 1154.615
36, 2.891953692, 2.894415147, 1230.728
37, 2.902428781, 2.904836028, 1203.623
38, 2.912862103, 2.915351091, 1244.494
39, 2.923623798, 2.925819724, 1097.963
40, 2.934083484, 2.936443327, 1179.921
41, 2.955655962, 2.958161706, 1252.872
42, 2.966115556, 2.968579364, 1231.904
43, 2.976570588, 2.979011590, 1220.501
44, 2.987325100, 2.989559913, 1117.406
45, 2.997790787, 3.000066501, 1137.857
46, 3.008254064, 3.010606553, 1176.244
47, 3.040001673, 3.042591451, 1294.889
48, 3.050460618, 3.052980432, 1259.907
49, 3.060914722, 3.063512078, 1298.678
50, 3.071748154, 3.073941031, 1096.439
51, 3.082203584, 3.084464609, 1130.513
52, 3.092654772, 3.095125981, 1235.605
53, 3.113782946, 3.116029683, 1123.369
54, 3.124641935, 3.126941240, 1149.653
55, 3.135092483, 3.137544716, 1226.117
56, 3.145567861, 3.148027504, 1229.822
57, 3.156037762, 3.158467457, 1214.847
58, 3.166494934, 3.168949110, 1227.088
59, 3.177251678, 3.179879213, 1313.768
60, 3.188706668, 3.191086650, 1189.991
61, 3.199433318, 3.201819863, 1193.272
62, 3.210282899, 3.212894684, 1305.892
63, 3.221051132, 3.223609577, 1279.223
64, 3.231847877, 3.234134469, 1143.296
65, 3.242334255, 3.244779494, 1222.620
66, 3.252791579, 3.255255086, 1231.754
67, 3.263599176, 3.265805872, 1103.348
68, 3.295188343, 3.297774303, 1292.980
69, 3.305643811, 3.308362634, 1359.411
70, 3.316423509, 3.318869155, 1222.823
71, 3.326891186, 3.329302976, 1205.895
72, 3.337340643, 3.339863345, 1261.351
73, 3.348135895, 3.350356181, 1110.143
74, 3.379471426, 3.382129673, 1329.123
75, 3.390440545, 3.392599380, 1079.417
76, 3.400893486, 3.402948116, 1027.315
77, 3.411357032, 3.413405350, 1024.159
78, 3.421812640, 3.423844277, 1015.818
79, 3.432260561, 3.434458004, 1098.722
80, 3.453167722, 3.455428487, 1130.382
81, 3.464029210, 3.466450845, 1210.818
82, 3.474492919, 3.476882156, 1194.619
83, 3.484950462, 3.487570734, 1310.136
84, 3.495783269, 3.497942558, 1079.645
85, 3.506268555, 3.508611663, 1171.554
86, 3.516726069, 3.519201879, 1237.905
87, 3.548317594, 3.550943890, 1313.148
88, 3.559275314, 3.561440830, 1082.758
89, 3.569703507, 3.571989502, 1142.997
90, 3.580173159, 3.582590843, 1208.842
91, 3.590624706, 3.593105658, 1240.476
92, 3.601099959, 3.603487889, 1193.965
93, 3.632794930, 3.635565635, 1385.352
94, 3.643514314, 3.646084355, 1285.021
95, 3.653968306, 3.656444903, 1238.299
96, 3.664408919, 3.667007873, 1299.477
97, 3.675298831, 3.677449286, 1075.228
98, 3.685750515, 3.688090277, 1169.881
99, 3.696219280, 3.698450476, 1115.598
100, 3.717426983, 3.719843685, 1208.351
101, 3.727892034, 3.730511800, 1309.883
102, 3.738365583, 3.740927621, 1281.019
103, 3.749055774, 3.751445802, 1195.014
104, 3.759510532, 3.762054743, 1272.105
105, 3.770421445, 3.772477817, 1028.186
106, 3.780872697, 3.782825106, 976.204
107, 3.801753645, 3.804222852, 1234.603
108, 3.812227328, 3.814779367, 1276.019
109, 3.823000276, 3.825451956, 1225.840
110, 3.833455602, 3.835860525, 1202.462
111, 3.843905199, 3.846478132, 1286.467
112, 3.854734302, 3.856965531, 1115.614
113, 3.875629939, 3.877864631, 1117.346
114, 3.886422042, 3.888779489, 1178.724
115, 3.896894854, 3.899340902, 1223.024
116, 3.907361134, 3.909725606, 1182.236
117, 3.917824871, 3.920304447, 1239.788
118, 3.928601420, 3.930749487, 1074.033
119, 3.939071897, 3.941379681, 1153.892
120, 3.960506399, 3.962362154, 927.877
121, 3.970948586, 3.973364436, 1207.925
122, 3.981411835, 3.983758767, 1173.466
123, 3.991878648, 3.994419928, 1270.640
124, 4.002353492, 4.004810721, 1228.615
125, 4.013144642, 4.015506613, 1180.986
126, 4.023601557, 4.025940297, 1169.370
127, 4.034452200, 4.036456572, 1002.186
128, 4.055350657, 4.057874952, 1262.147
129, 4.065824257, 4.068502609, 1339.176
130, 4.076493682, 4.079030253, 1268.286
131, 4.086948364, 4.089488920, 1270.278
132, 4.097705535, 4.100102710, 1198.587
133, 4.108159178, 4.110491450, 1166.136
134, 4.140005638, 4.142413553, 1203.957
135, 4.150471507, 4.153055251, 1291.872
136, 4.160950919, 4.163520372, 1284.726
137, 4.171633500, 4.174096510, 1231.505
138, 4.182094446, 4.184523863, 1214.709
139, 4.192549999, 4.195004362, 1227.182
140, 4.214005833, 4.216048091, 1021.129
141, 4.224471651, 4.227072902, 1300.625
142, 4.234956250, 4.237606371, 1325.061
143, 4.245804142, 4.248039552, 1117.705
144, 4.256266957, 4.258722687, 1227.865
145, 4.266741079, 4.269238474, 1248.698
146, 4.277209366, 4.279598304, 1194.469
147, 4.298370494, 4.300680754, 1155.130
148, 4.309231374, 4.311568821, 1168.724
149, 4.319708324, 4.322228655, 1260.165
150, 4.330169591, 4.332768708, 1299.558
151, 4.340621150, 4.343150276, 1264.563
