# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
4fbe986;1;2022-04-01 13:52:59 UTC;-1;0.88;0.00;0.13;0.00;0.00;99.00
4fbe986;1;2022-04-01 13:53:00 UTC;-1;0.50;0.00;0.25;0.00;0.00;99.25
4fbe986;1;2022-04-01 13:53:01 UTC;-1;0.13;0.00;0.13;0.00;0.00;99.74
4fbe986;1;2022-04-01 13:53:02 UTC;-1;0.00;0.00;0.13;0.00;0.00;99.87
4fbe986;1;2022-04-01 13:53:03 UTC;-1;0.00;0.00;0.13;0.00;0.00;99.87
4fbe986;1;2022-04-01 13:53:04 UTC;-1;0.00;0.00;0.13;0.13;0.00;99.75
4fbe986;1;2022-04-01 13:53:05 UTC;-1;0.13;0.00;0.13;0.00;0.00;99.74
4fbe986;1;2022-04-01 13:53:06 UTC;-1;0.40;0.00;0.00;0.00;0.00;99.60
4fbe986;1;2022-04-01 13:53:07 UTC;-1;0.38;0.00;1.15;0.00;0.00;98.47
4fbe986;1;2022-04-01 13:53:08 UTC;-1;0.27;0.00;0.13;0.00;0.00;99.60
4fbe986;1;2022-04-01 13:53:09 UTC;-1;0.00;0.00;0.00;0.00;0.00;100.00
4fbe986;1;2022-04-01 13:53:10 UTC;-1;0.00;0.00;0.13;0.00;0.00;99.87
4fbe986;1;2022-04-01 13:53:11 UTC;-1;0.39;0.00;0.26;0.00;0.00;99.35
4fbe986;1;2022-04-01 13:53:12 UTC;-1;0.25;0.00;0.13;0.00;0.00;99.62
4fbe986;1;2022-04-01 13:53:13 UTC;-1;1.50;0.00;0.63;0.00;0.00;97.87
4fbe986;1;2022-04-01 13:53:14 UTC;-1;3.50;0.00;1.25;0.12;0.00;95.12
4fbe986;1;2022-04-01 13:53:15 UTC;-1;0.13;0.00;0.13;0.00;0.00;99.75
4fbe986;1;2022-04-01 13:53:16 UTC;-1;0.37;0.00;0.00;0.00;0.00;99.63
4fbe986;1;2022-04-01 13:53:17 UTC;-1;0.38;0.00;0.50;0.00;0.00;99.12
4fbe986;1;2022-04-01 13:53:18 UTC;-1;1.09;0.00;3.98;0.00;0.00;94.93
4fbe986;1;2022-04-01 13:53:19 UTC;-1;1.39;0.00;10.45;0.00;0.00;88.15
4fbe986;1;2022-04-01 13:53:20 UTC;-1;0.82;0.00;12.76;0.00;0.00;86.42
4fbe986;1;2022-04-01 13:53:21 UTC;-1;1.16;0.00;13.66;0.00;0.00;85.19
4fbe986;1;2022-04-01 13:53:22 UTC;-1;0.95;0.00;10.81;0.00;0.00;88.24
4fbe986;1;2022-04-01 13:53:23 UTC;-1;0.83;0.00;13.11;0.00;0.00;86.07
4fbe986;1;2022-04-01 13:53:24 UTC;-1;1.76;0.00;12.56;0.00;0.00;85.68
4fbe986;1;2022-04-01 13:53:25 UTC;-1;0.95;0.00;8.90;0.00;0.00;90.15
4fbe986;1;2022-04-01 13:53:26 UTC;-1;0.46;0.00;15.03;0.00;0.00;84.51
4fbe986;1;2022-04-01 13:53:27 UTC;-1;1.52;0.00;13.45;0.00;0.00;85.03
4fbe986;1;2022-04-01 13:53:28 UTC;-1;1.18;0.00;12.31;0.00;0.00;86.51
4fbe986;1;2022-04-01 13:53:29 UTC;-1;0.13;0.00;1.15;0.00;0.00;98.72
4fbe986;1;2022-04-01 13:53:30 UTC;-1;1.52;0.00;0.51;0.00;0.00;97.97
4fbe986;1;2022-04-01 13:53:31 UTC;-1;0.12;0.00;0.00;0.00;0.00;99.88
4fbe986;1;2022-04-01 13:53:32 UTC;-1;0.12;0.00;0.25;0.00;0.00;99.63
4fbe986;1;2022-04-01 13:53:33 UTC;-1;0.13;0.00;0.13;0.00;0.00;99.75
4fbe986;1;2022-04-01 13:53:34 UTC;-1;0.00;0.00;0.13;0.00;0.00;99.87
4fbe986;1;2022-04-01 13:53:35 UTC;-1;0.12;0.00;0.37;0.00;0.00;99.50
4fbe986;1;2022-04-01 13:53:36 UTC;-1;2.76;0.00;6.24;0.00;0.00;91.01
4fbe986;1;2022-04-01 13:53:37 UTC;-1;1.67;0.00;2.83;0.00;0.00;95.50
4fbe986;1;2022-04-01 13:53:38 UTC;-1;0.00;0.00;0.39;0.00;0.00;99.61
4fbe986;1;2022-04-01 13:53:39 UTC;-1;0.00;0.00;0.28;0.00;0.00;99.72
4fbe986;1;2022-04-01 13:53:40 UTC;-1;1.16;0.00;4.26;0.00;0.00;94.57
4fbe986;1;2022-04-01 13:53:41 UTC;-1;0.28;0.00;0.55;0.00;0.00;99.17
4fbe986;1;2022-04-01 13:53:42 UTC;-1;2.22;0.00;5.48;0.00;0.00;92.31
4fbe986;1;2022-04-01 13:53:43 UTC;-1;0.26;0.00;1.15;0.00;0.00;98.59
4fbe986;1;2022-04-01 13:53:44 UTC;-1;3.41;0.00;2.36;0.13;0.00;94.10
4fbe986;1;2022-04-01 13:53:45 UTC;-1;0.26;0.00;1.04;0.00;0.00;98.70
4fbe986;1;2022-04-01 13:53:46 UTC;-1;0.40;0.00;0.27;0.00;0.00;99.33
4fbe986;1;2022-04-01 13:53:47 UTC;-1;0.51;0.00;0.77;0.00;0.00;98.72
4fbe986;1;2022-04-01 13:53:48 UTC;-1;1.38;0.00;0.38;0.00;0.00;98.25
4fbe986;1;2022-04-01 13:53:49 UTC;-1;0.37;0.00;0.12;0.00;0.00;99.50
4fbe986;1;2022-04-01 13:53:50 UTC;-1;0.00;0.00;0.13;0.00;0.00;99.87
4fbe986;1;2022-04-01 13:53:51 UTC;-1;0.12;0.00;0.12;0.00;0.00;99.75
4fbe986;1;2022-04-01 13:53:52 UTC;-1;0.12;0.00;0.12;0.00;0.00;99.75
4fbe986;1;2022-04-01 13:53:53 UTC;-1;0.00;0.00;0.25;0.00;0.00;99.75
4fbe986;1;2022-04-01 13:53:54 UTC;-1;0.61;0.00;2.94;0.00;0.00;96.44
4fbe986;1;2022-04-01 13:53:55 UTC;-1;0.37;0.00;2.62;0.00;0.00;97.00
4fbe986;1;2022-04-01 13:53:56 UTC;-1;0.86;0.00;4.17;0.00;0.00;94.98
4fbe986;1;2022-04-01 13:53:57 UTC;-1;1.00;0.00;3.11;0.00;0.00;95.90
