# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
4fbe986;1;2022-04-01 12:45:49 UTC;-1;3.19;0.00;5.51;0.12;0.00;91.18
4fbe986;1;2022-04-01 12:45:50 UTC;-1;1.46;0.00;6.09;0.00;0.00;92.45
4fbe986;1;2022-04-01 12:45:51 UTC;-1;1.36;0.00;4.69;0.00;0.00;93.95
4fbe986;1;2022-04-01 12:45:52 UTC;-1;2.49;0.00;9.00;0.00;0.00;88.51
4fbe986;1;2022-04-01 12:45:53 UTC;-1;3.08;0.00;12.90;0.00;0.00;84.02
4fbe986;1;2022-04-01 12:45:54 UTC;-1;2.92;0.00;13.95;0.00;0.00;83.13
4fbe986;1;2022-04-01 12:45:55 UTC;-1;2.93;0.00;13.74;0.00;0.00;83.33
4fbe986;1;2022-04-01 12:45:56 UTC;-1;3.09;0.00;15.14;0.00;0.00;81.77
4fbe986;1;2022-04-01 12:45:57 UTC;-1;3.16;0.00;16.36;0.00;0.00;80.48
4fbe986;1;2022-04-01 12:45:58 UTC;-1;2.92;0.00;14.40;0.00;0.00;82.68
4fbe986;1;2022-04-01 12:45:59 UTC;-1;2.29;0.00;10.09;0.00;0.00;87.61
4fbe986;1;2022-04-01 12:46:00 UTC;-1;2.13;0.00;6.63;0.00;0.00;91.24
4fbe986;1;2022-04-01 12:46:01 UTC;-1;2.38;0.00;5.48;0.00;0.00;92.14
4fbe986;1;2022-04-01 12:46:02 UTC;-1;2.12;0.00;1.00;0.00;0.00;96.89
4fbe986;1;2022-04-01 12:46:03 UTC;-1;0.38;0.00;0.25;0.00;0.00;99.37
4fbe986;1;2022-04-01 12:46:04 UTC;-1;0.63;0.00;0.75;0.00;0.00;98.62
4fbe986;1;2022-04-01 12:46:05 UTC;-1;0.38;0.00;0.25;0.00;0.00;99.37
4fbe986;1;2022-04-01 12:46:06 UTC;-1;1.24;0.00;2.22;0.00;0.00;96.54
4fbe986;1;2022-04-01 12:46:07 UTC;-1;1.75;0.00;5.49;0.00;0.00;92.76
4fbe986;1;2022-04-01 12:46:08 UTC;-1;1.81;0.00;7.11;0.00;0.00;91.08
4fbe986;1;2022-04-01 12:46:09 UTC;-1;0.50;0.00;1.13;0.00;0.00;98.37
4fbe986;1;2022-04-01 12:46:10 UTC;-1;1.67;0.00;8.10;0.00;0.00;90.23
4fbe986;1;2022-04-01 12:46:11 UTC;-1;1.28;0.00;7.93;0.00;0.00;90.79
4fbe986;1;2022-04-01 12:46:12 UTC;-1;0.59;0.00;6.75;0.00;0.00;92.65
4fbe986;1;2022-04-01 12:46:13 UTC;-1;1.05;0.00;8.48;0.00;0.00;90.48
