------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=11341; ReceivedMessages=11340
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.550 sec; SentMessages=10878; ReceivedMessages=10878
sockperf: [2;35m====> avg-latency=438.940 (std-dev=73.736)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 10878 observations[0m; each percentile contains 108.78 observations
sockperf: ---> <MAX> observation =  723.131
sockperf: ---> percentile 99.999 =  723.131
sockperf: ---> percentile 99.990 =  718.478
sockperf: ---> percentile 99.900 =  639.962
sockperf: ---> percentile 99.000 =  601.013
sockperf: ---> percentile 90.000 =  528.063
sockperf: ---> percentile 75.000 =  485.561
sockperf: ---> percentile 50.000 =  451.230
sockperf: ---> percentile 25.000 =  385.523
sockperf: ---> <MIN> observation =  244.340
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.434481540, 2.435179144, 348.802
1, 2.435179161, 2.436138039, 479.439
2, 2.436138055, 2.437067193, 464.569
3, 2.437067214, 2.438020718, 476.752
4, 2.438020742, 2.438737131, 358.194
5, 2.438737151, 2.439561342, 412.095
6, 2.439561362, 2.440515484, 477.061
7, 2.440515506, 2.441444371, 464.432
8, 2.441444391, 2.442223147, 389.378
9, 2.442223168, 2.443176614, 476.723
10, 2.443176634, 2.444108887, 466.127
11, 2.444108915, 2.445035115, 463.100
12, 2.445035135, 2.445797658, 381.262
13, 2.445797677, 2.446550450, 376.387
14, 2.446550469, 2.447525317, 487.424
15, 2.447525338, 2.448564359, 519.511
16, 2.448564379, 2.449702555, 569.088
17, 2.449702580, 2.450552808, 425.114
18, 2.450552832, 2.451479776, 463.472
19, 2.451479796, 2.452537831, 529.017
20, 2.452537859, 2.453573013, 517.577
21, 2.453573040, 2.454604407, 515.683
22, 2.454604429, 2.455487949, 441.760
23, 2.455487969, 2.456461497, 486.764
24, 2.456461519, 2.457233904, 386.193
25, 2.457233924, 2.458220164, 493.120
26, 2.458220187, 2.459156066, 467.940
27, 2.459156088, 2.460100460, 472.186
28, 2.460100489, 2.460790136, 344.824
29, 2.460790155, 2.461729824, 469.835
30, 2.461729850, 2.462746690, 508.420
31, 2.462746710, 2.463838751, 546.021
32, 2.463838771, 2.464599216, 380.222
33, 2.464599235, 2.465652641, 526.703
34, 2.465652660, 2.466685982, 516.661
35, 2.466686002, 2.467762653, 538.325
36, 2.467762674, 2.468709840, 473.583
37, 2.468709862, 2.469651269, 470.703
38, 2.469651288, 2.470332574, 340.643
39, 2.470332594, 2.471103681, 385.544
40, 2.471103702, 2.472038003, 467.151
41, 2.472038026, 2.473148826, 555.400
42, 2.473148846, 2.473807345, 329.250
43, 2.473807365, 2.474577998, 385.316
44, 2.474578017, 2.475283679, 352.831
45, 2.475283699, 2.476253228, 484.764
46, 2.476253256, 2.477233012, 489.878
47, 2.477233032, 2.478154202, 460.585
48, 2.478154222, 2.479110319, 478.049
49, 2.479110339, 2.480093253, 491.457
50, 2.480093275, 2.481033913, 470.319
51, 2.481033933, 2.481804010, 385.038
52, 2.481804031, 2.482701382, 448.675
53, 2.482701403, 2.483649428, 474.012
54, 2.483649449, 2.484649219, 499.885
55, 2.484649245, 2.485669049, 509.902
56, 2.485669069, 2.486393177, 362.054
57, 2.486393196, 2.487139575, 373.190
58, 2.487139595, 2.487883218, 371.811
59, 2.487883239, 2.488622829, 369.795
60, 2.488622850, 2.489605431, 491.290
61, 2.489605451, 2.490811444, 602.996
62, 2.490811464, 2.491717399, 452.967
63, 2.491717419, 2.492656156, 469.368
64, 2.492656177, 2.493659773, 501.798
65, 2.493659793, 2.494806315, 573.261
66, 2.494806335, 2.495716835, 455.250
67, 2.495717031, 2.496838823, 560.896
68, 2.496838848, 2.497580891, 371.021
69, 2.497580913, 2.498523091, 471.089
70, 2.498523114, 2.499500239, 488.562
71, 2.499500259, 2.500574357, 537.049
72, 2.500574376, 2.501627928, 526.776
73, 2.501627948, 2.502888002, 630.027
74, 2.502888210, 2.503977314, 544.552
75, 2.503977335, 2.505016322, 519.493
76, 2.505016344, 2.505988791, 486.224
77, 2.505988812, 2.506903364, 457.276
78, 2.506903386, 2.507854073, 475.344
79, 2.507854094, 2.508818813, 482.359
80, 2.508818833, 2.509756241, 468.704
81, 2.509756261, 2.510598020, 420.879
82, 2.510598040, 2.511509923, 455.942
83, 2.511509943, 2.512488946, 489.501
84, 2.512488967, 2.513251667, 381.350
85, 2.513251688, 2.514253923, 501.117
86, 2.514253983, 2.515187146, 466.582
87, 2.515187166, 2.516121261, 467.047
88, 2.516121285, 2.517068563, 473.639
89, 2.517068584, 2.518185092, 558.254
90, 2.518185117, 2.519090795, 452.839
91, 2.519090818, 2.520059400, 484.291
92, 2.520059420, 2.520730693, 335.637
93, 2.520730719, 2.521506746, 388.013
94, 2.521506768, 2.522456394, 474.813
95, 2.522456418, 2.523232542, 388.062
96, 2.523232563, 2.524206004, 486.721
97, 2.524206024, 2.525279796, 536.886
98, 2.525279818, 2.526218172, 469.177
99, 2.526218202, 2.527159319, 470.559
100, 2.527159340, 2.528132354, 486.507
101, 2.528132377, 2.529135946, 501.784
102, 2.529135969, 2.530098289, 481.160
103, 2.530098322, 2.530856099, 378.889
104, 2.530856124, 2.531770682, 457.279
105, 2.531770706, 2.532746007, 487.651
106, 2.532746029, 2.533647274, 450.623
107, 2.533647297, 2.534662262, 507.483
108, 2.534662291, 2.535436874, 387.292
109, 2.535436898, 2.536448270, 505.686
110, 2.536448295, 2.537529138, 540.421
111, 2.537529160, 2.538601053, 535.946
112, 2.538601079, 2.539613389, 506.155
113, 2.539613410, 2.540655332, 520.961
114, 2.540655355, 2.541855794, 600.220
115, 2.541855815, 2.542704302, 424.244
116, 2.542704327, 2.543617840, 456.756
117, 2.543617864, 2.544705829, 543.982
118, 2.544705850, 2.545631154, 462.652
119, 2.545631174, 2.546604680, 486.753
120, 2.546604704, 2.547573804, 484.550
121, 2.547573825, 2.548682018, 554.096
122, 2.548682038, 2.549643172, 480.567
123, 2.549643190, 2.550743187, 549.999
124, 2.550743207, 2.551645364, 451.079
125, 2.551645383, 2.552738518, 546.568
126, 2.552738537, 2.553655668, 458.565
127, 2.553655687, 2.554636884, 490.599
128, 2.554636904, 2.555608280, 485.688
129, 2.555608300, 2.556724435, 558.068
130, 2.556724455, 2.557621606, 448.576
131, 2.557621627, 2.558554260, 466.316
132, 2.558554283, 2.559574316, 510.017
133, 2.559574337, 2.560679743, 552.703
134, 2.560679765, 2.561461960, 391.097
135, 2.561461980, 2.562203293, 370.656
136, 2.562203317, 2.563139426, 468.055
137, 2.563139452, 2.564210276, 535.412
138, 2.564210297, 2.565003588, 396.646
139, 2.565003608, 2.565919134, 457.763
140, 2.565919154, 2.566878895, 479.870
141, 2.566878922, 2.567918142, 519.610
142, 2.567918162, 2.568783623, 432.731
143, 2.568783642, 2.569575026, 395.692
144, 2.569575047, 2.570353683, 389.318
145, 2.570353703, 2.571124947, 385.622
146, 2.571124973, 2.571882743, 378.885
147, 2.571882764, 2.572622608, 369.922
148, 2.572622627, 2.573413074, 395.223
149, 2.573413094, 2.574168721, 377.813
150, 2.574168741, 2.575102909, 467.084
151, 2.575102929, 2.575885685, 391.378
152, 2.575885706, 2.576665590, 389.942
153, 2.576665609, 2.577489711, 412.051
154, 2.577489731, 2.578362557, 436.413
155, 2.578362583, 2.579140228, 388.823
156, 2.579140254, 2.579914200, 386.973
157, 2.579914218, 2.580797851, 441.816
158, 2.580797871, 2.581744129, 473.129
159, 2.581744149, 2.582688710, 472.280
160, 2.582688732, 2.583661830, 486.549
161, 2.583661851, 2.584645673, 491.911
162, 2.584645694, 2.585405737, 380.021
163, 2.585405757, 2.586443472, 518.857
164, 2.586443491, 2.587458362, 507.436
165, 2.587458385, 2.588324739, 433.177
166, 2.588324760, 2.589010269, 342.755
167, 2.589010289, 2.589948048, 468.879
168, 2.589948068, 2.590875363, 463.648
169, 2.590875384, 2.591814307, 469.462
170, 2.591814329, 2.592758925, 472.298
171, 2.592758946, 2.593540975, 391.014
172, 2.593541081, 2.594497630, 478.275
173, 2.594497652, 2.595481403, 491.876
174, 2.595481423, 2.596227312, 372.944
175, 2.596227331, 2.596993224, 382.947
176, 2.596993244, 2.597751888, 379.322
177, 2.597751907, 2.598538607, 393.350
178, 2.598538627, 2.599416300, 438.836
179, 2.599416319, 2.600480651, 532.166
180, 2.600480670, 2.601240965, 380.148
181, 2.601240985, 2.602139715, 449.365
182, 2.602139749, 2.602921802, 391.027
183, 2.602921824, 2.603851774, 464.975
184, 2.603851792, 2.604664575, 406.392
185, 2.604664594, 2.605401445, 368.426
186, 2.605401464, 2.606346110, 472.323
187, 2.606346334, 2.607333966, 493.816
188, 2.607333989, 2.608277767, 471.889
189, 2.608277789, 2.609382006, 552.109
190, 2.609382029, 2.610440589, 529.280
191, 2.610440609, 2.611214741, 387.066
192, 2.611214765, 2.612113226, 449.230
193, 2.612113248, 2.613203767, 545.259
194, 2.613203789, 2.613995774, 395.993
195, 2.613995797, 2.614741143, 372.673
196, 2.614741170, 2.615510865, 384.848
197, 2.615510898, 2.616296872, 392.987
198, 2.616296895, 2.617156975, 430.040
199, 2.617156996, 2.618140056, 491.530
200, 2.618140083, 2.618919525, 389.721
201, 2.618919547, 2.619709000, 394.726
202, 2.619709021, 2.620636897, 463.938
203, 2.620636918, 2.621613384, 488.233
204, 2.621613403, 2.622598380, 492.488
205, 2.622598404, 2.623694266, 547.931
206, 2.623694288, 2.624624465, 465.088
207, 2.624624486, 2.625596319, 485.916
208, 2.625596339, 2.626553531, 478.596
209, 2.626553556, 2.627478393, 462.419
210, 2.627478412, 2.628210863, 366.225
211, 2.628210887, 2.629006148, 397.630
212, 2.629006170, 2.629902711, 448.270
213, 2.629902945, 2.631013063, 555.059
