------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=12014; ReceivedMessages=12013
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.549 sec; SentMessages=11532; ReceivedMessages=11532
sockperf: [2;35m====> avg-latency=414.028 (std-dev=83.169)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11532 observations[0m; each percentile contains 115.32 observations
sockperf: ---> <MAX> observation = 1959.608
sockperf: ---> percentile 99.999 = 1959.608
sockperf: ---> percentile 99.990 =  742.523
sockperf: ---> percentile 99.900 =  648.136
sockperf: ---> percentile 99.000 =  596.038
sockperf: ---> percentile 90.000 =  517.890
sockperf: ---> percentile 75.000 =  476.016
sockperf: ---> percentile 50.000 =  406.864
sockperf: ---> percentile 25.000 =  364.459
sockperf: ---> <MIN> observation =  241.095
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.434117764, 2.435091784, 487.010
1, 2.435091804, 2.436063595, 485.895
2, 2.436063615, 2.437169327, 552.856
3, 2.437169347, 2.438287604, 559.128
4, 2.438287624, 2.439401632, 557.004
5, 2.439401651, 2.440133572, 365.960
6, 2.440133591, 2.440888744, 377.577
7, 2.440888764, 2.441843417, 477.326
8, 2.441843435, 2.442793415, 474.990
9, 2.442793434, 2.443521676, 364.121
10, 2.443521695, 2.444343735, 411.020
11, 2.444343755, 2.445199143, 427.694
12, 2.445199163, 2.446183601, 492.219
13, 2.446183621, 2.447122991, 469.685
14, 2.447123011, 2.447983093, 430.041
15, 2.447983113, 2.448686491, 351.689
16, 2.448686511, 2.449707817, 510.653
17, 2.449707836, 2.450946261, 619.212
18, 2.450946281, 2.452186159, 619.939
19, 2.452186179, 2.453107353, 460.587
20, 2.453107373, 2.454030001, 461.314
21, 2.454030019, 2.454988259, 479.120
22, 2.454988468, 2.455779410, 395.471
23, 2.455779429, 2.456799427, 509.999
24, 2.456799445, 2.457849090, 524.823
25, 2.457849287, 2.458774988, 462.850
26, 2.458775008, 2.459685983, 455.488
27, 2.459686004, 2.460684296, 499.146
28, 2.460684316, 2.461753824, 534.754
29, 2.461753844, 2.462728890, 487.523
30, 2.462728909, 2.463579422, 425.256
31, 2.463579442, 2.464529100, 474.829
32, 2.464529120, 2.465284220, 377.550
33, 2.465284239, 2.466226333, 471.047
34, 2.466226351, 2.467087282, 430.466
35, 2.467087303, 2.467965480, 439.088
36, 2.467965529, 2.468912010, 473.240
37, 2.468912038, 2.469838178, 463.070
38, 2.469838206, 2.470763975, 462.885
39, 2.470763996, 2.471788748, 512.376
40, 2.471788767, 2.472688067, 449.650
41, 2.472688087, 2.473632849, 472.381
42, 2.473633041, 2.474713905, 540.432
43, 2.474713924, 2.475626646, 456.361
44, 2.475626664, 2.476627093, 500.215
45, 2.476627113, 2.477733937, 553.412
46, 2.477733956, 2.478994769, 630.407
47, 2.478994790, 2.479845541, 425.375
48, 2.479845561, 2.480771215, 462.827
49, 2.480771234, 2.481726227, 477.497
50, 2.481726245, 2.482692522, 483.138
51, 2.482692541, 2.483458661, 383.060
52, 2.483458680, 2.484484365, 512.843
53, 2.484484385, 2.485747004, 631.310
54, 2.485747022, 2.486559223, 406.101
55, 2.486559241, 2.487526307, 483.533
56, 2.487526327, 2.488338178, 405.925
57, 2.488338198, 2.489260611, 461.207
58, 2.489260631, 2.490278119, 508.744
59, 2.490278139, 2.491282094, 501.978
60, 2.491282112, 2.492218574, 468.231
61, 2.492218594, 2.492927201, 354.303
62, 2.492927220, 2.493983036, 527.908
63, 2.493983055, 2.494956273, 486.609
64, 2.494956293, 2.495957519, 500.613
65, 2.495957539, 2.496721383, 381.922
66, 2.496721402, 2.497465303, 371.951
67, 2.497465323, 2.498215726, 375.202
68, 2.498215746, 2.499195653, 489.953
69, 2.499195673, 2.500159348, 481.837
70, 2.500159369, 2.501170254, 505.443
71, 2.501170273, 2.502023391, 426.559
72, 2.502023411, 2.502920703, 448.646
73, 2.502920723, 2.503892683, 485.980
74, 2.503892702, 2.504779414, 443.356
75, 2.504779433, 2.505716335, 468.451
76, 2.505716355, 2.506623535, 453.590
77, 2.506623555, 2.507603023, 489.734
78, 2.507603429, 2.508865091, 630.831
79, 2.508865111, 2.509752810, 443.850
80, 2.509752831, 2.510484365, 365.767
81, 2.510484386, 2.511462011, 488.812
82, 2.511462031, 2.512208101, 373.035
83, 2.512208120, 2.512948917, 370.398
84, 2.512948937, 2.513961071, 506.067
85, 2.513961092, 2.514702918, 370.913
86, 2.514702938, 2.515589101, 443.081
87, 2.515589120, 2.516598253, 504.567
88, 2.516598273, 2.517634783, 518.255
89, 2.517634803, 2.518597249, 481.223
90, 2.518597270, 2.519427336, 415.033
91, 2.519427356, 2.520374348, 473.496
92, 2.520374368, 2.521428651, 527.142
93, 2.521428671, 2.522424425, 497.877
94, 2.522424446, 2.523485837, 530.695
95, 2.523485857, 2.524411380, 462.762
96, 2.524411400, 2.525412744, 500.672
97, 2.525412764, 2.526180790, 384.013
98, 2.526180810, 2.527144902, 482.046
99, 2.527144922, 2.528067002, 461.040
100, 2.528067022, 2.528989803, 461.391
101, 2.528989824, 2.529988041, 499.108
102, 2.529988061, 2.530894865, 453.402
103, 2.530894885, 2.531848335, 476.725
104, 2.531848527, 2.532619884, 385.679
105, 2.532619903, 2.533592741, 486.419
106, 2.533592759, 2.534534107, 470.674
107, 2.534534125, 2.535499219, 482.547
108, 2.535499238, 2.536395745, 448.254
109, 2.536395766, 2.537603909, 604.072
110, 2.537603928, 2.538658904, 527.488
111, 2.538658923, 2.539562616, 451.846
112, 2.539562635, 2.540297690, 367.528
113, 2.540297709, 2.541260975, 481.633
114, 2.541260995, 2.542110896, 424.951
115, 2.542110916, 2.542817118, 353.101
116, 2.542817137, 2.543837586, 510.224
117, 2.543837605, 2.544849618, 506.006
118, 2.544849639, 2.545987719, 569.040
119, 2.545987739, 2.547132619, 572.440
120, 2.547132639, 2.547856936, 362.149
121, 2.547856956, 2.548586820, 364.932
122, 2.548586840, 2.549569992, 491.576
123, 2.549570010, 2.550532366, 481.178
124, 2.550532386, 2.551288840, 378.227
125, 2.551289033, 2.552190615, 450.791
126, 2.552190635, 2.553172390, 490.878
127, 2.553172409, 2.554099143, 463.367
128, 2.554099162, 2.555141781, 521.309
129, 2.555141800, 2.556311208, 584.704
