------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=11647; ReceivedMessages=11646
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.550 sec; SentMessages=11131; ReceivedMessages=11131
sockperf: [2;35m====> avg-latency=428.968 (std-dev=97.511)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11131 observations[0m; each percentile contains 111.31 observations
sockperf: ---> <MAX> observation = 4067.577
sockperf: ---> percentile 99.999 = 4067.577
sockperf: ---> percentile 99.990 = 1452.269
sockperf: ---> percentile 99.900 =  642.117
sockperf: ---> percentile 99.000 =  616.269
sockperf: ---> percentile 90.000 =  552.409
sockperf: ---> percentile 75.000 =  501.409
sockperf: ---> percentile 50.000 =  430.185
sockperf: ---> percentile 25.000 =  357.208
sockperf: ---> <MIN> observation =  241.963
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.444918885, 2.445473218, 277.167
1, 2.445473237, 2.446209691, 368.227
2, 2.446209710, 2.447263717, 527.004
3, 2.447263738, 2.448390663, 563.462
4, 2.448390679, 2.449505508, 557.414
5, 2.449505531, 2.450258357, 376.413
6, 2.450258375, 2.450830337, 285.981
7, 2.450830358, 2.451538836, 354.239
8, 2.451538856, 2.452471246, 466.195
9, 2.452471260, 2.453222944, 375.842
10, 2.453222965, 2.453858596, 317.815
11, 2.453858773, 2.454656827, 399.027
12, 2.454656849, 2.455579389, 461.270
13, 2.455579410, 2.456419312, 419.951
14, 2.456419329, 2.457343230, 461.950
15, 2.457343251, 2.458198511, 427.630
16, 2.458198530, 2.458706820, 254.145
17, 2.458706834, 2.459446285, 369.726
18, 2.459446306, 2.460462543, 508.119
19, 2.460462558, 2.461642895, 590.168
20, 2.461642915, 2.462757435, 557.260
21, 2.462757453, 2.463806876, 524.711
22, 2.463806896, 2.464716489, 454.796
23, 2.464716506, 2.465595403, 439.448
24, 2.465595419, 2.466363220, 383.901
25, 2.466363240, 2.467157770, 397.265
26, 2.467157786, 2.467877317, 359.766
27, 2.467877339, 2.468470616, 296.639
28, 2.468470634, 2.469472228, 500.797
29, 2.469472241, 2.470228652, 378.205
30, 2.470228673, 2.471100719, 436.023
31, 2.471100740, 2.471967352, 433.306
32, 2.471967368, 2.472514395, 273.514
33, 2.472514415, 2.473217440, 351.512
34, 2.473217460, 2.474308072, 545.306
35, 2.474308090, 2.475378232, 535.071
36, 2.475378253, 2.476506660, 564.204
37, 2.476506674, 2.477479675, 486.500
38, 2.477479696, 2.478493173, 506.738
39, 2.478493192, 2.479757267, 632.038
40, 2.479757289, 2.480873589, 558.150
41, 2.480873611, 2.481600778, 363.583
42, 2.481600798, 2.482600698, 499.950
43, 2.482600720, 2.483790472, 594.876
44, 2.483790485, 2.484819042, 514.279
45, 2.484819063, 2.485911843, 546.390
46, 2.485911865, 2.486905784, 496.960
47, 2.486905806, 2.488034000, 564.097
48, 2.488034015, 2.489110871, 538.428
49, 2.489110889, 2.489886419, 387.765
50, 2.489886440, 2.490458207, 285.884
51, 2.490458223, 2.491129833, 335.805
52, 2.491129850, 2.492001624, 435.887
53, 2.492001647, 2.492682665, 340.509
54, 2.492682679, 2.493264887, 291.104
55, 2.493264909, 2.493914808, 324.949
56, 2.493914827, 2.494817251, 451.212
57, 2.494817271, 2.495719015, 450.872
58, 2.495719030, 2.496622720, 451.845
59, 2.496622737, 2.497565846, 471.555
60, 2.497565867, 2.498116904, 275.519
61, 2.498116920, 2.498695852, 289.466
62, 2.498695869, 2.499409355, 356.743
63, 2.499409375, 2.499958092, 274.359
64, 2.499958110, 2.500542221, 292.055
65, 2.500542238, 2.501349610, 403.686
66, 2.501349630, 2.502374036, 512.203
67, 2.502374052, 2.503315994, 470.971
68, 2.503316014, 2.504464862, 574.424
69, 2.504465005, 2.505463111, 499.053
70, 2.505463127, 2.506431212, 484.042
71, 2.506431230, 2.507653773, 611.271
72, 2.507653795, 2.508699973, 523.089
73, 2.508699987, 2.509793828, 546.920
74, 2.509793849, 2.510743194, 474.672
75, 2.510743207, 2.512007550, 632.171
76, 2.512007572, 2.513073824, 533.126
77, 2.513073842, 2.513774648, 350.403
78, 2.513774668, 2.514366937, 296.134
79, 2.514366954, 2.514919739, 276.392
80, 2.514919752, 2.515452049, 266.148
81, 2.515452064, 2.516216457, 382.197
82, 2.516216477, 2.517203396, 493.460
83, 2.517203411, 2.518199939, 498.264
84, 2.518199958, 2.519119390, 459.716
85, 2.519119405, 2.519848059, 364.327
86, 2.519848076, 2.520779267, 465.596
87, 2.520779287, 2.521985083, 602.898
88, 2.521985105, 2.523058268, 536.582
89, 2.523058284, 2.523838141, 389.928
90, 2.523838153, 2.524405839, 283.843
91, 2.524405859, 2.525102179, 348.160
92, 2.525102201, 2.525862384, 380.092
93, 2.525862405, 2.526633988, 385.792
94, 2.526634003, 2.527657707, 511.852
95, 2.527657728, 2.528595958, 469.115
96, 2.528595975, 2.529105720, 254.873
97, 2.529105740, 2.529880798, 387.529
98, 2.529880812, 2.530867091, 493.140
99, 2.530867106, 2.531971140, 552.017
100, 2.531971158, 2.533036943, 532.893
101, 2.533037072, 2.534045822, 504.375
102, 2.534045839, 2.534822155, 388.158
103, 2.534822169, 2.535392274, 285.053
104, 2.535392294, 2.536336729, 472.217
105, 2.536336750, 2.537189319, 426.285
106, 2.537189332, 2.538228744, 519.706
107, 2.538228766, 2.539415584, 593.409
108, 2.539415603, 2.540561904, 573.150
109, 2.540561925, 2.541302916, 370.496
110, 2.541302934, 2.542030496, 363.781
111, 2.542030516, 2.542583519, 276.502
112, 2.542583539, 2.543153996, 285.229
113, 2.543154013, 2.543741014, 293.501
114, 2.543741030, 2.544294712, 276.841
115, 2.544294732, 2.544986812, 346.040
116, 2.544986832, 2.545853031, 433.099
117, 2.545853051, 2.546662475, 404.712
118, 2.546662488, 2.547632657, 485.085
119, 2.547632675, 2.548777344, 572.334
120, 2.548777364, 2.549906645, 564.640
121, 2.549906665, 2.550965495, 529.415
122, 2.550965516, 2.551906615, 470.550
123, 2.551906638, 2.553181131, 637.247
124, 2.553181148, 2.554345770, 582.311
125, 2.554345792, 2.555204621, 429.414
126, 2.555204637, 2.556154478, 474.920
127, 2.556154499, 2.557079192, 462.346
128, 2.557079210, 2.557845083, 382.937
129, 2.557845103, 2.558747546, 451.222
130, 2.558747564, 2.559448471, 350.453
131, 2.559448493, 2.560242869, 397.188
132, 2.560242888, 2.560751477, 254.294
133, 2.560751494, 2.561331637, 290.072
134, 2.561331658, 2.562019665, 344.004
135, 2.562019687, 2.562707978, 344.145
136, 2.562707996, 2.563411739, 351.872
137, 2.563411759, 2.564091812, 340.026
138, 2.564091830, 2.564824265, 366.218
139, 2.564824282, 2.565535293, 355.505
140, 2.565535311, 2.566438115, 451.402
