------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=48210; ReceivedMessages=482
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.503 sec; SentMessages=45801; ReceivedMessages=459
sockperf: [2;35m====> avg-latency=929.029 (std-dev=122.034)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 459 observations[0m; each percentile contains 4.59 observations
sockperf: ---> <MAX> observation = 1222.270
sockperf: ---> percentile 99.999 = 1222.270
sockperf: ---> percentile 99.990 = 1222.270
sockperf: ---> percentile 99.900 = 1222.270
sockperf: ---> percentile 99.000 = 1174.404
sockperf: ---> percentile 90.000 = 1095.248
sockperf: ---> percentile 75.000 = 1013.333
sockperf: ---> percentile 50.000 =  933.743
sockperf: ---> percentile 25.000 =  831.093
sockperf: ---> <MIN> observation =  679.750
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.441316068, 2.443510454, 1097.193
1, 2.462589793, 2.464044474, 727.340
2, 2.483137039, 2.484799226, 831.093
3, 2.503861379, 2.505902399, 1020.510
4, 2.524999738, 2.526621718, 810.990
5, 2.545323195, 2.547169354, 923.079
6, 2.565891396, 2.567910517, 1009.560
7, 2.586997438, 2.588505850, 754.206
8, 2.607692151, 2.609411238, 859.543
9, 2.628048433, 2.630051903, 1001.735
10, 2.649327166, 2.650820441, 746.638
11, 2.669722780, 2.671713167, 995.194
12, 2.690449009, 2.692411974, 981.483
13, 2.711520937, 2.713000363, 739.713
14, 2.731729812, 2.733923411, 1096.799
15, 2.753161034, 2.754834338, 836.652
16, 2.773518485, 2.775519920, 1000.717
17, 2.794428434, 2.796109436, 840.501
18, 2.815349815, 2.816824799, 737.492
19, 2.835709305, 2.837729637, 1010.166
20, 2.856809629, 2.858448223, 819.297
21, 2.876985650, 2.879013454, 1013.902
22, 2.898264693, 2.899749657, 742.482
23, 2.918633414, 2.920641364, 1003.975
24, 2.939364539, 2.941381306, 1008.384
25, 2.960271344, 2.962114253, 921.455
26, 2.980820927, 2.982850863, 1014.968
27, 3.001363362, 3.003742509, 1189.574
28, 3.022459289, 3.024507542, 1024.126
29, 3.043367523, 3.045033987, 833.232
30, 3.063732903, 3.065761211, 1014.154
31, 3.085050896, 3.086653846, 801.475
32, 3.105564869, 3.107383544, 909.338
33, 3.126199168, 3.127974972, 887.902
34, 3.147156629, 3.148676511, 759.941
35, 3.167848113, 3.169567088, 859.488
36, 3.188774265, 3.190283372, 754.553
37, 3.209425301, 3.211027237, 800.968
38, 3.229867006, 3.231775455, 954.225
39, 3.250512595, 3.252674070, 1080.737
40, 3.271121477, 3.273369869, 1124.196
41, 3.292220071, 3.293966025, 872.977
42, 3.313320437, 3.314687479, 683.521
43, 3.333801147, 3.335590649, 894.751
44, 3.354708537, 3.356279564, 785.513
45, 3.374951710, 3.376867644, 957.967
46, 3.395806149, 3.397608415, 901.133
47, 3.416691015, 3.418490589, 899.787
48, 3.437509463, 3.439384847, 937.692
49, 3.458181948, 3.459946464, 882.258
50, 3.478602209, 3.480676823, 1037.307
51, 3.499522943, 3.501609974, 1043.515
52, 3.520519498, 3.522337784, 909.143
53, 3.541518346, 3.542912012, 696.833
54, 3.562110962, 3.563634812, 761.925
55, 3.582602773, 3.584538561, 967.894
56, 3.603197137, 3.605216830, 1009.847
57, 3.624256904, 3.625776130, 759.613
58, 3.644968428, 3.646508328, 769.950
59, 3.665924051, 3.667395605, 735.777
60, 3.686189430, 3.688350820, 1080.695
61, 3.707200252, 3.708906607, 853.178
62, 3.727712968, 3.729636445, 961.739
63, 3.748441906, 3.750589666, 1073.880
64, 3.769708058, 3.771225149, 758.546
65, 3.790385095, 3.791822714, 718.810
66, 3.810945066, 3.812520853, 787.893
67, 3.831903775, 3.833422416, 759.321
68, 3.852535876, 3.854138875, 801.499
69, 3.872805742, 3.874726515, 960.387
70, 3.894030910, 3.895400929, 685.009
71, 3.914259420, 3.916577343, 1158.961
72, 3.935575530, 3.937269005, 846.738
73, 3.956204508, 3.957847983, 821.738
74, 3.976833742, 3.978505673, 835.965
75, 3.997568287, 3.999454623, 943.168
76, 4.018273011, 4.020168575, 947.782
77, 4.039183511, 4.040748211, 782.350
78, 4.059908856, 4.061442916, 767.030
79, 4.080270149, 4.082386737, 1058.294
80, 4.101184814, 4.103112300, 963.743
81, 4.122124832, 4.123664964, 770.066
82, 4.142850521, 4.144562045, 855.762
83, 4.163557620, 4.165133208, 787.794
84, 4.184149662, 4.186078406, 964.372
85, 4.204958551, 4.206726931, 884.190
86, 4.225919456, 4.227436128, 758.336
87, 4.246761952, 4.248433482, 835.765
88, 4.267394202, 4.269103976, 854.887
89, 4.287946851, 4.289671084, 862.116
90, 4.308584913, 4.310377545, 896.316
91, 4.329713642, 4.331286018, 786.188
92, 4.350304350, 4.351981015, 838.333
93, 4.370804345, 4.372766940, 981.298
94, 4.391517962, 4.393442474, 962.256
95, 4.412085769, 4.414385917, 1150.074
96, 4.433342293, 4.434909175, 783.441
97, 4.453582485, 4.455678388, 1047.951
98, 4.474496369, 4.476387347, 945.489
99, 4.495523324, 4.497337986, 907.331
100, 4.516141552, 4.518050240, 954.344
101, 4.536782544, 4.538576580, 897.018
102, 4.557641057, 4.559322359, 840.651
103, 4.578326780, 4.580178214, 925.717
104, 4.599230665, 4.601130964, 950.149
105, 4.620168661, 4.621696537, 763.938
106, 4.640695340, 4.642363693, 834.176
107, 4.661437991, 4.663335018, 948.513
108, 4.681805936, 4.684082319, 1138.191
109, 4.703080555, 4.704571975, 745.710
110, 4.724000104, 4.725359605, 679.750
111, 4.744492230, 4.746229636, 868.703
112, 4.765247224, 4.766948498, 850.637
113, 4.785971258, 4.787489132, 758.937
114, 4.806336670, 4.808227982, 945.656
115, 4.827240249, 4.829377718, 1068.735
116, 4.848012256, 4.849911378, 949.561
117, 4.869079783, 4.870682476, 801.346
118, 4.889903554, 4.891377473, 736.960
119, 4.910336027, 4.912294200, 979.087
120, 4.931062907, 4.932995332, 966.213
121, 4.951621895, 4.953550601, 964.353
122, 4.972878375, 4.974286620, 704.122
123, 4.993067959, 4.995211780, 1071.911
124, 5.014305823, 5.015873652, 783.914
125, 5.035060772, 5.036452858, 696.043
126, 5.055795235, 5.057378110, 791.437
127, 5.076360990, 5.078370699, 1004.854
128, 5.097241176, 5.098915141, 836.982
129, 5.118157138, 5.119647392, 745.127
130, 5.138887748, 5.140377364, 744.808
131, 5.159535577, 5.161321443, 892.933
132, 5.180345198, 5.182021884, 838.343
133, 5.200717375, 5.202540568, 911.597
134, 5.221384612, 5.223290279, 952.833
135, 5.242574143, 5.244229663, 827.760
136, 5.263088532, 5.264888870, 900.169
137, 5.283635414, 5.285489596, 927.091
138, 5.304390235, 5.306238106, 923.935
139, 5.325091132, 5.327141686, 1025.277
140, 5.346028687, 5.348058963, 1015.138
141, 5.366906584, 5.368586219, 839.818
142, 5.387289851, 5.389313109, 1011.629
143, 5.408510106, 5.410245478, 867.686
144, 5.429167248, 5.430976039, 904.396
145, 5.449522535, 5.451507439, 992.452
146, 5.470236501, 5.472238739, 1001.119
147, 5.491134458, 5.493215755, 1040.649
148, 5.511578377, 5.513884125, 1152.874
149, 5.532937878, 5.534422951, 742.537
150, 5.553487166, 5.555203858, 858.346
151, 5.574214980, 5.576105156, 945.088
152, 5.595046413, 5.596778055, 865.821
153, 5.615849104, 5.617366255, 758.576
154, 5.636763787, 5.638241998, 739.106
155, 5.657144857, 5.659243168, 1049.155
156, 5.677671197, 5.679928124, 1128.464
157, 5.698546830, 5.700465182, 959.176
158, 5.719138255, 5.721233961, 1047.853
159, 5.740157370, 5.742158187, 1000.409
160, 5.760600563, 5.762794999, 1097.218
161, 5.781676471, 5.783363570, 843.550
162, 5.802342249, 5.804100918, 879.334
163, 5.823134555, 5.825072063, 968.754
164, 5.843856221, 5.845730911, 937.345
165, 5.864580376, 5.866296228, 857.926
166, 5.885163266, 5.887198519, 1017.627
167, 5.906237167, 5.908133772, 948.302
168, 5.926561554, 5.928884501, 1161.474
169, 5.947538228, 5.949380476, 921.124
170, 5.968417443, 5.970217629, 900.093
171, 5.988866377, 5.991118157, 1125.890
172, 6.009952627, 6.011760034, 903.703
173, 6.030132081, 6.032255157, 1061.538
174, 6.051225775, 6.053068063, 921.144
175, 6.072134737, 6.073983868, 924.565
176, 6.092890110, 6.094683337, 896.614
177, 6.113776624, 6.115283994, 753.685
178, 6.134130787, 6.136013865, 941.539
179, 6.155259474, 6.157108439, 924.483
180, 6.175957661, 6.177812216, 927.278
181, 6.196682876, 6.198229846, 773.485
182, 6.217227836, 6.219096461, 934.313
183, 6.237955372, 6.240072312, 1058.470
184, 6.258533157, 6.260724786, 1095.815
185, 6.279227588, 6.281329371, 1050.892
186, 6.299953654, 6.302062570, 1054.458
187, 6.321236986, 6.322997317, 880.165
188, 6.341785297, 6.343630268, 922.485
189, 6.362153261, 6.364222995, 1034.867
190, 6.383431135, 6.384953597, 761.231
191, 6.403979977, 6.406104780, 1062.402
192, 6.424529153, 6.426774426, 1122.636
193, 6.445623097, 6.447307299, 842.101
194, 6.466167708, 6.467914986, 873.639
195, 6.486715471, 6.488990603, 1137.566
196, 6.507443116, 6.509673440, 1115.162
197, 6.528273670, 6.530242834, 984.582
198, 6.549489161, 6.551009291, 760.065
199, 6.569724672, 6.571931437, 1103.382
200, 6.590486928, 6.592589879, 1051.475
201, 6.611582096, 6.613131631, 774.767
202, 6.632301321, 6.633860147, 779.413
203, 6.652946910, 6.654996344, 1024.717
204, 6.673653197, 6.675536530, 941.667
205, 6.694574219, 6.696105950, 765.866
