------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=48211; ReceivedMessages=482
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.503 sec; SentMessages=45801; ReceivedMessages=459
sockperf: [2;35m====> avg-latency=908.702 (std-dev=115.499)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 459 observations[0m; each percentile contains 4.59 observations
sockperf: ---> <MAX> observation = 1170.310
sockperf: ---> percentile 99.999 = 1170.310
sockperf: ---> percentile 99.990 = 1170.310
sockperf: ---> percentile 99.900 = 1170.310
sockperf: ---> percentile 99.000 = 1157.389
sockperf: ---> percentile 90.000 = 1057.006
sockperf: ---> percentile 75.000 =  980.493
sockperf: ---> percentile 50.000 =  915.860
sockperf: ---> percentile 25.000 =  827.195
sockperf: ---> <MIN> observation =  646.209
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.441759708, 2.443422087, 831.189
1, 2.462667713, 2.464280537, 806.412
2, 2.483313005, 2.485040289, 863.642
3, 2.503789520, 2.505604057, 907.269
4, 2.524255842, 2.526329837, 1036.997
5, 2.545325049, 2.547256606, 965.778
6, 2.566163846, 2.567949251, 892.703
7, 2.586885102, 2.588512433, 813.666
8, 2.607779279, 2.609235640, 728.181
9, 2.628509038, 2.630345209, 918.085
10, 2.649267749, 2.651058584, 895.417
11, 2.669513724, 2.671613813, 1050.045
12, 2.690704743, 2.692341640, 818.449
13, 2.711604975, 2.713259367, 827.196
14, 2.731786244, 2.733963936, 1088.846
15, 2.753095397, 2.754527537, 716.070
16, 2.773608337, 2.775221943, 806.803
17, 2.794092360, 2.796170490, 1039.065
18, 2.815263504, 2.816842468, 789.482
19, 2.835805068, 2.837435766, 815.349
20, 2.856356625, 2.858357525, 1000.450
21, 2.877401476, 2.879288437, 943.480
22, 2.898353230, 2.899979933, 813.351
23, 2.918888186, 2.920542564, 827.189
24, 2.939325155, 2.941264202, 969.523
25, 2.960338649, 2.962189720, 925.536
26, 2.981052289, 2.982884010, 915.860
27, 3.001727680, 3.003462773, 867.547
28, 3.022882332, 3.024174751, 646.209
29, 3.043349400, 3.045090493, 870.546
30, 3.063917239, 3.065839700, 961.231
31, 3.084710128, 3.086552473, 921.173
32, 3.105752130, 3.107269833, 758.852
33, 3.126291173, 3.128160398, 934.612
34, 3.146890267, 3.148906368, 1008.051
35, 3.167438420, 3.169460760, 1011.170
36, 3.188533972, 3.190171597, 818.812
37, 3.209291885, 3.211126998, 917.557
38, 3.230280911, 3.231819738, 769.413
39, 3.250886698, 3.252362630, 737.966
40, 3.271294391, 3.273095143, 900.376
41, 3.292166145, 3.294211953, 1022.904
42, 3.312918304, 3.314909390, 995.543
43, 3.333613138, 3.335467683, 927.273
44, 3.354571324, 3.356165857, 797.267
45, 3.375453692, 3.377103411, 824.860
46, 3.396154775, 3.397818291, 831.758
47, 3.416707556, 3.418391494, 841.969
48, 3.437190551, 3.439106148, 957.798
49, 3.458534834, 3.460016293, 740.730
50, 3.479081932, 3.480737620, 827.844
51, 3.499989318, 3.501293683, 652.183
52, 3.520740000, 3.522207272, 733.636
53, 3.541098217, 3.543134839, 1018.311
54, 3.562115168, 3.563838415, 861.624
55, 3.582457525, 3.584396373, 969.424
56, 3.603639068, 3.605114998, 737.965
57, 3.624225865, 3.626042546, 908.340
58, 3.645083996, 3.646713471, 814.738
59, 3.665643874, 3.667304721, 830.424
60, 3.686757330, 3.688051126, 646.898
61, 3.707104348, 3.708963547, 929.599
62, 3.728014752, 3.729655098, 820.173
63, 3.748870859, 3.750416702, 772.921
64, 3.769572113, 3.771135357, 781.622
65, 3.790299637, 3.792026349, 863.356
66, 3.810848201, 3.812760955, 956.377
67, 3.831574222, 3.833319916, 872.847
68, 3.851968806, 3.854048038, 1039.616
69, 3.873241601, 3.874940231, 849.315
70, 3.893756022, 3.895664035, 954.007
71, 3.914498913, 3.916230192, 865.639
72, 3.935591481, 3.936961406, 684.963
73, 3.956138232, 3.957873298, 867.533
74, 3.976494995, 3.978771944, 1138.475
75, 3.997413877, 3.999327601, 956.862
76, 4.018506643, 4.020056893, 775.125
77, 4.038868313, 4.040983403, 1057.545
78, 4.059998092, 4.061673548, 837.728
79, 4.080695070, 4.082251439, 778.184
80, 4.101240907, 4.102989184, 874.138
