# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
4fbe986;1;2022-04-03 10:32:00 UTC;-1;1.00;0.00;0.25;0.00;0.00;98.75
4fbe986;1;2022-04-03 10:32:01 UTC;-1;0.51;0.00;1.27;0.00;0.00;98.22
4fbe986;1;2022-04-03 10:32:02 UTC;-1;1.45;0.00;8.19;0.00;0.00;90.36
4fbe986;1;2022-04-03 10:32:03 UTC;-1;3.61;0.00;3.22;0.13;0.00;93.04
4fbe986;1;2022-04-03 10:32:04 UTC;-1;2.34;0.00;12.30;0.00;0.00;85.36
4fbe986;1;2022-04-03 10:32:05 UTC;-1;0.56;0.00;8.17;0.00;0.00;91.27
4fbe986;1;2022-04-03 10:32:06 UTC;-1;1.47;0.00;7.88;0.00;0.00;90.65
4fbe986;1;2022-04-03 10:32:07 UTC;-1;0.42;0.00;3.34;0.00;0.00;96.24
4fbe986;1;2022-04-03 10:32:08 UTC;-1;0.59;0.00;3.10;0.00;0.00;96.31
4fbe986;1;2022-04-03 10:32:09 UTC;-1;0.54;0.00;11.05;0.00;0.00;88.41
4fbe986;1;2022-04-03 10:32:10 UTC;-1;1.59;0.00;8.37;0.00;0.00;90.04
4fbe986;1;2022-04-03 10:32:11 UTC;-1;2.03;0.00;8.53;0.00;0.00;89.45
4fbe986;1;2022-04-03 10:32:12 UTC;-1;0.54;0.00;4.88;0.00;0.00;94.58
4fbe986;1;2022-04-03 10:32:13 UTC;-1;0.00;0.00;6.15;0.00;0.00;93.85
4fbe986;1;2022-04-03 10:32:14 UTC;-1;0.25;0.00;0.64;0.00;0.00;99.11
4fbe986;1;2022-04-03 10:32:15 UTC;-1;1.51;0.00;0.50;0.00;0.00;97.99
4fbe986;1;2022-04-03 10:32:16 UTC;-1;0.13;0.00;0.25;0.00;0.00;99.62
4fbe986;1;2022-04-03 10:32:17 UTC;-1;0.12;0.00;0.25;0.00;0.00;99.63
4fbe986;1;2022-04-03 10:32:18 UTC;-1;0.25;0.00;0.12;0.00;0.00;99.62
4fbe986;1;2022-04-03 10:32:19 UTC;-1;0.65;0.00;2.34;0.00;0.00;97.01
4fbe986;1;2022-04-03 10:32:20 UTC;-1;0.39;0.00;1.83;0.00;0.00;97.78
4fbe986;1;2022-04-03 10:32:21 UTC;-1;0.92;0.00;2.49;0.00;0.00;96.59
4fbe986;1;2022-04-03 10:32:22 UTC;-1;0.14;0.00;3.03;0.00;0.00;96.82
4fbe986;1;2022-04-03 10:32:23 UTC;-1;0.14;0.00;5.93;0.00;0.00;93.93
4fbe986;1;2022-04-03 10:32:24 UTC;-1;0.14;0.00;5.26;0.00;0.00;94.60
4fbe986;1;2022-04-03 10:32:25 UTC;-1;0.00;0.00;4.32;0.00;0.00;95.68
4fbe986;1;2022-04-03 10:32:26 UTC;-1;0.00;0.00;3.76;0.00;0.00;96.24
4fbe986;1;2022-04-03 10:32:27 UTC;-1;0.00;0.00;3.64;0.00;0.00;96.36
4fbe986;1;2022-04-03 10:32:28 UTC;-1;0.14;0.00;6.06;0.00;0.00;93.79
4fbe986;1;2022-04-03 10:32:29 UTC;-1;0.28;0.00;1.84;0.00;0.00;97.87
4fbe986;1;2022-04-03 10:32:30 UTC;-1;0.00;0.00;1.01;0.00;0.00;98.99
4fbe986;1;2022-04-03 10:32:31 UTC;-1;0.41;0.00;3.04;0.00;0.00;96.55
4fbe986;1;2022-04-03 10:32:32 UTC;-1;1.38;0.00;1.38;0.00;0.00;97.24
4fbe986;1;2022-04-03 10:32:33 UTC;-1;2.75;0.00;1.00;0.25;0.00;96.00
4fbe986;1;2022-04-03 10:32:34 UTC;-1;0.62;0.00;0.50;0.00;0.00;98.88
4fbe986;1;2022-04-03 10:32:35 UTC;-1;0.38;0.00;0.12;0.00;0.00;99.50
4fbe986;1;2022-04-03 10:32:36 UTC;-1;0.13;0.00;1.40;0.00;0.00;98.47
4fbe986;1;2022-04-03 10:32:37 UTC;-1;0.26;0.00;1.57;0.00;0.00;98.17
4fbe986;1;2022-04-03 10:32:38 UTC;-1;0.00;0.00;1.31;0.13;0.00;98.55
4fbe986;1;2022-04-03 10:32:39 UTC;-1;0.53;0.00;4.13;0.00;0.00;95.34
