# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.910        6.852
       1.002        0.000        1.910        6.852
       2.004        0.000        1.910        6.852
       3.007        0.000        1.910        6.852
       4.010        0.000        1.910        6.852
       5.011        3.000        1.910        6.855
       6.013       12.000        1.910        6.855
       7.014        9.000        1.910        6.855
       8.016       11.000        1.910        6.855
       9.017       10.000        1.910        6.855
      10.018        9.000        1.910        6.855
      11.019        9.000        1.910        6.855
      12.020        8.000        1.910        6.855
      13.021       11.000        1.910        6.855
      14.022       11.000        1.910        6.855
