------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=3789; ReceivedMessages=3788
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.549 sec; SentMessages=3620; ReceivedMessages=3620
sockperf: [2;35m====> avg-latency=1318.800 (std-dev=74.436)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 3620 observations[0m; each percentile contains 36.20 observations
sockperf: ---> <MAX> observation = 1669.804
sockperf: ---> percentile 99.999 = 1669.804
sockperf: ---> percentile 99.990 = 1669.804
sockperf: ---> percentile 99.900 = 1566.646
sockperf: ---> percentile 99.000 = 1484.211
sockperf: ---> percentile 90.000 = 1407.989
sockperf: ---> percentile 75.000 = 1378.887
sockperf: ---> percentile 50.000 = 1309.710
sockperf: ---> percentile 25.000 = 1260.770
sockperf: ---> <MIN> observation = 1122.571
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.435404766, 2.438132596, 1363.915
1, 2.438132661, 2.440685166, 1276.253
2, 2.440685226, 2.443449995, 1382.385
3, 2.443450039, 2.445990297, 1270.129
4, 2.445990373, 2.448758671, 1384.149
5, 2.448758750, 2.451309560, 1275.405
6, 2.451309603, 2.454068227, 1379.312
7, 2.454068290, 2.456637122, 1284.416
8, 2.456637179, 2.459411340, 1387.080
9, 2.459411411, 2.461928555, 1258.572
10, 2.461928622, 2.464694505, 1382.941
11, 2.464694581, 2.467230871, 1268.145
12, 2.467230948, 2.469973993, 1371.522
13, 2.469974074, 2.472499973, 1262.950
14, 2.472500017, 2.475319962, 1409.973
15, 2.475320038, 2.477845737, 1262.849
16, 2.477845811, 2.480614443, 1384.316
17, 2.480614486, 2.483138615, 1262.065
18, 2.483138736, 2.485898537, 1379.901
19, 2.485898599, 2.488467140, 1284.271
20, 2.488467201, 2.491291902, 1412.351
21, 2.491291969, 2.493852674, 1280.353
22, 2.493852740, 2.496588325, 1367.792
23, 2.496588358, 2.499123856, 1267.749
24, 2.499123918, 2.501893055, 1384.568
25, 2.501893111, 2.504471764, 1289.327
26, 2.504471830, 2.507280047, 1404.108
27, 2.507280103, 2.509804431, 1262.164
28, 2.509804511, 2.512597837, 1396.663
29, 2.512597884, 2.515138746, 1270.431
30, 2.515138798, 2.517904029, 1382.616
31, 2.517904106, 2.520473816, 1284.855
32, 2.520473882, 2.523298851, 1412.484
33, 2.523298908, 2.525843172, 1272.132
34, 2.525843244, 2.528653094, 1404.925
35, 2.528653136, 2.531167116, 1256.990
36, 2.531167188, 2.533928799, 1380.806
37, 2.533928875, 2.536489948, 1280.536
38, 2.536490015, 2.539336363, 1423.174
39, 2.539336411, 2.541908004, 1285.797
40, 2.541908041, 2.544744818, 1418.389
41, 2.544745367, 2.547302649, 1278.641
42, 2.547302716, 2.550291330, 1494.307
43, 2.550291445, 2.552837166, 1272.861
44, 2.552837265, 2.555595109, 1378.922
45, 2.555595169, 2.558129353, 1267.092
46, 2.558129435, 2.560881556, 1376.061
47, 2.560881632, 2.563410944, 1264.656
48, 2.563411091, 2.566147681, 1368.295
49, 2.566147754, 2.568659126, 1255.686
50, 2.568659266, 2.571429714, 1385.224
51, 2.571429766, 2.573962879, 1266.557
52, 2.573963036, 2.576742795, 1389.880
53, 2.576742887, 2.579315467, 1286.290
54, 2.579315545, 2.582051369, 1367.912
55, 2.582051449, 2.584496786, 1222.668
56, 2.584496850, 2.587284079, 1393.615
57, 2.587284140, 2.589834259, 1275.059
58, 2.589834336, 2.592541239, 1353.451
59, 2.592541316, 2.595102054, 1280.369
60, 2.595102363, 2.597856651, 1377.144
61, 2.597856687, 2.600404446, 1273.880
62, 2.600404520, 2.603128545, 1362.013
63, 2.603128599, 2.605612729, 1242.065
64, 2.605612797, 2.608380337, 1383.770
65, 2.608380410, 2.610874648, 1247.119
66, 2.610874716, 2.613623012, 1374.148
67, 2.613623068, 2.616129697, 1253.315
68, 2.616130316, 2.618857955, 1363.819
69, 2.618858010, 2.621379713, 1260.851
70, 2.621379764, 2.624106798, 1363.517
71, 2.624106860, 2.626660636, 1276.888
72, 2.626660694, 2.629383150, 1361.228
73, 2.629383205, 2.631929374, 1273.084
74, 2.631929441, 2.634709743, 1390.151
75, 2.634709814, 2.637285972, 1288.079
76, 2.637286044, 2.640055409, 1384.682
77, 2.640055465, 2.642586025, 1265.280
78, 2.642586077, 2.645386875, 1400.399
79, 2.645386947, 2.647915664, 1264.358
80, 2.647915737, 2.650674237, 1379.250
81, 2.650674302, 2.653225052, 1275.375
