------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=3984; ReceivedMessages=3983
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.551 sec; SentMessages=3812; ReceivedMessages=3812
sockperf: [2;35m====> avg-latency=1252.624 (std-dev=127.477)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 3812 observations[0m; each percentile contains 38.12 observations
sockperf: ---> <MAX> observation = 2095.974
sockperf: ---> percentile 99.999 = 2095.974
sockperf: ---> percentile 99.990 = 2095.974
sockperf: ---> percentile 99.900 = 1527.951
sockperf: ---> percentile 99.000 = 1486.105
sockperf: ---> percentile 90.000 = 1401.706
sockperf: ---> percentile 75.000 = 1363.919
sockperf: ---> percentile 50.000 = 1260.320
sockperf: ---> percentile 25.000 = 1195.248
sockperf: ---> <MIN> observation =  693.602
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.433750141, 2.436261870, 1255.865
1, 2.436261922, 2.439025993, 1382.036
2, 2.439026062, 2.441520408, 1247.173
3, 2.441520488, 2.444262985, 1371.248
4, 2.444263062, 2.446783703, 1260.320
5, 2.446783776, 2.449526643, 1371.433
6, 2.449526713, 2.452089982, 1281.634
7, 2.452090018, 2.454802669, 1356.325
8, 2.454802751, 2.457320547, 1258.898
9, 2.457320618, 2.460037872, 1358.627
10, 2.460037938, 2.462538118, 1250.090
11, 2.462538189, 2.465264621, 1363.216
12, 2.465264662, 2.467775189, 1255.264
13, 2.467775329, 2.470521400, 1373.035
14, 2.470521475, 2.473086187, 1282.356
15, 2.473086258, 2.475886736, 1400.239
16, 2.475886803, 2.478429748, 1271.473
17, 2.478429830, 2.481240325, 1405.248
18, 2.481240413, 2.483782386, 1270.986
19, 2.483782467, 2.486588257, 1402.895
20, 2.486588327, 2.489176760, 1294.217
21, 2.489176812, 2.491941794, 1382.491
22, 2.491941861, 2.494504300, 1281.219
23, 2.494504367, 2.497277121, 1386.377
24, 2.497277182, 2.499765408, 1244.113
25, 2.499765479, 2.502485292, 1359.907
26, 2.502485361, 2.505006871, 1260.755
27, 2.505006940, 2.507728255, 1360.658
28, 2.507728341, 2.510258554, 1265.107
29, 2.510258606, 2.513008014, 1374.704
30, 2.513008085, 2.515556070, 1273.992
31, 2.515556144, 2.518315424, 1379.640
32, 2.518315475, 2.520868476, 1276.500
33, 2.520868539, 2.523656082, 1393.772
