------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.001 sec; Warm up time=400 msec; SentMessages=48027; ReceivedMessages=480
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.493 sec; SentMessages=45601; ReceivedMessages=457
sockperf: [2;35m====> avg-latency=1010.633 (std-dev=117.736)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 457 observations[0m; each percentile contains 4.57 observations
sockperf: ---> <MAX> observation = 1349.831
sockperf: ---> percentile 99.999 = 1349.831
sockperf: ---> percentile 99.990 = 1349.831
sockperf: ---> percentile 99.900 = 1349.831
sockperf: ---> percentile 99.000 = 1294.648
sockperf: ---> percentile 90.000 = 1162.924
sockperf: ---> percentile 75.000 = 1089.003
sockperf: ---> percentile 50.000 = 1005.376
sockperf: ---> percentile 25.000 =  923.229
sockperf: ---> <MIN> observation =  737.242
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.448356890, 2.450413748, 1028.429
1, 2.469451327, 2.471356874, 952.773
2, 2.490073586, 2.492057906, 992.160
3, 2.511175006, 2.512849369, 837.182
4, 2.531794161, 2.533778789, 992.314
5, 2.552296837, 2.554593966, 1148.565
6, 2.573177914, 2.575334480, 1078.283
7, 2.594012857, 2.596196649, 1091.896
8, 2.615120493, 2.616908639, 894.073
9, 2.635678859, 2.637754795, 1037.968
10, 2.656852132, 2.658625073, 886.470
11, 2.677479488, 2.679649161, 1084.837
12, 2.698562550, 2.700226537, 831.994
13, 2.718852861, 2.721296427, 1221.783
14, 2.739913809, 2.742270006, 1178.099
15, 2.760435458, 2.763099968, 1332.255
16, 2.781707153, 2.783495206, 894.026
17, 2.802240532, 2.804327594, 1043.531
18, 2.823432622, 2.825529879, 1048.629
19, 2.843963297, 2.845833982, 935.343
20, 2.865056939, 2.866710983, 827.022
21, 2.885880291, 2.887793860, 956.784
22, 2.906431720, 2.908333631, 950.956
23, 2.927517924, 2.929168416, 825.246
24, 2.948025803, 2.949999989, 987.093
25, 2.968565272, 2.971264934, 1349.831
26, 2.989589059, 2.991531544, 971.243
27, 3.010568929, 3.012413280, 922.175
28, 3.031552608, 3.033272644, 860.018
29, 3.051982731, 3.054261827, 1139.548
30, 3.073104515, 3.074964201, 929.843
31, 3.093526586, 3.095620133, 1046.773
32, 3.114721825, 3.116810387, 1044.281
33, 3.135353094, 3.137245641, 946.273
34, 3.156449918, 3.158279421, 914.751
35, 3.176970934, 3.179140404, 1084.735
36, 3.197487796, 3.199643541, 1077.873
37, 3.218678987, 3.220536068, 928.540
38, 3.239217111, 3.241335897, 1059.393
39, 3.260436300, 3.262330625, 947.163
40, 3.280921234, 3.282940319, 1009.542
41, 3.302125678, 3.303848502, 861.412
42, 3.322651320, 3.324944202, 1146.441
43, 3.343248050, 3.345787933, 1269.942
44, 3.364442966, 3.366415436, 986.235
45, 3.384978061, 3.387061887, 1041.913
46, 3.406193634, 3.408077523, 941.944
47, 3.426697494, 3.428657725, 980.115
48, 3.447818220, 3.449481590, 831.685
49, 3.468458590, 3.470656315, 1098.863
50, 3.489018477, 3.491495963, 1238.743
51, 3.510141251, 3.511821923, 840.336
52, 3.530666021, 3.533174109, 1254.044
53, 3.551553997, 3.553576553, 1011.278
54, 3.572390625, 3.574414390, 1011.882
55, 3.592992406, 3.595233631, 1120.613
56, 3.613820831, 3.616341903, 1260.536
57, 3.635022439, 3.636733091, 855.326
58, 3.655543432, 3.657531882, 994.225
59, 3.676733104, 3.678395167, 831.031
60, 3.697264832, 3.699265338, 1000.253
61, 3.717792817, 3.720286409, 1246.796
62, 3.738979979, 3.741021505, 1020.763
63, 3.759503682, 3.761608909, 1052.613
64, 3.780299841, 3.782640640, 1170.399
65, 3.801512030, 3.803231305, 859.638
66, 3.821874819, 3.824324699, 1224.940
67, 3.843143478, 3.844868557, 862.540
68, 3.863664348, 3.865715688, 1025.670
69, 3.884895577, 3.886771624, 938.023
70, 3.905400902, 3.907385535, 992.317
71, 3.926504448, 3.928140043, 817.798
72, 3.947011327, 3.949189335, 1089.004
73, 3.967561114, 3.969751535, 1095.211
74, 3.988730877, 3.990505054, 887.089
75, 4.009456768, 4.011614218, 1078.725
76, 4.030457165, 4.032235878, 889.356
77, 4.050877253, 4.053035725, 1079.236
78, 4.072073509, 4.073847308, 886.900
79, 4.092594243, 4.094616885, 1011.321
80, 4.113781828, 4.115775426, 996.799
81, 4.134235650, 4.136612083, 1188.217
82, 4.155428588, 4.157398319, 984.866
83, 4.176029873, 4.177922903, 946.515
84, 4.196547420, 4.198699446, 1076.013
85, 4.217655363, 4.219755832, 1050.235
86, 4.238221517, 4.240547367, 1162.925
87, 4.259394936, 4.261372868, 988.966
88, 4.279982738, 4.281891086, 954.174
89, 4.301044376, 4.302778883, 867.254
90, 4.321573365, 4.323958568, 1192.602
91, 4.342740226, 4.344606643, 933.208
92, 4.363341690, 4.365382399, 1020.355
93, 4.383873306, 4.386055954, 1091.324
94, 4.405105975, 4.407208349, 1051.187
95, 4.425676595, 4.427602824, 963.114
96, 4.446203165, 4.448706543, 1251.689
97, 4.467403039, 4.469228518, 912.739
98, 4.487851995, 4.490126264, 1137.135
99, 4.508836842, 4.511128929, 1146.043
100, 4.529960744, 4.531692009, 865.632
101, 4.550545438, 4.552539080, 996.821
102, 4.571438953, 4.573542787, 1051.917
103, 4.592281538, 4.594327551, 1023.007
104, 4.612811666, 4.614979603, 1083.968
105, 4.634029231, 4.635776840, 873.804
106, 4.654449131, 4.656553678, 1052.273
107, 4.675744329, 4.677429912, 842.791
108, 4.696248874, 4.698390859, 1070.992
109, 4.716769382, 4.719074577, 1152.597
110, 4.737970852, 4.740158357, 1093.753
111, 4.758435446, 4.760597907, 1081.230
112, 4.779602910, 4.781397038, 897.064
113, 4.800194856, 4.802484311, 1144.727
