------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=48030; ReceivedMessages=480
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.493 sec; SentMessages=45601; ReceivedMessages=457
sockperf: [2;35m====> avg-latency=987.437 (std-dev=122.450)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 457 observations[0m; each percentile contains 4.57 observations
sockperf: ---> <MAX> observation = 1344.574
sockperf: ---> percentile 99.999 = 1344.574
sockperf: ---> percentile 99.990 = 1344.574
sockperf: ---> percentile 99.900 = 1344.574
sockperf: ---> percentile 99.000 = 1272.898
sockperf: ---> percentile 90.000 = 1148.875
sockperf: ---> percentile 75.000 = 1077.098
sockperf: ---> percentile 50.000 =  982.603
sockperf: ---> percentile 25.000 =  886.822
sockperf: ---> <MIN> observation =  744.878
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.449926539, 2.452170614, 1122.037
1, 2.470426993, 2.472644536, 1108.771
2, 2.491660949, 2.493559831, 949.441
3, 2.512171010, 2.514255275, 1042.133
4, 2.533284074, 2.535191340, 953.633
5, 2.553794414, 2.556062932, 1134.259
6, 2.574898255, 2.576616959, 859.352
7, 2.595415742, 2.597709396, 1146.827
8, 2.616642698, 2.618514961, 936.132
9, 2.637210385, 2.639047665, 918.640
10, 2.658107845, 2.660106450, 999.303
11, 2.678921507, 2.680647962, 863.228
12, 2.699981718, 2.701502661, 760.472
13, 2.720579341, 2.722316819, 868.739
14, 2.741148235, 2.743158771, 1005.268
15, 2.762321657, 2.764002992, 840.668
16, 2.783229279, 2.785135252, 952.986
17, 2.803746530, 2.805944694, 1099.082
18, 2.824250094, 2.826584567, 1167.236
19, 2.845481938, 2.847243338, 880.700
20, 2.865883270, 2.868235677, 1176.204
21, 2.887173017, 2.889312337, 1069.660
22, 2.907702352, 2.909628793, 963.221
23, 2.928868874, 2.930703085, 917.106
24, 2.949286059, 2.951253362, 983.652
25, 2.970101818, 2.972329634, 1113.908
26, 2.991259590, 2.993053631, 897.021
27, 3.011887913, 3.014148923, 1130.505
28, 3.032347760, 3.034673818, 1163.029
29, 3.053481192, 3.055349519, 934.164
30, 3.074083946, 3.076123252, 1019.653
31, 3.095231877, 3.097065346, 916.735
32, 3.115813095, 3.117732792, 959.848
33, 3.136729561, 3.138803040, 1036.740
34, 3.157816499, 3.159572392, 877.946
35, 3.178373092, 3.180278830, 952.869
36, 3.198870783, 3.201001829, 1065.523
37, 3.220054652, 3.221861372, 903.360
38, 3.240826803, 3.242992346, 1082.771
39, 3.261764103, 3.263279547, 757.722
40, 3.282292213, 3.284269427, 988.607
41, 3.303198960, 3.305353993, 1077.516
42, 3.323739616, 3.326034694, 1147.539
43, 3.344861782, 3.346679641, 908.929
44, 3.365343524, 3.367753707, 1205.091
45, 3.386609583, 3.388379863, 885.140
46, 3.407147296, 3.409064106, 958.405
47, 3.428295440, 3.430147290, 925.925
48, 3.449203428, 3.450724200, 760.386
49, 3.469731552, 3.471587045, 927.746
50, 3.490820783, 3.492556665, 867.941
51, 3.511019919, 3.513433381, 1206.731
52, 3.532467684, 3.533969157, 750.737
53, 3.553040919, 3.555182078, 1070.580
54, 3.573660510, 3.576183214, 1261.352
55, 3.594712896, 3.596451096, 869.100
56, 3.615219705, 3.617199200, 989.748
57, 3.636359055, 3.638358521, 999.733
58, 3.656967355, 3.658873601, 953.123
59, 3.678090532, 3.679711194, 810.331
60, 3.698756548, 3.700455973, 849.712
61, 3.719227650, 3.721357347, 1064.849
62, 3.740133789, 3.742081165, 973.688
63, 3.761231489, 3.762981977, 875.244
64, 3.781837724, 3.783908137, 1035.207
65, 3.802587585, 3.804812003, 1112.209
66, 3.823813175, 3.825302932, 744.879
67, 3.844429045, 3.846188934, 879.944
68, 3.864956411, 3.866921618, 982.604
69, 3.886174209, 3.888041112, 933.452
70, 3.906682492, 3.908958131, 1137.820
71, 3.927778194, 3.929501008, 861.407
72, 3.948284675, 3.950438911, 1077.118
73, 3.969452437, 3.971080888, 814.226
74, 3.989969805, 3.991905679, 967.937
75, 4.010530945, 4.012867020, 1168.037
76, 4.031740653, 4.033471321, 865.334
77, 4.052222241, 4.054396786, 1087.272
78, 4.073381251, 4.075337295, 978.022
79, 4.093992186, 4.096172443, 1090.129
80, 4.115101509, 4.117084042, 991.266
81, 4.135705606, 4.137808402, 1051.398
82, 4.156803858, 4.158302376, 749.259
83, 4.177228830, 4.179214166, 992.668
84, 4.198460239, 4.199952362, 746.062
85, 4.218967299, 4.221243559, 1138.130
86, 4.239467423, 4.241546587, 1039.582
87, 4.260696512, 4.262709954, 1006.721
88, 4.281261854, 4.283230860, 984.503
89, 4.301883941, 4.304119806, 1117.933
90, 4.323336192, 4.324891883, 777.846
91, 4.343835382, 4.345679710, 922.164
92, 4.364352207, 4.366491281, 1069.537
93, 4.385686444, 4.387352974, 833.265
94, 4.406140244, 4.408161849, 1010.802
95, 4.427292449, 4.429132802, 920.177
96, 4.447783270, 4.449765554, 991.142
97, 4.468888110, 4.470793953, 952.921
98, 4.489457804, 4.491602014, 1072.105
99, 4.510643433, 4.512140430, 748.498
100, 4.531233802, 4.533370908, 1068.553
101, 4.552054985, 4.554002664, 973.839
102, 4.572864933, 4.574699537, 917.302
103, 4.593461047, 4.595425918, 982.435
104, 4.614417503, 4.616310745, 946.621
105, 4.635187806, 4.637388745, 1100.469
106, 4.656266353, 4.657902115, 817.881
107, 4.676720417, 4.678729123, 1004.353
108, 4.697661721, 4.699559546, 948.913
109, 4.718253249, 4.720344517, 1045.634
110, 4.739439759, 4.741134370, 847.306
111, 4.759904475, 4.762042364, 1068.945
112, 4.781149580, 4.782857572, 853.996
113, 4.801672867, 4.803594434, 960.784
114, 4.822732216, 4.824440039, 853.911
115, 4.843228552, 4.845293966, 1032.707
116, 4.864422077, 4.866017443, 797.683
117, 4.884974140, 4.886918137, 971.998
118, 4.906069457, 4.907890864, 910.703
119, 4.926652665, 4.928507468, 927.402
120, 4.947172468, 4.949487889, 1157.710
121, 4.968370035, 4.970163824, 896.895
122, 4.988901297, 4.990955422, 1027.062
123, 5.010099691, 5.011724512, 812.411
124, 5.030623402, 5.032540816, 958.707
125, 5.051744431, 5.053330882, 793.225
126, 5.072333464, 5.074106123, 886.330
127, 5.092851465, 5.095047821, 1098.178
128, 5.113905462, 5.115784886, 939.712
129, 5.134573475, 5.136570660, 998.593
130, 5.155779962, 5.157591802, 905.920
131, 5.176218535, 5.178240604, 1011.035
132, 5.197441899, 5.199020207, 789.154
133, 5.217851134, 5.220076867, 1112.867
134, 5.238444705, 5.240910210, 1232.752
135, 5.259655058, 5.261466102, 905.522
