# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.816        6.852
       1.001        0.000        1.816        6.852
       2.003        0.000        1.816        6.852
       3.005       11.000        1.816        6.855
       4.006       25.000        1.816        6.855
       5.007       20.000        1.816        6.855
       6.009       23.000        1.816        6.855
       7.009       24.000        1.816        6.855
       8.011       23.000        1.816        6.855
       9.012       25.000        1.816        6.855
      10.013       24.000        1.816        6.855
      11.015       22.000        1.816        6.855
      12.015       22.000        1.816        6.855
