------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=8865; ReceivedMessages=8864
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.550 sec; SentMessages=8522; ReceivedMessages=8522
sockperf: [2;35m====> avg-latency=560.251 (std-dev=96.266)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 8522 observations[0m; each percentile contains 85.22 observations
sockperf: ---> <MAX> observation =  925.776
sockperf: ---> percentile 99.999 =  925.776
sockperf: ---> percentile 99.990 =  904.852
sockperf: ---> percentile 99.900 =  862.109
sockperf: ---> percentile 99.000 =  771.792
sockperf: ---> percentile 90.000 =  713.968
sockperf: ---> percentile 75.000 =  632.074
sockperf: ---> percentile 50.000 =  535.680
sockperf: ---> percentile 25.000 =  493.518
sockperf: ---> <MIN> observation =  315.028
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.444883333, 2.446324463, 720.565
1, 2.446324652, 2.447563758, 619.553
2, 2.447563965, 2.449000008, 718.022
3, 2.449000212, 2.450275331, 637.559
4, 2.450275546, 2.451402732, 563.593
5, 2.451402950, 2.452649681, 623.365
6, 2.452649870, 2.453847114, 598.622
7, 2.453847332, 2.455073306, 612.987
8, 2.455073515, 2.455991151, 458.818
9, 2.455991376, 2.457187060, 597.842
10, 2.457187275, 2.458701861, 757.293
11, 2.458702084, 2.459794092, 546.004
12, 2.459794284, 2.461235904, 720.810
13, 2.461236589, 2.462314389, 538.900
14, 2.462314580, 2.463730010, 707.715
15, 2.463730214, 2.464771984, 520.885
16, 2.464772206, 2.466226950, 727.372
17, 2.466227159, 2.467253488, 513.164
18, 2.467253742, 2.468650829, 698.543
19, 2.468651045, 2.469936095, 642.525
20, 2.469936286, 2.471388531, 726.123
21, 2.471388750, 2.472665840, 638.545
22, 2.472666032, 2.474138057, 736.012
23, 2.474138250, 2.475212281, 537.016
24, 2.475212473, 2.476678125, 732.826
25, 2.476678322, 2.477929472, 625.575
26, 2.477929704, 2.478947204, 508.750
27, 2.478947416, 2.480253829, 653.206
28, 2.480254051, 2.481364257, 555.103
29, 2.481364925, 2.482495131, 565.103
30, 2.482495352, 2.483611930, 558.289
31, 2.483612144, 2.484800708, 594.282
32, 2.484800903, 2.485947260, 573.179
33, 2.485947508, 2.487173799, 613.146
34, 2.487173996, 2.488661907, 743.955
35, 2.488662140, 2.489995200, 666.530
36, 2.489995394, 2.491163848, 584.227
37, 2.491164107, 2.492501816, 668.854
38, 2.492502040, 2.493684901, 591.431
39, 2.493685122, 2.494972680, 643.779
40, 2.494972877, 2.496279367, 653.245
41, 2.496279576, 2.497345105, 532.764
42, 2.497345306, 2.498330235, 492.465
43, 2.498330442, 2.499446617, 558.088
44, 2.499446830, 2.500891179, 722.175
45, 2.500891390, 2.501892972, 500.791
46, 2.501893202, 2.503358769, 732.783
47, 2.503358994, 2.504635679, 638.343
48, 2.504635929, 2.506081824, 722.947
49, 2.506082042, 2.507180360, 549.159
50, 2.507180578, 2.508641859, 730.641
51, 2.508642086, 2.509734977, 546.445
52, 2.509735172, 2.511126491, 695.660
53, 2.511126716, 2.512208299, 540.791
54, 2.512208515, 2.513654970, 723.227
55, 2.513655160, 2.514735245, 540.042
56, 2.514735460, 2.515941519, 603.030
57, 2.515941730, 2.517018681, 538.475
58, 2.517018873, 2.518432216, 706.672
59, 2.518432428, 2.519515043, 541.308
60, 2.519515268, 2.520967386, 726.059
61, 2.520967592, 2.522268146, 650.277
62, 2.522268355, 2.523701826, 716.735
63, 2.523702043, 2.524804747, 551.352
64, 2.524804934, 2.526246585, 720.826
65, 2.526246804, 2.527314583, 533.890
66, 2.527314794, 2.528767145, 726.175
67, 2.528767394, 2.529842138, 537.372
68, 2.529842377, 2.531265424, 711.524
69, 2.531265642, 2.532386698, 560.528
70, 2.532386924, 2.533845636, 729.356
71, 2.533845822, 2.534924538, 539.358
72, 2.534924752, 2.536330904, 703.076
73, 2.536331552, 2.537416587, 542.517
74, 2.537416803, 2.538866768, 724.983
75, 2.538866987, 2.539937824, 535.418
76, 2.539938065, 2.541341273, 701.604
77, 2.541341466, 2.542408790, 533.662
78, 2.542408974, 2.543864786, 727.906
79, 2.543865037, 2.545106848, 620.906
80, 2.545107101, 2.546635248, 764.074
81, 2.546635436, 2.547878859, 621.712
82, 2.547879076, 2.549334683, 727.804
83, 2.549334896, 2.550390228, 527.666
84, 2.550390433, 2.551833224, 721.396
85, 2.551833419, 2.552916927, 541.754
86, 2.552917151, 2.554213829, 648.339
87, 2.554214037, 2.555281862, 533.912
88, 2.555282079, 2.556408859, 563.390
89, 2.556409080, 2.557353711, 472.316
90, 2.557353967, 2.558758208, 702.120
91, 2.558758413, 2.559841374, 541.480
92, 2.559841563, 2.561261236, 709.837
93, 2.561261449, 2.562396769, 567.660
94, 2.562396964, 2.563855843, 729.439
95, 2.563856070, 2.565107432, 625.681
96, 2.565107655, 2.566374282, 633.314
97, 2.566374495, 2.567669519, 647.512
98, 2.567669753, 2.569106412, 718.329
99, 2.569106607, 2.570341246, 617.320
100, 2.570341436, 2.571758296, 708.430
101, 2.571758514, 2.572828916, 535.201
102, 2.572829126, 2.574296803, 733.838
103, 2.574297024, 2.575385127, 544.051
104, 2.575385315, 2.576808382, 711.534
105, 2.576808650, 2.577765921, 478.636
106, 2.577766111, 2.578884984, 559.437
107, 2.578885196, 2.579960895, 537.849
108, 2.579961088, 2.581377675, 708.293
109, 2.581377894, 2.582383769, 502.938
110, 2.582383980, 2.583809980, 713.000
111, 2.583810193, 2.584773102, 481.455
112, 2.584773295, 2.585924477, 575.591
113, 2.585924691, 2.586880797, 478.053
114, 2.586880993, 2.588355051, 737.029
115, 2.588355283, 2.589391250, 517.984
