------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=8857; ReceivedMessages=8856
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.549 sec; SentMessages=8558; ReceivedMessages=8558
sockperf: [2;35m====> avg-latency=557.819 (std-dev=121.655)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 8558 observations[0m; each percentile contains 85.58 observations
sockperf: ---> <MAX> observation = 1022.542
sockperf: ---> percentile 99.999 = 1022.542
sockperf: ---> percentile 99.990 = 1022.370
sockperf: ---> percentile 99.900 =  979.211
sockperf: ---> percentile 99.000 =  922.429
sockperf: ---> percentile 90.000 =  733.335
sockperf: ---> percentile 75.000 =  616.880
sockperf: ---> percentile 50.000 =  535.764
sockperf: ---> percentile 25.000 =  478.340
sockperf: ---> <MIN> observation =  288.944
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.435462997, 2.437212070, 874.537
1, 2.437212132, 2.439083336, 935.602
2, 2.439083479, 2.440842081, 879.301
3, 2.440842218, 2.442546029, 851.906
4, 2.442546166, 2.444216681, 835.257
5, 2.444216815, 2.445779276, 781.231
6, 2.445779325, 2.447449534, 835.104
7, 2.447449617, 2.449290598, 920.490
8, 2.449290733, 2.451028820, 869.044
9, 2.451028956, 2.452755187, 863.116
10, 2.452755265, 2.454411514, 828.124
11, 2.454411635, 2.456029962, 809.163
12, 2.456030031, 2.457626894, 798.432
13, 2.457626985, 2.459279475, 826.245
14, 2.459279540, 2.460973884, 847.172
15, 2.460974041, 2.462520652, 773.305
16, 2.462520775, 2.464137875, 808.550
17, 2.464138010, 2.466085825, 973.908
18, 2.466085967, 2.467825561, 869.797
19, 2.467825699, 2.469528984, 851.643
20, 2.469529136, 2.471209590, 840.227
21, 2.471209664, 2.472758355, 774.345
22, 2.472758433, 2.474390431, 815.999
23, 2.474390567, 2.476308438, 958.936
24, 2.476308569, 2.478031685, 861.558
25, 2.478031831, 2.479735219, 851.694
26, 2.479735359, 2.481373152, 818.896
27, 2.481373206, 2.482930716, 778.755
28, 2.482930861, 2.484588502, 828.821
29, 2.484588620, 2.486389664, 900.522
30, 2.486389790, 2.488093738, 851.974
31, 2.488093875, 2.489797323, 851.724
32, 2.489797469, 2.491545857, 874.194
33, 2.491546004, 2.493425522, 939.759
34, 2.493425647, 2.495137060, 855.707
35, 2.495137203, 2.497021378, 942.087
36, 2.497021516, 2.498745802, 862.143
37, 2.498745942, 2.500411614, 832.836
38, 2.500411672, 2.502089792, 839.060
39, 2.502089941, 2.503731807, 820.933
40, 2.503731893, 2.505395115, 831.611
41, 2.505395264, 2.507252024, 928.380
42, 2.507252148, 2.508970622, 859.237
43, 2.508970761, 2.510680288, 854.764
44, 2.510680529, 2.512322474, 820.972
45, 2.512322598, 2.513886765, 782.083
46, 2.513886906, 2.515535399, 824.247
47, 2.515535524, 2.517283810, 874.143
48, 2.517283934, 2.518920402, 818.234
49, 2.518920538, 2.520472449, 775.955
50, 2.520472566, 2.522224071, 875.753
51, 2.522224210, 2.524132883, 954.336
52, 2.524133032, 2.525874222, 870.595
53, 2.525874366, 2.527581547, 853.590
54, 2.527581687, 2.529268099, 843.206
55, 2.529268232, 2.530823867, 777.818
56, 2.530824009, 2.532499857, 837.924
57, 2.532499996, 2.534051505, 775.755
58, 2.534051561, 2.535693935, 821.187
59, 2.535694004, 2.537551873, 928.935
60, 2.537551945, 2.539263498, 855.777
61, 2.539263617, 2.541148895, 942.639
62, 2.541149047, 2.542886341, 868.647
63, 2.542886396, 2.544571495, 842.549
64, 2.544571732, 2.546259746, 844.007
65, 2.546259871, 2.547841425, 790.777
66, 2.547841501, 2.549476398, 817.449
67, 2.549476454, 2.551309737, 916.641
68, 2.551309882, 2.553056778, 873.448
69, 2.553056924, 2.554763303, 853.189
70, 2.554763444, 2.556425996, 831.276
71, 2.556426064, 2.558273795, 923.866
72, 2.558273922, 2.560015742, 870.910
73, 2.560015883, 2.561655647, 819.882
74, 2.561655704, 2.563314107, 829.201
75, 2.563314255, 2.564888726, 787.235
76, 2.564888795, 2.566450155, 780.680
77, 2.566450300, 2.568319770, 934.735
78, 2.568319843, 2.570056946, 868.552
79, 2.570057017, 2.571770585, 856.784
80, 2.571770649, 2.573491673, 860.512
81, 2.573491814, 2.575183575, 845.881
82, 2.575183639, 2.576900075, 858.218
83, 2.576900138, 2.578458027, 778.944
84, 2.578458177, 2.580093925, 817.874
85, 2.580093989, 2.582063222, 984.617
86, 2.582063286, 2.583800482, 868.598
87, 2.583800627, 2.585524265, 861.819
88, 2.585524514, 2.587214539, 845.012
89, 2.587214684, 2.589087904, 936.610
90, 2.589087968, 2.590844220, 878.126
91, 2.590844300, 2.592561345, 858.523
92, 2.592561409, 2.594237970, 838.281
93, 2.594238035, 2.595790836, 776.400
94, 2.595790898, 2.597441217, 825.159
95, 2.597441355, 2.599027789, 793.217
96, 2.599027928, 2.600711903, 841.988
97, 2.600711966, 2.602556824, 922.429
98, 2.602556894, 2.604251542, 847.324
99, 2.604251686, 2.605957664, 852.989
100, 2.605957728, 2.607567036, 804.654
101, 2.607567101, 2.609444494, 938.697
102, 2.609444563, 2.611152721, 854.079
103, 2.611152793, 2.613055982, 951.594
104, 2.613056053, 2.614795435, 869.691
105, 2.614795496, 2.616535758, 870.131
106, 2.616535822, 2.618131856, 798.017
107, 2.618131921, 2.620177006, 1022.542
108, 2.620177070, 2.621900340, 861.635
