------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=8445; ReceivedMessages=8444
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.549 sec; SentMessages=8072; ReceivedMessages=8072
sockperf: [2;35m====> avg-latency=591.416 (std-dev=112.503)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 8072 observations[0m; each percentile contains 80.72 observations
sockperf: ---> <MAX> observation = 1033.502
sockperf: ---> percentile 99.999 = 1033.502
sockperf: ---> percentile 99.990 = 1028.300
sockperf: ---> percentile 99.900 = 1004.395
sockperf: ---> percentile 99.000 =  899.378
sockperf: ---> percentile 90.000 =  744.195
sockperf: ---> percentile 75.000 =  653.227
sockperf: ---> percentile 50.000 =  572.167
sockperf: ---> percentile 25.000 =  501.821
sockperf: ---> <MIN> observation =  353.474
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.434184516, 2.435446164, 630.824
1, 2.435446398, 2.436506732, 530.167
2, 2.436506951, 2.437794199, 643.624
3, 2.437794416, 2.439065962, 635.773
4, 2.439066199, 2.440288802, 611.301
5, 2.440289003, 2.441228540, 469.769
6, 2.441228771, 2.442447422, 609.325
7, 2.442447651, 2.443453494, 502.921
8, 2.443453713, 2.444731366, 638.827
9, 2.444731587, 2.446027427, 647.920
10, 2.446027658, 2.447303643, 637.993
11, 2.447303877, 2.448255174, 475.648
12, 2.448256023, 2.449297735, 520.856
13, 2.449297961, 2.450320171, 511.105
14, 2.450320408, 2.451624315, 651.954
15, 2.451624514, 2.452682935, 529.211
16, 2.452683083, 2.453927798, 622.358
17, 2.453928026, 2.454984901, 528.438
18, 2.454985131, 2.456260054, 637.461
19, 2.456260278, 2.457488119, 613.921
20, 2.457488350, 2.458657901, 584.775
21, 2.458658126, 2.459744389, 543.131
22, 2.459744614, 2.461045066, 650.226
23, 2.461045297, 2.462102219, 528.461
24, 2.462102414, 2.463134711, 516.149
25, 2.463134933, 2.464377656, 621.361
26, 2.464377885, 2.465659825, 640.970
27, 2.465660052, 2.466709293, 524.621
28, 2.466709518, 2.467784464, 537.473
29, 2.467784505, 2.468820130, 517.813
30, 2.468820339, 2.470033498, 606.579
31, 2.470033712, 2.471143490, 554.889
32, 2.471143717, 2.472171409, 513.846
33, 2.472171634, 2.473135485, 481.925
34, 2.473135710, 2.474265368, 564.829
35, 2.474265588, 2.475315541, 524.977
36, 2.475315648, 2.476434906, 559.629
37, 2.476435133, 2.477534909, 549.888
38, 2.477535132, 2.478870680, 667.774
39, 2.478870913, 2.479919413, 524.250
40, 2.479919519, 2.481183024, 631.753
41, 2.481183225, 2.482439550, 628.162
42, 2.482439777, 2.483631731, 595.977
43, 2.483631952, 2.484881508, 624.778
44, 2.484881725, 2.485957653, 537.964
45, 2.485957710, 2.487095937, 569.113
46, 2.487095980, 2.488185077, 544.549
47, 2.488185295, 2.489203054, 508.880
48, 2.489203276, 2.490406816, 601.770
49, 2.490407040, 2.491510148, 551.554
50, 2.491510356, 2.492832303, 660.973
51, 2.492832526, 2.493883203, 525.339
52, 2.493883287, 2.495135947, 626.330
53, 2.495136170, 2.496407876, 635.853
54, 2.496408105, 2.497708518, 650.207
55, 2.497708742, 2.498750990, 521.124
56, 2.498751095, 2.499923126, 586.015
57, 2.499923271, 2.500872527, 474.628
58, 2.500872714, 2.502036180, 581.733
59, 2.502036412, 2.503323140, 643.364
60, 2.503323351, 2.504652035, 664.342
61, 2.504652259, 2.505759865, 553.803
62, 2.505760093, 2.507098199, 669.053
63, 2.507098437, 2.508107736, 504.649
64, 2.508107845, 2.509355929, 624.042
65, 2.509356156, 2.510450283, 547.063
66, 2.510450494, 2.511641650, 595.578
67, 2.511641878, 2.512674741, 516.431
68, 2.512674990, 2.513908536, 616.773
69, 2.513908763, 2.514864109, 477.673
70, 2.514864338, 2.515959374, 547.518
71, 2.515959604, 2.517233145, 636.771
72, 2.517233374, 2.518272736, 519.681
73, 2.518273064, 2.519329722, 528.329
74, 2.519329945, 2.520534205, 602.130
75, 2.520534396, 2.521554112, 509.858
76, 2.521554336, 2.522831505, 638.584
77, 2.522831732, 2.523890787, 529.528
78, 2.523890892, 2.524971745, 540.427
79, 2.524971961, 2.526155087, 591.563
80, 2.526155317, 2.527222181, 533.432
81, 2.527222412, 2.528149691, 463.639
82, 2.528149929, 2.529394849, 622.460
83, 2.529395054, 2.530387188, 496.067
84, 2.530387234, 2.531461050, 536.908
85, 2.531461157, 2.532623760, 581.301
86, 2.532623835, 2.533703053, 539.609
87, 2.533703119, 2.534644008, 470.445
88, 2.534644082, 2.535994808, 675.363
89, 2.535994877, 2.537087216, 546.169
90, 2.537087290, 2.538246098, 579.404
91, 2.538246185, 2.539283020, 518.418
92, 2.539283245, 2.540549476, 633.115
93, 2.540549709, 2.541706570, 578.430
94, 2.541706789, 2.542926900, 610.055
95, 2.542927128, 2.544173020, 622.946
96, 2.544173234, 2.545387964, 607.365
97, 2.545388200, 2.546524321, 568.060
98, 2.546524548, 2.547838972, 657.212
99, 2.547839169, 2.548879834, 520.332
100, 2.548880057, 2.550173451, 646.697
101, 2.550173674, 2.551356444, 591.385
102, 2.551356668, 2.552492300, 567.816
103, 2.552492533, 2.553831592, 669.530
104, 2.553831819, 2.555114534, 641.357
105, 2.555115238, 2.556400801, 642.781
106, 2.556401020, 2.557755728, 677.354
107, 2.557755945, 2.558958486, 601.271
108, 2.558958724, 2.560135908, 588.592
109, 2.560136133, 2.561447745, 655.806
110, 2.561447969, 2.562657985, 605.008
111, 2.562658209, 2.564072311, 707.051
112, 2.564072496, 2.565329980, 628.742
113, 2.565330205, 2.566294199, 481.997
114, 2.566294427, 2.567535943, 620.758
115, 2.567536174, 2.568802014, 632.920
116, 2.568802238, 2.570098091, 647.926
117, 2.570098314, 2.571231673, 566.679
118, 2.571231886, 2.572571447, 669.780
119, 2.572571671, 2.573535645, 481.987
120, 2.573535876, 2.574815611, 639.867
121, 2.574815841, 2.576024537, 604.348
122, 2.576024759, 2.577212609, 593.925
123, 2.577212837, 2.578212186, 499.674
124, 2.578212427, 2.579316836, 552.204
125, 2.579317054, 2.580310962, 496.954
126, 2.580311182, 2.581614735, 651.776
127, 2.581614968, 2.582904916, 644.974
128, 2.582905155, 2.584176767, 635.806
129, 2.584176994, 2.585134238, 478.622
130, 2.585134454, 2.586240661, 553.103
131, 2.586240892, 2.587206530, 482.819
132, 2.587206755, 2.588369983, 581.614
133, 2.588370670, 2.589547391, 588.360
134, 2.589547604, 2.590996713, 724.555
135, 2.590996975, 2.592337747, 670.386
136, 2.592337978, 2.593673031, 667.526
137, 2.593673247, 2.594972523, 649.638
138, 2.594972715, 2.596273906, 650.596
139, 2.596274125, 2.597347483, 536.679
140, 2.597347704, 2.598714615, 683.456
141, 2.598714814, 2.599972340, 628.763
142, 2.599972566, 2.601222127, 624.781
143, 2.601222328, 2.602257513, 517.592
144, 2.602257739, 2.603434602, 588.431
145, 2.603434798, 2.604387368, 476.285
146, 2.604387580, 2.605679697, 646.059
147, 2.605679888, 2.606923897, 622.005
148, 2.606924115, 2.608193200, 634.542
149, 2.608193512, 2.609244190, 525.339
150, 2.609244416, 2.610259153, 507.368
151, 2.610259360, 2.611255027, 497.833
152, 2.611255253, 2.612465891, 605.319
153, 2.612466100, 2.613751851, 642.875
154, 2.613752065, 2.615034381, 641.158
155, 2.615034588, 2.616108414, 536.913
156, 2.616108631, 2.617377000, 634.184
157, 2.617377229, 2.618584513, 603.642
158, 2.618584738, 2.619909077, 662.170
159, 2.619909284, 2.620961522, 526.119
160, 2.620961749, 2.622098410, 568.330
161, 2.622098631, 2.623357106, 629.238
162, 2.623357330, 2.624520345, 581.508
163, 2.624520537, 2.625843569, 661.516
164, 2.625843803, 2.627223068, 689.633
165, 2.627223289, 2.628298020, 537.366
166, 2.628298242, 2.629632863, 667.310
167, 2.629633081, 2.630887906, 627.412
168, 2.630888130, 2.632167613, 639.742
169, 2.632167844, 2.633218168, 525.162
170, 2.633218387, 2.634248956, 515.285
171, 2.634249179, 2.635452973, 601.897
172, 2.635453200, 2.636792961, 669.881
173, 2.636793179, 2.637892756, 549.789
174, 2.637892982, 2.639198552, 652.785
175, 2.639198751, 2.640453817, 627.533
176, 2.640454043, 2.641569260, 557.608
177, 2.641569571, 2.642845539, 637.984
178, 2.642845758, 2.644136751, 645.497
179, 2.644136985, 2.645177359, 520.187
180, 2.645177557, 2.646269333, 545.888
181, 2.646269539, 2.647530999, 630.730
182, 2.647531223, 2.648725305, 597.041
183, 2.648725533, 2.649839340, 556.904
184, 2.649839558, 2.651111592, 636.017
185, 2.651111816, 2.652165833, 527.008
186, 2.652166066, 2.653470708, 652.321
187, 2.653470936, 2.654575838, 552.451
188, 2.654576061, 2.655874188, 649.064
189, 2.655874414, 2.657109308, 617.447
190, 2.657109533, 2.658387917, 639.192
191, 2.658388148, 2.659458009, 534.930
192, 2.659458234, 2.660755051, 648.409
193, 2.660755270, 2.661824248, 534.489
194, 2.661824471, 2.662861147, 518.338
195, 2.662861371, 2.663811202, 474.915
196, 2.663811426, 2.665034857, 611.716
197, 2.665035070, 2.665929331, 447.130
198, 2.665929442, 2.667263493, 667.026
199, 2.667263726, 2.668240956, 488.615
200, 2.668241185, 2.669352904, 555.860
201, 2.669353121, 2.670299568, 473.224
202, 2.670299792, 2.671580364, 640.286
203, 2.671580563, 2.672917643, 668.540
204, 2.672917877, 2.674168420, 625.272
205, 2.674168579, 2.675323384, 577.403
206, 2.675323598, 2.676407204, 541.803
207, 2.676407434, 2.677722272, 657.419
208, 2.677722491, 2.679000461, 638.985
209, 2.679000766, 2.680106131, 552.683
210, 2.680106362, 2.681651512, 772.575
211, 2.681651737, 2.682804363, 576.313
212, 2.682804585, 2.683916709, 556.062
213, 2.683917386, 2.685180091, 631.353
214, 2.685180315, 2.686403800, 611.742
215, 2.686404020, 2.687715301, 655.641
216, 2.687715526, 2.688896819, 590.647
217, 2.688897040, 2.690140080, 621.520
218, 2.690140305, 2.691463216, 661.455
219, 2.691463435, 2.692628323, 582.444
220, 2.692628552, 2.693908914, 640.181
221, 2.693909144, 2.695153045, 621.951
222, 2.695153290, 2.696258148, 552.429
223, 2.696258387, 2.697549149, 645.381
224, 2.697549376, 2.698859216, 654.920
225, 2.698859438, 2.699894162, 517.362
226, 2.699894385, 2.701274201, 689.908
227, 2.701274435, 2.702229004, 477.285
228, 2.702229227, 2.703402493, 586.633
229, 2.703402709, 2.704626408, 611.849
230, 2.704626630, 2.705939994, 656.682
231, 2.705940222, 2.707010171, 534.974
232, 2.707010398, 2.708240912, 615.257
233, 2.708241137, 2.709207459, 483.161
234, 2.709207704, 2.710378141, 585.218
235, 2.710378373, 2.711481513, 551.570
236, 2.711481730, 2.712726746, 622.508
237, 2.712727426, 2.714004204, 638.389
238, 2.714004441, 2.715046033, 520.796
239, 2.715046264, 2.715991708, 472.722
240, 2.715991777, 2.717204966, 606.595
241, 2.717205650, 2.718177952, 486.151
242, 2.718178196, 2.719443381, 632.593
243, 2.719443608, 2.720781879, 669.135
244, 2.720782112, 2.721992509, 605.198
245, 2.721992713, 2.723263719, 635.503
246, 2.723263946, 2.724607827, 671.941
247, 2.724608046, 2.725694819, 543.386
248, 2.725695042, 2.726993640, 649.299
249, 2.726993863, 2.728016285, 511.211
250, 2.728016519, 2.729251495, 617.488
251, 2.729251694, 2.730222359, 485.333
252, 2.730222595, 2.731364181, 570.793
253, 2.731364400, 2.732333231, 484.416
254, 2.732333453, 2.733442860, 554.703
255, 2.733443065, 2.734731198, 644.067
256, 2.734731424, 2.736030443, 649.510
257, 2.736030644, 2.737308344, 638.850
258, 2.737308552, 2.738618367, 654.907
259, 2.738618593, 2.739894378, 637.893
260, 2.739894605, 2.741175670, 640.533
261, 2.741175870, 2.742206833, 515.481
262, 2.742207064, 2.743681835, 737.386
263, 2.743682056, 2.744706720, 512.332
264, 2.744706928, 2.746172714, 732.893
265, 2.746172941, 2.747297976, 562.517
266, 2.747298209, 2.748580036, 640.914
267, 2.748580267, 2.749719348, 569.541
268, 2.749719577, 2.750848856, 564.640
269, 2.750849090, 2.752046154, 598.532
270, 2.752046383, 2.752910205, 431.911
271, 2.752910274, 2.754102058, 595.892
272, 2.754102275, 2.755160633, 529.179
273, 2.755160861, 2.756211967, 525.553
274, 2.756212190, 2.757329308, 558.559
275, 2.757329536, 2.758623025, 646.745
276, 2.758623256, 2.759951644, 664.194
277, 2.759951855, 2.760991676, 519.911
278, 2.760991904, 2.762223958, 616.027
279, 2.762224182, 2.763218524, 497.171
280, 2.763218741, 2.764532963, 657.111
281, 2.764533196, 2.765603826, 535.315
282, 2.765604029, 2.766735015, 565.493
283, 2.766735246, 2.767889698, 577.226
284, 2.767889922, 2.769091335, 600.707
285, 2.769091564, 2.770020264, 464.350
286, 2.770020369, 2.771241675, 610.653
287, 2.771241908, 2.772225570, 491.831
288, 2.772225796, 2.773248724, 511.464
289, 2.773248956, 2.774213352, 482.198
290, 2.774213579, 2.775410140, 598.281
291, 2.775410365, 2.776369684, 479.659
292, 2.776369913, 2.777641855, 635.971
293, 2.777642526, 2.778600997, 479.235
294, 2.778601193, 2.779674916, 536.862
295, 2.779675148, 2.780842863, 583.857
296, 2.780843088, 2.782167328, 662.120
297, 2.782167518, 2.783303842, 568.162
298, 2.783304069, 2.784520324, 608.128
299, 2.784520554, 2.785506639, 493.043
300, 2.785506835, 2.786579039, 536.102
301, 2.786579264, 2.787817008, 618.872
302, 2.787817231, 2.789108808, 645.789
303, 2.789109031, 2.790229040, 560.005
304, 2.790229259, 2.791539425, 655.083
305, 2.791539628, 2.792474533, 467.452
306, 2.792474754, 2.793431981, 478.614
307, 2.793432208, 2.794627965, 597.878
308, 2.794628157, 2.795914227, 643.035
309, 2.795914461, 2.796989962, 537.750
310, 2.796990190, 2.798052834, 531.322
311, 2.798053059, 2.798984577, 465.759
312, 2.798984661, 2.799982240, 498.790
313, 2.799982468, 2.800958291, 487.912
314, 2.800958520, 2.802098517, 569.999
315, 2.802098584, 2.803152651, 527.034
316, 2.803152878, 2.804409454, 628.288
317, 2.804409674, 2.805576486, 583.406
318, 2.805576713, 2.806738885, 581.086
319, 2.806739108, 2.807694385, 477.638
320, 2.807694609, 2.808812151, 558.771
321, 2.808812818, 2.809887827, 537.505
322, 2.809888034, 2.811219019, 665.492
323, 2.811219247, 2.812250439, 515.596
324, 2.812250662, 2.813271015, 510.177
325, 2.813271222, 2.814435169, 581.974
326, 2.814435396, 2.815747924, 656.264
327, 2.815748151, 2.817013767, 632.808
328, 2.817013997, 2.818313273, 649.638
329, 2.818313500, 2.819595153, 640.826
330, 2.819595374, 2.820891367, 647.997
331, 2.820891596, 2.822014739, 561.572
332, 2.822014961, 2.823265046, 625.042
333, 2.823265266, 2.824228218, 481.476
334, 2.824228463, 2.825692076, 731.806
335, 2.825692296, 2.827010812, 659.258
336, 2.827011031, 2.828077657, 533.313
337, 2.828077884, 2.829371228, 646.672
338, 2.829371465, 2.830510729, 569.632
339, 2.830510950, 2.831773838, 631.444
340, 2.831774063, 2.832986629, 606.283
341, 2.832986851, 2.834191129, 602.139
342, 2.834191356, 2.835200022, 504.333
343, 2.835200239, 2.836391012, 595.386
344, 2.836391213, 2.837708162, 658.475
345, 2.837708389, 2.838981097, 636.354
346, 2.838981331, 2.840297060, 657.864
347, 2.840297262, 2.841434517, 568.628
348, 2.841434756, 2.842697763, 631.503
349, 2.842698448, 2.843779400, 540.476
350, 2.843779629, 2.845049983, 635.177
351, 2.845050208, 2.846166030, 557.911
352, 2.846166260, 2.847445971, 639.856
353, 2.847446184, 2.848552896, 553.356
354, 2.848553121, 2.849816367, 631.623
355, 2.849816594, 2.851075415, 629.411
356, 2.851075654, 2.852107066, 515.706
357, 2.852107202, 2.853263624, 578.211
358, 2.853263850, 2.854522943, 629.546
359, 2.854523164, 2.855479201, 478.019
360, 2.855479419, 2.856738735, 629.658
361, 2.856738935, 2.857843788, 552.427
362, 2.857844027, 2.859092290, 624.132
363, 2.859092514, 2.860027023, 467.255
364, 2.860027089, 2.861234472, 603.691
365, 2.861234671, 2.862219159, 492.244
366, 2.862219383, 2.863355147, 567.882
367, 2.863355371, 2.864374862, 509.746
368, 2.864375093, 2.865658327, 641.617
369, 2.865658528, 2.866757286, 549.379
370, 2.866757515, 2.868031739, 637.112
371, 2.868031974, 2.869104882, 536.454
372, 2.869105105, 2.870261858, 578.376
373, 2.870262061, 2.871526097, 632.018
374, 2.871526302, 2.872829437, 651.567
375, 2.872829665, 2.873823301, 496.818
376, 2.873823526, 2.875006697, 591.586
377, 2.875006922, 2.875969919, 481.499
378, 2.875970142, 2.877261445, 645.651
379, 2.877261666, 2.878342860, 540.597
380, 2.878343092, 2.879365673, 511.290
381, 2.879365899, 2.880571099, 602.600
382, 2.880571308, 2.881872159, 650.425
383, 2.881872393, 2.882972866, 550.237
384, 2.882973097, 2.884208511, 617.707
385, 2.884208716, 2.885166326, 478.805
386, 2.885166567, 2.886411683, 622.558
387, 2.886411912, 2.887445136, 516.612
388, 2.887445361, 2.888537224, 545.932
389, 2.888537434, 2.889784483, 623.525
390, 2.889784682, 2.891103696, 659.507
391, 2.891103888, 2.892353140, 624.626
392, 2.892353365, 2.893616356, 631.495
393, 2.893616580, 2.894729697, 556.559
394, 2.894729928, 2.896071278, 670.675
395, 2.896071501, 2.897168149, 548.324
396, 2.897168373, 2.898346795, 589.211
397, 2.898347015, 2.899441085, 547.035
398, 2.899441336, 2.900604691, 581.677
399, 2.900604885, 2.901732083, 563.599
400, 2.901732313, 2.903043503, 655.595
401, 2.903043720, 2.904141221, 548.750
402, 2.904141453, 2.905314712, 586.629
403, 2.905314937, 2.906599421, 642.242
404, 2.906599648, 2.907912863, 656.608
405, 2.907913145, 2.908955913, 521.384
406, 2.908956145, 2.910245747, 644.801
407, 2.910245970, 2.911202699, 478.364
408, 2.911202901, 2.912512250, 654.675
409, 2.912512470, 2.913622014, 554.772
410, 2.913622236, 2.914905498, 641.631
411, 2.914905699, 2.915907308, 500.805
412, 2.915907527, 2.917073590, 583.031
413, 2.917073816, 2.918084878, 505.531
414, 2.918084914, 2.919251101, 583.093
415, 2.919251319, 2.920247566, 498.124
416, 2.920247797, 2.921425553, 588.878
417, 2.921425769, 2.922679806, 627.018
418, 2.922680031, 2.923965722, 642.845
419, 2.923965931, 2.925076078, 555.074
420, 2.925076364, 2.926172720, 548.178
421, 2.926172966, 2.927128051, 477.542
422, 2.927128276, 2.928280358, 576.041
423, 2.928280574, 2.929368136, 543.781
424, 2.929368354, 2.930652730, 642.188
425, 2.930652959, 2.931728058, 537.549
426, 2.931728254, 2.933025162, 648.454
427, 2.933025382, 2.934051095, 512.856
428, 2.934051326, 2.935227949, 588.312
429, 2.935228638, 2.936430935, 601.149
430, 2.936431132, 2.937657422, 613.145
431, 2.937657640, 2.938958856, 650.608
432, 2.938959081, 2.940199958, 620.438
433, 2.940200638, 2.941145176, 472.269
434, 2.941145394, 2.942396732, 625.669
435, 2.942396928, 2.943349266, 476.169
436, 2.943349496, 2.944625160, 637.832
437, 2.944625379, 2.945669131, 521.876
438, 2.945669350, 2.946843695, 587.172
439, 2.946843920, 2.947880558, 518.319
440, 2.947880782, 2.949028792, 574.005
441, 2.949029017, 2.950004947, 487.965
442, 2.950005060, 2.951247105, 621.022
443, 2.951247320, 2.952214737, 483.709
444, 2.952214964, 2.953391624, 588.330
445, 2.953391848, 2.954362249, 485.200
446, 2.954362465, 2.955627196, 632.366
447, 2.955627423, 2.956642241, 507.409
448, 2.956642454, 2.957736831, 547.188
449, 2.957737061, 2.958712266, 487.602
450, 2.958712481, 2.959805428, 546.473
451, 2.959805681, 2.960769412, 481.866
452, 2.960769465, 2.961974758, 602.646
453, 2.961974792, 2.962972670, 498.939
454, 2.962972708, 2.963998360, 512.826
455, 2.963998583, 2.964951468, 476.442
456, 2.964951568, 2.966229706, 639.069
457, 2.966229916, 2.967312781, 541.432
458, 2.967312993, 2.968628604, 657.805
459, 2.968628819, 2.969770915, 571.048
460, 2.969771141, 2.971082144, 655.502
461, 2.971082373, 2.972172049, 544.838
462, 2.972172247, 2.973376421, 602.087
463, 2.973376657, 2.974639430, 631.387
464, 2.974639632, 2.975913282, 636.825
465, 2.975913500, 2.976948088, 517.294
466, 2.976948293, 2.977995924, 523.816
467, 2.977995978, 2.978925495, 464.758
468, 2.978925694, 2.980282589, 678.448
469, 2.980282815, 2.981334388, 525.786
470, 2.981334619, 2.982608993, 637.187
471, 2.982609207, 2.983651565, 521.179
472, 2.983651787, 2.984956978, 652.596
473, 2.984957183, 2.986227771, 635.294
474, 2.986228006, 2.987548446, 660.220
475, 2.987548677, 2.988846221, 648.772
476, 2.988846414, 2.990146873, 650.229
477, 2.990147098, 2.991153257, 503.080
478, 2.991153492, 2.992252841, 549.674
479, 2.992253064, 2.993194774, 470.855
480, 2.993194981, 2.994504675, 654.847
481, 2.994504892, 2.995587460, 541.284
482, 2.995587692, 2.996907739, 660.024
483, 2.996907966, 2.998020310, 556.172
484, 2.998020537, 2.999287980, 633.722
485, 2.999288209, 3.000468543, 590.167
486, 3.000468778, 3.001646279, 588.750
487, 3.001646501, 3.002705581, 529.540
488, 3.002705809, 3.003982968, 638.579
489, 3.003983173, 3.005032108, 524.468
490, 3.005032333, 3.006305189, 636.428
491, 3.006305410, 3.007277476, 486.033
492, 3.007277706, 3.008207410, 464.852
493, 3.008207641, 3.009268143, 530.251
494, 3.009268377, 3.010565233, 648.428
495, 3.010565459, 3.011643520, 539.031
496, 3.011643740, 3.012950195, 653.227
497, 3.012950417, 3.014182780, 616.181
498, 3.014183010, 3.015376545, 596.768
499, 3.015376779, 3.016468123, 545.672
500, 3.016468342, 3.017733937, 632.798
501, 3.017734164, 3.018999645, 632.740
502, 3.018999869, 3.020280461, 640.296
503, 3.020280682, 3.021363734, 541.526
504, 3.021363953, 3.022488647, 562.347
505, 3.022488865, 3.023771782, 641.459
506, 3.023772011, 3.025083509, 655.749
507, 3.025083727, 3.026188633, 552.453
508, 3.026188853, 3.027250822, 530.984
509, 3.027251047, 3.028210247, 479.600
510, 3.028210482, 3.029342257, 565.888
511, 3.029342485, 3.030300740, 479.128
512, 3.030300985, 3.031619668, 659.342
513, 3.031619996, 3.032743627, 561.816
514, 3.032743840, 3.034038672, 647.416
515, 3.034038932, 3.035362808, 661.938
516, 3.035363046, 3.036666709, 651.831
517, 3.036666928, 3.037790388, 561.730
518, 3.037790612, 3.039111992, 660.690
519, 3.039112219, 3.040339861, 613.821
520, 3.040340092, 3.041469369, 564.638
521, 3.041469582, 3.042740922, 635.670
522, 3.042741141, 3.044033188, 646.023
523, 3.044033409, 3.045107348, 536.970
524, 3.045107571, 3.046187172, 539.800
525, 3.046187483, 3.047118591, 465.554
526, 3.047118827, 3.048380157, 630.665
527, 3.048380387, 3.049579376, 599.494
528, 3.049579597, 3.050863628, 642.015
529, 3.050863922, 3.052144508, 640.293
530, 3.052144716, 3.053427463, 641.373
531, 3.053427700, 3.054397697, 484.998
532, 3.054397927, 3.055478304, 540.189
533, 3.055478505, 3.056733526, 627.510
534, 3.056733749, 3.058035219, 650.735
535, 3.058035449, 3.059320872, 642.711
536, 3.059321087, 3.060456928, 567.921
537, 3.060457615, 3.061675879, 609.132
538, 3.061676113, 3.062965690, 644.789
539, 3.062965930, 3.064091906, 562.988
540, 3.064092152, 3.065290783, 599.316
541, 3.065291000, 3.066391850, 550.425
542, 3.066392067, 3.067713964, 660.949
543, 3.067714197, 3.068980345, 633.074
544, 3.068980564, 3.070252423, 635.930
545, 3.070252722, 3.071268150, 507.714
546, 3.071268382, 3.072347136, 539.377
547, 3.072347368, 3.073605264, 628.948
548, 3.073605480, 3.074937113, 665.816
549, 3.074937308, 3.076144459, 603.575
550, 3.076144682, 3.077203343, 529.330
551, 3.077203538, 3.078321793, 559.128
552, 3.078322009, 3.079607846, 642.919
553, 3.079608075, 3.080713306, 552.615
554, 3.080713529, 3.081984680, 635.576
555, 3.081984880, 3.083235714, 625.417
556, 3.083235922, 3.084542649, 653.364
557, 3.084542875, 3.085819765, 638.445
