------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=8485; ReceivedMessages=8484
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.550 sec; SentMessages=8121; ReceivedMessages=8121
sockperf: [2;35m====> avg-latency=587.872 (std-dev=78.634)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 8121 observations[0m; each percentile contains 81.21 observations
sockperf: ---> <MAX> observation = 1520.669
sockperf: ---> percentile 99.999 = 1520.669
sockperf: ---> percentile 99.990 =  997.229
sockperf: ---> percentile 99.900 =  947.164
sockperf: ---> percentile 99.000 =  833.911
sockperf: ---> percentile 90.000 =  668.639
sockperf: ---> percentile 75.000 =  636.638
sockperf: ---> percentile 50.000 =  589.047
sockperf: ---> percentile 25.000 =  538.168
sockperf: ---> <MIN> observation =  349.603
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.444356061, 2.445604401, 624.170
1, 2.445604665, 2.446726816, 561.076
2, 2.446727067, 2.447950783, 611.858
3, 2.447951036, 2.448918455, 483.709
4, 2.448918701, 2.450215676, 648.487
5, 2.450215928, 2.451314159, 549.116
6, 2.451314397, 2.452430976, 558.289
7, 2.452431208, 2.453681259, 625.025
8, 2.453681509, 2.454938226, 628.358
9, 2.454938509, 2.456135627, 598.559
10, 2.456135866, 2.457360103, 612.119
11, 2.457360348, 2.458609416, 624.534
12, 2.458609669, 2.459890200, 640.265
13, 2.459890416, 2.460999360, 554.472
14, 2.460999601, 2.462063337, 531.868
15, 2.462063548, 2.463398756, 667.604
16, 2.463398993, 2.464662522, 631.765
17, 2.464662800, 2.465769917, 553.559
18, 2.465770164, 2.466970294, 600.065
19, 2.466970539, 2.467930353, 479.907
20, 2.467930599, 2.469231900, 650.650
21, 2.469232142, 2.470312831, 540.345
22, 2.470313091, 2.471641521, 664.215
23, 2.471641772, 2.472738130, 548.179
24, 2.472738393, 2.473959497, 610.552
25, 2.473959770, 2.475169392, 604.811
26, 2.475169645, 2.476228185, 529.270
27, 2.476228427, 2.477532804, 652.188
28, 2.477533065, 2.478618277, 542.606
29, 2.478618513, 2.479904231, 642.859
30, 2.479904481, 2.481142600, 619.059
31, 2.481142847, 2.482271167, 564.160
32, 2.482271402, 2.483415947, 572.273
33, 2.483416189, 2.484521755, 552.783
34, 2.484521994, 2.485659031, 568.519
35, 2.485659293, 2.486722687, 531.697
36, 2.486722749, 2.487672905, 475.078
37, 2.487672971, 2.489043781, 685.405
38, 2.489044031, 2.490335909, 645.939
39, 2.490336168, 2.491504977, 584.404
40, 2.491505235, 2.492718989, 606.877
41, 2.492719262, 2.493929336, 605.037
42, 2.493929621, 2.494971225, 520.802
43, 2.494971464, 2.496078198, 553.367
44, 2.496078436, 2.497300507, 611.035
45, 2.497300749, 2.498572120, 635.686
46, 2.498572354, 2.499880963, 654.305
47, 2.499881214, 2.500993061, 555.923
48, 2.500993330, 2.502277805, 642.237
49, 2.502278048, 2.503405725, 563.838
50, 2.503405969, 2.504488651, 541.341
51, 2.504488902, 2.505617550, 564.324
52, 2.505617786, 2.506814730, 598.472
53, 2.506814983, 2.507786482, 485.749
54, 2.507786735, 2.508911896, 562.581
55, 2.508912126, 2.509941639, 514.756
56, 2.509941895, 2.511244539, 651.322
57, 2.511244782, 2.512275669, 515.443
58, 2.512275922, 2.513548495, 636.287
59, 2.513548741, 2.514612059, 531.659
60, 2.514612330, 2.515580841, 484.255
61, 2.515581127, 2.516789414, 604.143
62, 2.516789663, 2.517823677, 517.007
63, 2.517823914, 2.519082078, 629.082
64, 2.519082317, 2.520352958, 635.321
65, 2.520353233, 2.521498562, 572.664
66, 2.521498825, 2.522592403, 546.789
67, 2.522592643, 2.523727508, 567.433
68, 2.523727759, 2.524939104, 605.673
69, 2.524939317, 2.525885812, 473.247
70, 2.525886132, 2.526997250, 555.559
71, 2.526997480, 2.528097929, 550.224
72, 2.528098163, 2.529247933, 574.885
73, 2.529248170, 2.530325215, 538.523
74, 2.530325449, 2.531455499, 565.025
75, 2.531455738, 2.532522781, 533.521
76, 2.532523050, 2.533719521, 598.236
77, 2.533719782, 2.534904023, 592.121
78, 2.534904276, 2.536048554, 572.139
79, 2.536048804, 2.537261475, 606.336
80, 2.537261766, 2.538522125, 630.180
81, 2.538522341, 2.539790830, 634.245
82, 2.539791113, 2.540877560, 543.224
83, 2.540877807, 2.542160929, 641.561
84, 2.542161202, 2.543426228, 632.513
85, 2.543426466, 2.544563618, 568.576
86, 2.544563889, 2.545834193, 635.152
87, 2.545834472, 2.546940705, 553.116
88, 2.546940942, 2.548177212, 618.135
89, 2.548177453, 2.549310857, 566.702
90, 2.549311097, 2.550403387, 546.145
91, 2.550403627, 2.551667541, 631.957
92, 2.551667772, 2.552768902, 550.565
93, 2.552769139, 2.553968178, 599.519
94, 2.553968423, 2.555240409, 635.993
95, 2.555240643, 2.556534287, 646.822
96, 2.556534518, 2.557621721, 543.601
97, 2.557621966, 2.558901029, 639.532
98, 2.558901292, 2.560136021, 617.365
99, 2.560136274, 2.561328359, 596.042
100, 2.561328649, 2.562426180, 548.766
101, 2.562426421, 2.563550813, 562.196
102, 2.563551054, 2.564687518, 568.232
103, 2.564687785, 2.565862533, 587.374
104, 2.565862751, 2.566968143, 552.696
105, 2.566968377, 2.568244529, 638.076
106, 2.568244780, 2.569416144, 585.682
107, 2.569416395, 2.570710302, 646.953
108, 2.570710550, 2.572008287, 648.869
109, 2.572008550, 2.573128560, 560.005
110, 2.573128813, 2.574409993, 640.590
111, 2.574410278, 2.575719547, 654.635
112, 2.575719857, 2.576973548, 626.845
113, 2.576973784, 2.578226282, 626.249
114, 2.578226563, 2.579485095, 629.266
115, 2.579485340, 2.580606704, 560.682
116, 2.580606938, 2.581920455, 656.759
117, 2.581920733, 2.583059488, 569.377
118, 2.583059730, 2.584311642, 625.956
119, 2.584311893, 2.585614255, 651.181
120, 2.585614507, 2.586720225, 552.859
121, 2.586720462, 2.587938745, 609.142
122, 2.587938960, 2.589174686, 617.863
123, 2.589174957, 2.590434900, 629.971
124, 2.590435150, 2.591652810, 608.830
125, 2.591653052, 2.592770379, 558.663
126, 2.592770632, 2.593969493, 599.430
127, 2.593969724, 2.594917080, 473.678
128, 2.594917333, 2.595962753, 522.710
129, 2.595962993, 2.597246359, 641.683
130, 2.597246606, 2.598573572, 663.483
131, 2.598573778, 2.599686187, 556.204
132, 2.599686444, 2.600892062, 602.809
133, 2.600892295, 2.602145089, 626.397
134, 2.602145348, 2.603247584, 551.118
135, 2.603247822, 2.604564412, 658.295
