------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.001 sec; Warm up time=400 msec; SentMessages=47049; ReceivedMessages=470
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.502 sec; SentMessages=44701; ReceivedMessages=448
sockperf: [2;35m====> avg-latency=835.448 (std-dev=124.137)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 448 observations[0m; each percentile contains 4.48 observations
sockperf: ---> <MAX> observation = 1141.213
sockperf: ---> percentile 99.999 = 1141.213
sockperf: ---> percentile 99.990 = 1141.213
sockperf: ---> percentile 99.900 = 1141.213
sockperf: ---> percentile 99.000 = 1102.389
sockperf: ---> percentile 90.000 = 1000.459
sockperf: ---> percentile 75.000 =  934.965
sockperf: ---> percentile 50.000 =  826.165
sockperf: ---> percentile 25.000 =  737.637
sockperf: ---> <MIN> observation =  539.683
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.433576323, 2.435267209, 845.443
1, 2.455170969, 2.456661444, 745.238
2, 2.476166894, 2.477785595, 809.351
3, 2.497775282, 2.499134751, 679.735
4, 2.518592775, 2.520271597, 839.411
5, 2.540297052, 2.541725710, 714.329
6, 2.560868397, 2.562943632, 1037.618
7, 2.582160466, 2.583935987, 887.761
8, 2.603626876, 2.605282191, 827.657
9, 2.625255961, 2.626750458, 747.248
10, 2.646204571, 2.647855158, 825.293
11, 2.667788248, 2.669230558, 721.155
12, 2.688889279, 2.690298344, 704.532
13, 2.709657925, 2.711747501, 1044.788
14, 2.731424752, 2.732849627, 712.438
15, 2.752348190, 2.754232661, 942.235
16, 2.773397417, 2.775373401, 987.992
17, 2.795074435, 2.796734635, 830.100
18, 2.815993090, 2.817906078, 956.494
19, 2.837662375, 2.839246137, 791.881
20, 2.858599600, 2.860315964, 858.182
21, 2.880111455, 2.881710703, 799.624
22, 2.901105447, 2.902825186, 859.869
23, 2.922847083, 2.924277977, 715.447
24, 2.943862266, 2.945316832, 727.283
25, 2.964668294, 2.966703151, 1017.429
26, 2.986407945, 2.987762862, 677.459
27, 3.007308743, 3.009049403, 870.330
28, 3.029186959, 3.030312954, 562.998
29, 3.050071549, 3.051779228, 853.840
30, 3.070899044, 3.072808443, 954.699
31, 3.092519642, 3.094256676, 868.517
32, 3.113856991, 3.115355727, 749.368
33, 3.135297342, 3.136875538, 789.098
34, 3.156474742, 3.157810137, 667.697
35, 3.177262783, 3.179238780, 987.998
36, 3.198685931, 3.200363102, 838.585
37, 3.219788835, 3.221803513, 1007.339
38, 3.241463558, 3.242904769, 720.605
39, 3.262403306, 3.264295334, 946.014
40, 3.283854046, 3.285299412, 722.683
41, 3.304888999, 3.306608657, 859.829
42, 3.326517861, 3.327805054, 643.597
43, 3.347768013, 3.349063077, 647.532
44, 3.368446521, 3.370495055, 1024.267
45, 3.390155983, 3.391866654, 855.335
46, 3.410923567, 3.412922076, 999.254
47, 3.432434108, 3.434123091, 844.492
48, 3.454086962, 3.455386637, 649.838
49, 3.475040155, 3.476578930, 769.388
50, 3.496357715, 3.497925235, 783.760
51, 3.517744721, 3.519308589, 781.934
52, 3.538675716, 3.540430529, 877.406
53, 3.560258782, 3.561823187, 782.202
54, 3.581177607, 3.582817691, 820.042
55, 3.602519681, 3.604261160, 870.740
56, 3.623907741, 3.625483798, 788.028
57, 3.644712638, 3.646854467, 1070.915
58, 3.666528676, 3.667863606, 667.465
59, 3.687506564, 3.689370818, 932.127
60, 3.708581966, 3.710591203, 1004.619
61, 3.730191448, 3.731823367, 815.959
62, 3.751643013, 3.752919292, 638.140
