------------------------------
test was performed using the following parameters: --mps=10000 --burst=1 --reply-every=100 --msg-size=24938 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.000 sec; Warm up time=400 msec; SentMessages=47047; ReceivedMessages=470
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.501 sec; SentMessages=44701; ReceivedMessages=448
sockperf: [2;35m====> avg-latency=841.607 (std-dev=115.376)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 448 observations[0m; each percentile contains 4.48 observations
sockperf: ---> <MAX> observation = 1141.322
sockperf: ---> percentile 99.999 = 1141.322
sockperf: ---> percentile 99.990 = 1141.322
sockperf: ---> percentile 99.900 = 1141.322
sockperf: ---> percentile 99.000 = 1083.547
sockperf: ---> percentile 90.000 =  988.061
sockperf: ---> percentile 75.000 =  929.672
sockperf: ---> percentile 50.000 =  838.730
sockperf: ---> percentile 25.000 =  750.404
sockperf: ---> <MIN> observation =  582.417
------------------------------
packet, txTime(sec), rxTime(sec), latency(usec)
0, 2.433734404, 2.435355836, 810.716
1, 2.454594018, 2.456486989, 946.485
2, 2.475743450, 2.477807405, 1031.977
3, 2.497225897, 2.499292601, 1033.352
4, 2.518412844, 2.520276623, 931.890
5, 2.539889835, 2.541482682, 796.423
6, 2.560988906, 2.562806266, 908.680
7, 2.582145808, 2.584278588, 1066.390
8, 2.603555175, 2.605173167, 808.996
9, 2.624780423, 2.626754701, 987.139
10, 2.646430563, 2.647595398, 582.417
11, 2.667399391, 2.669049295, 824.952
12, 2.688977209, 2.690435620, 729.206
13, 2.709994324, 2.711519127, 762.401
14, 2.730918536, 2.732877063, 979.264
15, 2.752523826, 2.754004057, 740.115
16, 2.773691275, 2.775294685, 801.705
17, 2.795117459, 2.796586568, 734.555
18, 2.816049239, 2.817934439, 942.600
19, 2.837331612, 2.838969041, 818.715
20, 2.858588034, 2.860324906, 868.436
21, 2.879575040, 2.881365504, 895.232
22, 2.901180627, 2.902750029, 784.701
23, 2.922206924, 2.924101973, 947.525
24, 2.943915317, 2.945443402, 764.042
25, 2.964824141, 2.966538953, 857.406
26, 2.986101466, 2.987790019, 844.277
27, 3.007640188, 3.008955980, 657.896
28, 3.028963463, 3.030405910, 721.223
29, 3.049966597, 3.051633075, 833.239
30, 3.071270414, 3.073014663, 872.125
31, 3.092395681, 3.093989529, 796.924
32, 3.113974125, 3.115310009, 667.942
33, 3.134839031, 3.136538250, 849.610
34, 3.155986528, 3.157850781, 932.126
35, 3.177589584, 3.179057807, 734.112
36, 3.198607814, 3.200531551, 961.869
37, 3.219938130, 3.221543076, 802.473
38, 3.241243681, 3.242958148, 857.234
39, 3.262131873, 3.264283294, 1075.710
40, 3.283358754, 3.285353585, 997.415
41, 3.304723663, 3.306672919, 974.628
42, 3.325932375, 3.327879952, 973.789
43, 3.347230813, 3.349069312, 919.250
44, 3.368843261, 3.370345425, 751.082
45, 3.389690913, 3.391786954, 1048.020
46, 3.411373602, 3.412972705, 799.551
47, 3.432704105, 3.433999773, 647.834
48, 3.453467843, 3.455510800, 1021.479
49, 3.475191749, 3.476682147, 745.199
50, 3.496111514, 3.497933747, 911.116
51, 3.517381332, 3.518983889, 801.279
52, 3.538552415, 3.540513514, 980.549
53, 3.559835056, 3.561728913, 946.929
54, 3.581321476, 3.582947339, 812.932
55, 3.602528930, 3.604009163, 740.117
56, 3.623607130, 3.625564809, 978.840
57, 3.645272596, 3.646657652, 692.528
58, 3.665999622, 3.667905916, 953.147
59, 3.687617630, 3.689105363, 743.866
60, 3.708732690, 3.710498957, 883.134
61, 3.730046496, 3.731686273, 819.889
62, 3.751114745, 3.752997768, 941.511
63, 3.772632639, 3.774182712, 775.037
64, 3.793857718, 3.795454829, 798.555
65, 3.815129690, 3.816645396, 757.853
66, 3.836060263, 3.837904606, 922.172
67, 3.857650378, 3.859153996, 751.809
68, 3.878981812, 3.880498568, 758.378
69, 3.899808270, 3.901635064, 913.397
70, 3.921017692, 3.923092172, 1037.240
71, 3.942691965, 3.944074654, 691.345
72, 3.963679041, 3.965460099, 890.529
73, 3.985349945, 3.986715130, 682.593
74, 4.006476029, 4.007885384, 704.677
75, 4.027804962, 4.029202186, 698.612
76, 4.048810330, 4.050610308, 899.989
77, 4.070379403, 4.071558796, 589.697
78, 4.091014412, 4.092972938, 979.263
79, 4.112230119, 4.114282531, 1026.206
80, 4.133996939, 4.135520289, 761.675
81, 4.155001726, 4.156666747, 832.511
82, 4.176420193, 4.177905277, 742.542
83, 4.197695809, 4.199176048, 740.119
84, 4.218678144, 4.220580905, 951.381
85, 4.239878968, 4.241686629, 903.830
86, 4.261502591, 4.263096039, 796.724
87, 4.282235693, 4.284172481, 968.394
88, 4.303595581, 4.305501093, 952.756
89, 4.325342355, 4.326802180, 729.912
90, 4.346535762, 4.347916033, 690.135
91, 4.367787577, 4.369595747, 904.085
92, 4.388641320, 4.390524118, 941.399
93, 4.410242601, 4.411883261, 820.330
94, 4.431269788, 4.433012154, 871.183
95, 4.452498507, 4.454190299, 845.896
96, 4.473842160, 4.475558505, 858.173
97, 4.495114889, 4.496826534, 855.822
98, 4.516131347, 4.518147092, 1007.872
99, 4.537465337, 4.539277356, 906.009
100, 4.558574111, 4.560561515, 993.702
101, 4.580254919, 4.581656134, 700.608
102, 4.601434326, 4.602960625, 763.149
103, 4.622611377, 4.624129622, 759.123
104, 4.643525269, 4.645668698, 1071.714
105, 4.665222601, 4.666831158, 804.279
106, 4.686188856, 4.688074537, 942.841
107, 4.707363435, 4.709181184, 908.875
108, 4.728550884, 4.730666478, 1057.797
109, 4.750122719, 4.751630859, 754.070
110, 4.771120197, 4.773082120, 980.962
111, 4.792707860, 4.794464631, 878.385
112, 4.813728340, 4.815400825, 836.243
113, 4.835326819, 4.836683543, 678.362
114, 4.856254705, 4.858091864, 918.579
115, 4.877275854, 4.879312704, 1018.425
116, 4.898960786, 4.900462717, 750.965
117, 4.920136132, 4.921869177, 866.522
118, 4.941710918, 4.943188523, 738.802
119, 4.962568085, 4.964334684, 883.300
120, 4.984235137, 4.985566682, 665.773
121, 5.005254586, 5.006849510, 797.462
122, 5.026346488, 5.028012383, 832.948
123, 5.047694509, 5.049187951, 746.721
124, 5.069127006, 5.070617693, 745.344
125, 5.090247109, 5.091749927, 751.409
126, 5.111577818, 5.113141444, 781.813
127, 5.132642436, 5.134447663, 902.613
128, 5.154157158, 5.155501750, 672.296
129, 5.174816498, 5.176741112, 962.307
130, 5.196182187, 5.198052882, 935.347
131, 5.217956781, 5.219436566, 739.892
132, 5.239235714, 5.240597846, 681.066
133, 5.260060166, 5.261734120, 836.977
134, 5.281583959, 5.282984498, 700.269
135, 5.302466917, 5.304323169, 928.126
136, 5.323832151, 5.325617178, 892.514
137, 5.345437144, 5.346827369, 695.112
138, 5.366109671, 5.368065456, 977.892
139, 5.387712032, 5.389218699, 753.334
140, 5.408558177, 5.410622349, 1032.086
